group,feature,variable,feature_family,window_h,risk_direction,n,fire_mean,control_mean,mean_delta,median_delta,sd_delta,mean_delta_ci_low_t,mean_delta_ci_high_t,date_boot_ci_low,date_boot_ci_high,cell_boot_ci_low,cell_boot_ci_high,cohen_dz,direction_match_pct,paired_t_p,wilcoxon_p,date_n,cell_n,support_flag,paired_t_q,wilcoxon_q,date_ci_excludes_zero,cell_ci_excludes_zero
전체,temp,Temperature,Temperature,0,higher,1150,8.269382608695652,8.074085217391305,0.19529739130434787,0.4179999999999997,5.314526364533175,-0.11218585558810112,0.5027806381967969,-0.94692745296169,1.2223056763092546,-0.2333762112301337,0.6356630395572204,0.0367478450399037,53.130434782608695,0.2129523160202302,0.054424301687816645,282,87,ok,0.25554277922427626,0.08432359335854352,False,False
전체,temp_z,Temperature (Z),Temperature Anomaly,0,higher,1150,0.09507725956953421,0.028880258969490685,0.06619700060004353,0.11209117587307398,1.1689532897843056,-0.0014352827596158385,0.1338292839597029,-0.17009093258168548,0.2779227209027884,-0.052411460026018104,0.15965489143455153,0.05662929492440041,53.130434782608695,0.05505559875555299,0.03667994448336408,282,87,ok,0.0922246598429589,0.06520879019264725,False,False
전체,temp_pct,Temperature (Percentile),Temperature Anomaly,0,higher,1150,0.536652309244359,0.5198649278643077,0.016787381380051345,0.03225806451612906,0.339828848842281,-0.002874140769331443,0.03644890352943413,-0.04496303956278981,0.07547679540302128,-0.01308497376261535,0.047251589748487186,0.04939951813167748,53.47826086956522,0.09416333576686496,0.07209168230357597,282,87,ok,0.14124500365029743,0.10486062880520142,False,False
전체,press,Pressure,Pressure,0,lower,1150,990.8248608695653,990.7297771014491,0.0950837681159424,0.047999999999944976,4.431843297792169,-0.1613299691491234,0.35149750538100816,-0.6081634536251462,0.7234506844278027,-0.6234900761491913,0.7954386155528961,0.02145467737167302,43.73913043478261,0.4670290493167715,0.0033862564758660426,282,87,ok,0.47696583760010713,0.009030017268976114,False,False
전체,press_z,Pressure (Z),Pressure Anomaly,0,lower,1150,-0.012842814798436122,-0.05431332677638627,0.04147051197795013,0.12511201771138025,1.1974152288333506,-0.027808497511446685,0.11074952146734696,-0.17314129676858733,0.24457039964041008,-0.1028804908020629,0.18786188864362696,0.03463335940562166,43.826086956521735,0.24044842932947977,0.00861010099581462,282,87,ok,0.28150060019061046,0.02109180816429219,False,False
전체,press_pct,Pressure (Percentile),Pressure Anomaly,0,lower,1150,0.5049710390984473,0.4975969603766311,0.0073740787218162275,0.03508771929824561,0.34057545787513455,-0.012330640084019916,0.02707879752765237,-0.04789197001806238,0.06115087862125451,-0.03429760221278234,0.04950862873210749,0.02165182062096733,46.69565217391305,0.46294682568727014,0.17823643997750593,282,87,ok,0.47696583760010713,0.22514076628737592,False,False
전체,dtr,Diurnal Temp Range,Temperature Range,24,higher,1149,11.69639686684073,11.043436321438932,0.6529605454017987,0.5200000000000014,3.7764483731260032,0.43437081762702556,0.8715502731765719,0.14195007798697004,1.2324837741776922,0.380528851017853,0.9440084576393907,0.17290334221126988,56.48389904264578,6.0100149799076766e-09,1.3069626816404883e-08,281,87,ok,6.659401431237521e-08,1.2546841743748688e-07,True,True
전체,dtr_z,Diurnal Temp Range (Z),Temperature Range Anomaly,24,higher,1149,0.2809929794154658,0.10134556955110714,0.17964740986435865,0.18249425323952306,1.0678408060988467,0.11783826856297086,0.24145655116574644,0.039418986264362514,0.3303033376661379,0.10383897272112098,0.2600116525742627,0.16823426192211768,56.570931244560484,1.499565759173409e-08,2.3751715629332303e-08,281,87,ok,1.1996526073387273e-07,1.900137250346584e-07,True,True
전체,dtr_pct,Diurnal Temp Range (Percentile),Temperature Range Anomaly,24,higher,1149,0.589718572141558,0.5335478572236729,0.05617071491788505,0.07017543859649122,0.31462888082033913,0.03795925414484384,0.07438217569092626,0.013286331191520244,0.09406399707736293,0.03379988703014365,0.0789065613867501,0.17853006618918724,57.26718885987816,1.938646307651407e-09,2.6326932821276546e-09,281,87,ok,4.652751138363377e-08,4.212309251404247e-08,True,True
전체,press_diff,Pressure Change 3h,Pressure Change,3,lower,1150,-0.2485043478260886,-0.17481420289854954,-0.07369014492753906,-0.00799999999999272,0.6610733955907425,-0.11193795482965682,-0.035442335025421295,-0.17135199895404904,0.01625862218006317,-0.11938228717154802,-0.03360607687336988,-0.11147044400673352,55.565217391304344,0.00016478937744259482,0.00014373494467253932,282,87,ok,0.0005273260078163034,0.0005025977997869469,False,True
전체,press_diff_z,Pressure Change 3h (Z),Pressure Change Anomaly,3,lower,1150,-0.20204753460995473,-0.0242252376981255,-0.1778222969118292,-0.12061460133707547,1.0866126527959277,-0.24069058726896203,-0.11495400655469636,-0.3834380487153156,-0.018091748663505373,-0.2540154305675069,-0.10240585486606035,-0.16364828483662547,55.826086956521735,3.5532545344201415e-08,2.6923006224636466e-07,282,87,ok,2.4365173950309543e-07,1.6153803734781879e-06,True,True
전체,press_diff_pct,Pressure Change 3h (Percentile),Pressure Change Anomaly,3,lower,1150,0.4581490302331369,0.5009114489217396,-0.04276241868860257,-0.04836021505376342,0.31617639474395987,-0.06105547770801362,-0.024469359669191514,-0.08836924704467608,0.010352003694583294,-0.06393784443171578,-0.02056296399258907,-0.13524861248174974,55.565217391304344,5.001497712654199e-06,7.055307344871121e-06,282,87,ok,3.0008986275925193e-05,3.3865475255381383e-05,False,True
영동 해안형,temp,Temperature,Temperature,0,higher,354,7.9942937853107345,8.42176836158192,-0.4274745762711865,-0.23500000000000032,4.963636480697279,-0.9463200139526728,0.09137086141029976,-1.5862864720344938,0.7653098506853784,-1.1161400069814673,0.47292855681460483,-0.08612124959866843,47.175141242937855,0.10604753820957241,0.19796266938734886,165,21,ok,0.15425096466846897,0.23345920314879767,False,False
영동 해안형,temp_z,Temperature (Z),Temperature Anomaly,0,higher,354,-0.07017376504258775,0.010331647851319748,-0.0805054128939075,-0.06126430653066853,1.1716064036019884,-0.20297260798993355,0.04196178220211856,-0.3932071797998422,0.1661688155956261,-0.2653526727907554,0.11480661439717497,-0.06871370167182557,47.175141242937855,0.19691171911826352,0.19941306935626468,165,21,ok,0.242352885068632,0.23345920314879767,False,False
영동 해안형,temp_pct,Temperature (Percentile),Temperature Anomaly,0,higher,354,0.4863586659376709,0.5142550041192526,-0.027896338181581774,-0.04516129032258068,0.3377609869417759,-0.06320225709466834,0.007409580731504797,-0.10371133652680274,0.046638867794386,-0.08768744641828867,0.02934562665356992,-0.0825919489227174,47.45762711864407,0.12109043909412796,0.13243221573242928,165,21,ok,0.17095120813288653,0.18162132443304588,False,False
영동 해안형,press,Pressure,Pressure,0,lower,354,995.5262994350284,995.9029877589454,-0.3766883239171423,-0.03100000000000591,4.693175676645368,-0.8672626835695044,0.11388603573521983,-1.3018888442511996,0.4518625398122473,-1.7662065410559853,1.005813393187701,-0.08026299245341591,51.12994350282486,0.13190248800635865,0.3009653218564956,165,21,ok,0.18089484069443473,0.33596128951422766,False,False
영동 해안형,press_z,Pressure (Z),Pressure Anomaly,0,lower,354,-0.052301570247099693,0.07234348274909058,-0.12464505299619023,-0.01950629941676571,1.2464431533535145,-0.2549348810208138,0.005644775028433316,-0.40265487723285087,0.1442096107586183,-0.38956955510399294,0.1901076142662833,-0.10000059181266052,51.12994350282486,0.06072663283023287,0.1838817973426059,165,21,ok,0.09716261252837259,0.22631605826782264,False,False
영동 해안형,press_pct,Pressure (Percentile),Pressure Anomaly,0,lower,354,0.49642704126819687,0.5358934808164326,-0.039466439548235754,-0.03387096774193549,0.35425462396960744,-0.07649642676405642,-0.002436452332415087,-0.11206797977366977,0.03808015174809266,-0.11618167844758055,0.056971065114002226,-0.11140698491382768,52.259887005649716,0.0367840115607422,0.07202920001500691,165,21,ok,0.0735680231214844,0.10486062880520142,False,False
영동 해안형,dtr,Diurnal Temp Range,Temperature Range,24,higher,353,8.594872521246458,8.463930122757318,0.1309423984891408,0.0,2.863133787322819,-0.16876550744457508,0.4306503044228567,-0.3779815849509616,0.6615701637614678,-0.15088695970388588,0.39706097989052835,0.045733943369645626,49.858356940509914,0.39078033360166015,0.8355904701078677,164,21,ok,0.4168323558417708,0.8355904701078677,False,False
영동 해안형,dtr_z,Diurnal Temp Range (Z),Temperature Range Anomaly,24,higher,353,0.16316166937571097,0.112751246198537,0.05041042317717396,5.551115123125783e-17,1.051142961510368,-0.059621408805714975,0.16044225516006289,-0.1352606074004363,0.2325740151767454,-0.05808512443025447,0.15177090663757076,0.047957723186140305,50.14164305949008,0.3681810936577132,0.7946008166525063,164,21,ok,0.4016521021720507,0.8115072170068148,False,False
영동 해안형,dtr_pct,Diurnal Temp Range (Percentile),Temperature Range Anomaly,24,higher,353,0.5565673602783541,0.5337019559340939,0.02286540434426015,0.029824561403508865,0.3013364970613311,-0.008677980360825604,0.0544087890493459,-0.023821637070655828,0.06577913369341633,-0.013538488015741212,0.05705256052884634,0.07587996995799134,53.54107648725213,0.15485405884934797,0.16390933681483089,164,21,ok,0.20089175202077572,0.2126391396516725,False,False
