group,feature,variable,feature_family,window_h,risk_direction,n,fire_mean,control_mean,mean_delta,median_delta,sd_delta,mean_delta_ci_low_t,mean_delta_ci_high_t,date_boot_ci_low,date_boot_ci_high,cell_boot_ci_low,cell_boot_ci_high,cohen_dz,direction_match_pct,paired_t_p,wilcoxon_p,date_n,cell_n,support_flag,paired_t_q,wilcoxon_q,date_ci_excludes_zero,cell_ci_excludes_zero,candidate_priority,abs_cohen_dz
전체,humidity_min_24h,humidity_min,hourly_window,24.0,lower,1149,34.706953872932985,39.440262837249776,-4.733308964316797,-5.216000000000001,14.2981827972206,-5.560921465935951,-3.905696462697643,-6.016089966037651,-3.3715645379364547,-5.948929015332261,-3.6335022783301034,-0.33104269482670884,67.9721496953873,8.44206042481154e-28,6.891320636020844e-38,281,87,ok,1.283193184571354e-25,1.1638674851946313e-36,True,True,strong_window_candidate,0.33104269482670884
전체,FFMC,FFMC,canadian_asof,,higher,1150,82.81246115303418,78.50885947419548,4.303601678838684,3.101834449551191,14.786850228465083,3.4480769513853518,5.159126406292017,1.8768284305439005,6.529439280689611,2.789614520991568,5.745962496248887,0.2910424879095709,68.78260869565217,4.141960264953892e-22,5.226534471839451e-35,282,87,ok,3.147889801364958e-20,7.222120361087242e-34,True,True,strong_window_candidate,0.2910424879095709
전체,humidity_min_48h,humidity_min,hourly_window,48.0,lower,1149,31.004656222802435,34.39742007542791,-3.3927638526254715,-3.0360000000000014,11.754341671643823,-4.073132837532171,-2.712394867718772,-4.518136475908778,-2.3221867987512574,-4.4695655735125275,-2.292616217724323,-0.2886392064653162,64.75195822454309,9.097656588230106e-22,6.110617188269268e-29,281,87,ok,4.6094793380365866e-20,7.144721635514836e-28,True,True,strong_window_candidate,0.2886392064653162
전체,humidity_mean_24h,humidity_mean,hourly_window,24.0,lower,1149,59.36559181897302,63.494906379943906,-4.129314560970893,-3.147999999999996,14.444039812846354,-4.965369610240521,-3.293259511701264,-6.023815755662081,-2.102294035646866,-5.531981590716271,-2.956973168588618,-0.2858836318976586,61.27067014795474,2.125966250507837e-21,9.808073190868484e-21,281,87,ok,8.07867175192978e-20,6.776486931872771e-20,True,True,strong_window_candidate,0.2858836318976586
전체,humidity_mean_6h,humidity_mean,hourly_window,6.0,lower,1150,58.36785362318842,63.038765942028995,-4.670912318840579,-3.1489999999999974,17.49571580021012,-5.683164235936615,-3.6586604017445437,-7.894768329324828,-1.334271180504327,-5.697551860079971,-3.5832548007207428,-0.2669746338006063,61.56521739130435,5.783517396114573e-19,1.8034838205020282e-18,282,87,ok,1.7581892884188303e-17,9.137651357210277e-18,True,True,strong_window_candidate,0.2669746338006063
전체,humidity_mean_3h,humidity_mean,hourly_window,3.0,lower,1150,54.79114492753623,59.60707574879228,-4.815930821256038,-3.9869999999999948,18.300887379002553,-5.874767655684469,-3.757093986827607,-8.103646947402481,-1.352234347178992,-5.913357796847911,-3.618420440414617,-0.2631528581931812,62.17391304347826,1.7401769457679643e-18,7.048530389650264e-20,282,87,ok,4.4084482626121756e-17,4.65815921402974e-19,True,True,strong_window_candidate,0.2631528581931812
전체,humidity_min_6h,humidity_min,hourly_window,6.0,lower,1150,48.797713043478254,53.514501159420284,-4.7167881159420295,-4.850000000000001,18.171182418751293,-5.768120593522733,-3.665455638361326,-7.959931118140418,-1.2986036931539482,-5.854258304562418,-3.478902502702781,-0.2595751892884339,63.04347826086957,4.821030699077179e-18,1.541466838999628e-21,282,87,ok,1.0468523803710445e-16,1.171514797639717e-20,True,True,strong_window_candidate,0.2595751892884339
전체,humidity_min_3h,humidity_min,hourly_window,3.0,lower,1150,50.548286956521736,55.26365768115942,-4.715370724637681,-4.839000000000002,18.590088401011567,-5.790939900417429,-3.639801548857932,-7.856534616745671,-0.8513452775175187,-6.071948193146866,-3.4600407631362824,-0.2536497203736318,63.391304347826086,2.539563578712677e-17,5.901300185886978e-21,282,87,ok,4.825170799554087e-16,4.271417277403907e-20,True,True,strong_window_candidate,0.2536497203736318
전체,humidity_mean_12h,humidity_mean,hourly_window,12.0,lower,1150,63.02767101449275,67.12173623188406,-4.094065217391305,-2.0604166666666757,16.20196796271051,-5.031464596660216,-3.156665838122393,-7.256677228899598,-1.1808023100078315,-5.247757597754127,-2.807868086747626,-0.25268937864918406,58.08695652173913,3.3141590164407757e-17,2.373619409601657e-14,282,87,ok,5.5972463388777545e-16,9.019753756486297e-14,True,True,weak_window_candidate,0.25268937864918406
전체,humidity_mean_48h,humidity_mean,hourly_window,48.0,lower,1149,60.154063497243975,63.38212866562712,-3.2280651683831345,-2.864874999999998,13.040884401262977,-3.9829022771067306,-2.4732280596595384,-4.891132397219348,-1.4312783855721654,-4.653730662911182,-1.8642331068124958,-0.24753422153412422,59.7911227154047,1.4049954013898778e-16,1.5878772020156094e-16,281,87,ok,1.941448191011467e-15,7.7857204743991165e-16,True,True,weak_window_candidate,0.24753422153412422
