group,feature,variable,risk_direction,unit,n,fire_mean,control_mean,mean_delta,median_delta,sd_delta,mean_delta_ci_low_t,mean_delta_ci_high_t,date_boot_ci_low,date_boot_ci_high,cell_boot_ci_low,cell_boot_ci_high,cohen_dz,direction_match_pct,paired_t_p,wilcoxon_p,date_n,cell_n,support_flag,paired_t_q,wilcoxon_q,date_ci_excludes_zero,cell_ci_excludes_zero,candidate_priority
전체,rh_mean_1h_minus_prev6h_mean,humidity_drop,lower,%p,1150,-8.066278260869566,-7.995957439613526,-0.07032082125603872,-0.219833333333326,10.36102544160176,-0.6697800252182005,0.5291383827061231,-1.2692687189923841,1.047414036290409,-0.7589454109846169,0.5768711873805623,-0.006787052271263172,51.04347826086957,0.8180083026252882,0.7997947964931605,282,87,ok,0.8389828744874751,0.8402262684864968,False,False,descriptive_only
전체,rh_mean_3h_minus_prev21h_mean,humidity_drop,lower,%p,1149,-5.217663392598118,-4.4585942089049135,-0.7590691836932041,-0.43342857142855884,14.731328909911262,-1.6117532026495272,0.09361483526311909,-3.1029406901757337,1.4758568982202975,-2.111806750953665,0.5897767586641612,-0.051527542989180095,52.306353350739776,0.08097000210109362,0.10700733768946116,281,87,ok,0.19388657568483966,0.2038235003608784,False,False,descriptive_only
전체,rh_mean_6h_minus_prev18h_mean,humidity_drop,lower,%p,1149,-1.3198742868194564,-0.6148683073848437,-0.705005979434613,-0.055444444444425756,14.625468370318748,-1.5515625409904095,0.14155058212118343,-3.522814393624859,1.7834574825076066,-1.842879311743623,0.5419337748949852,-0.048203993307001904,50.217580504786774,0.1025401596054905,0.6413583258704045,281,87,ok,0.21217011919001147,0.7126203620782273,False,False,descriptive_only
전체,rh_min_6h_minus_prev18h_mean,humidity_drop,lower,%p,1149,-10.890991200077362,-10.146322470425169,-0.7446687296521934,-0.11922222222223056,15.843504849807488,-1.6617281118915397,0.17239065258715291,-3.5552358684651737,1.7271851826533504,-2.021762504270191,0.5985122111919893,-0.04700151492434717,50.826805918189734,0.11138931257475602,0.32520366394802824,281,87,ok,0.21217011919001147,0.42155209193465926,False,False,descriptive_only
전체,wind_mean_3h_minus_prev21h_mean,wind_increase,higher,m/s,1149,0.21880641551659832,0.21587235967784268,0.0029340558387556006,-0.02390476190476188,1.0112110380600392,-0.05559722108941827,0.06146533276692946,-0.10527496872788465,0.11093385322366944,-0.0761949689575215,0.07130058251182646,0.0029015267123512108,48.38990426457789,0.9216693478518357,0.2452575020621015,281,87,ok,0.9216693478518356,0.40876250343683584,False,False,descriptive_only
전체,wind_max_6h_minus_prev18h_max,wind_increase,higher,m/s,1149,-0.8517841601392515,-0.873941833478387,0.022157673339135476,-0.029999999999999985,1.496469139853359,-0.06446148561235387,0.10877683229062482,-0.14391081264282024,0.18924016730006474,-0.08293939098901358,0.12328061148566567,0.01480663566594279,48.65100087032202,0.6158347508687322,0.9948938118423023,281,87,ok,0.6842608342985913,0.9948938118423023,False,False,descriptive_only
전체,pressure_mean_3h_minus_prev3h_mean,pressure_change,two_sided,hPa,1150,0.5290724637681177,0.4935759420289868,0.03549652173913088,0.0006666666666660607,0.4739329280545196,0.008076122340990036,0.06291692113727172,-0.01647492208535514,0.08592054811145865,0.010782840452613367,0.06392356323724988,0.07489777484937168,50.8695652173913,0.011219038261056411,0.1332751567154913,282,87,ok,0.03205439503158975,0.24231846675543875,False,True,descriptive_only
전체,FFMC_change_1d,canadian_change,higher,index,1149,1.6897433348859288,0.0030420022427506783,1.6867013326431781,0.9985869325179793,10.158894654649703,1.098680579372739,2.2747220859136172,0.7648011015759435,2.619254236089547,0.9977371816436449,2.325280423180445,0.16603197394818722,58.485639686684074,2.2903271540293154e-08,8.369153821988254e-12,281,87,ok,4.580654308058631e-07,3.3476615287953016e-10,True,True,weak_rapid_candidate
전체,ISI_change_1d,canadian_change,higher,index,1149,0.34423227127155653,-0.01211407510715084,0.35634634637870727,0.1854586201203755,2.5073803344088166,0.21121326614741143,0.5014794266100031,0.11238286183091158,0.585646955397179,0.18845452121276526,0.5209862230242572,0.14211898429949427,55.87467362924282,1.6490640734415386e-06,5.777928437339201e-09,281,87,ok,1.6490640734415387e-05,7.703904583118935e-08,True,True,weak_rapid_candidate
전체,FWI_change_1d,canadian_change,higher,index,1149,0.6557322711055642,-0.05377695983942072,0.709509230944985,0.27821407373218277,4.14675519629805,0.469485271936881,0.949533189953089,0.31600940349663953,1.0845301940141951,0.39018490729136873,1.0059429106032236,0.17109985937399635,56.83202785030461,8.578349376883736e-09,2.25693994814997e-11,281,87,ok,3.4313397507534945e-07,4.51387989629994e-10,True,True,weak_rapid_candidate
영동 해안형,rh_mean_1h_minus_prev6h_mean,humidity_drop,lower,%p,354,-3.370042372881356,-3.9594860326428125,0.5894436597614559,0.2765000000000002,8.899862136002053,-0.34085268309445704,1.5197400026173686,-0.8355273707384762,1.887458415556753,-0.5584589013002373,1.6926821046673628,0.06623065062738628,46.04519774011299,0.21354586889726357,0.0752611123162981,165,21,ok,0.29424379442887827,0.16724691625844024,False,False,descriptive_only
영동 해안형,rh_mean_3h_minus_prev21h_mean,humidity_drop,lower,%p,353,-2.509838122217726,-3.3973150771167777,0.8874769548990514,0.2131428571428522,12.959733404773676,-0.4691255822935311,2.244079492091634,-1.2692024974210516,3.2298696362913786,-1.7566449019866222,3.212463465733002,0.06847956876737543,48.725212464589234,0.19907428372201566,0.5263926356541122,164,21,ok,0.29424379442887827,0.6015915836046997,False,False,descriptive_only
영동 해안형,rh_mean_6h_minus_prev18h_mean,humidity_drop,lower,%p,353,-0.8335457979225687,-1.8720156331969362,1.0384698352743678,0.2742222222222268,12.682593979246715,-0.28912222492125084,2.3660618954699864,-1.3798968511481413,3.2592700777502057,-1.5444829148148154,3.0202414131054125,0.08188150129016808,49.008498583569406,0.12484589066410905,0.40183131505102676,164,21,ok,0.22699252848019827,0.4870682606679112,False,False,descriptive_only
영동 해안형,rh_min_6h_minus_prev18h_mean,humidity_drop,lower,%p,353,-7.6023890462700665,-8.698491553876824,1.0961025076067568,0.7287777777777706,12.767467982213061,-0.24037401681120674,2.4325790320247203,-0.9485176460355634,3.296181323397452,-0.9337657724187606,2.9804829578018968,0.08585120472859512,48.44192634560906,0.1076411342237202,0.10475102298207248,164,21,ok,0.21217011919001147,0.2038235003608784,False,False,descriptive_only
영동 해안형,wind_mean_3h_minus_prev21h_mean,wind_increase,higher,m/s,353,0.1819951436665318,0.15128094788434732,0.03071419578218447,-0.019047619047619535,1.0367440218014758,-0.07781038003023641,0.13923877159460535,-0.12728884782960806,0.18081370007295253,-0.08627696318376961,0.13881091242886967,0.02962563095258038,49.008498583569406,0.5781441467563793,0.8192206117743345,164,21,ok,0.6607361677215764,0.8402262684864968,False,False,descriptive_only
