group,condition,n,fire_condition_rate,control_condition_rate,matched_risk_diff,date_boot_ci_low,date_boot_ci_high,matched_prevalence_ratio,matched_or_approx,paired_t_p,date_n,cell_n,support_flag,paired_t_q
전체,westerly_current,1150,0.3791304347826087,0.3483188405797102,0.030811594202898553,-0.011870884720647684,0.07665841056780653,1.088458017554148,1.142320850952161,0.0307801525789701,282,87,ok,0.06595746981207878
전체,westerly_strong_current_3m_s,1150,0.17652173913043478,0.14643478260869566,0.030086956521739133,-0.004486773499966403,0.06511147393542721,1.2054631814947585,1.248852812939851,0.00603304029374972,282,87,ok,0.020110134312499067
전체,westerly_strong_current_5m_s,1150,0.04173913043478261,0.03234782608695652,0.009391304347826085,-0.008639627821842586,0.02534743752152993,1.2903225716701356,1.2990743246900882,0.12429138564203322,282,87,ok,0.21933773936829393
전체,westerly_strong_max_6h,1150,0.41130434782608694,0.37779710144927536,0.03350724637681159,-0.014472204806687573,0.07961196476867474,1.0886911153092034,1.15050350947988,0.01726136547848069,282,87,ok,0.03983392033495544
전체,westerly_strong_max_24h,1150,0.48695652173913045,0.43765217391304345,0.04930434782608695,0.007911562504640143,0.09014142615798003,1.1126564670583055,1.2193715568621746,0.0005877675033045174,282,87,ok,0.002938837516522587
영동 해안형,westerly_current,354,0.4661016949152542,0.39369114877589456,0.0724105461393597,-0.0029064038703767244,0.1424480918503016,1.1839272896547934,1.3433286130024573,0.008096699538895661,165,21,ok,0.022081907833351802
영동 해안형,westerly_strong_current_3m_s,354,0.2909604519774011,0.19152542372881354,0.09943502824858758,0.03726907262660805,0.17200592795257635,1.5191740385872037,1.7274653688411263,4.111274328558336e-05,165,21,ok,0.00024667645971350016
영동 해안형,westerly_strong_current_5m_s,354,0.0847457627118644,0.04463276836158192,0.04011299435028248,0.0073853740425978386,0.07370807851858187,1.8987341570789942,1.9530471608042577,0.006904880331393332,165,21,ok,0.020714640994179995
영동 해안형,westerly_strong_max_6h,354,0.5169491525423728,0.4436911487758946,0.07325800376647834,0.002601098545587533,0.1447183575560886,1.1651103561643732,1.340689087747885,0.0037907773268484753,165,21,ok,0.014215414975681783
영동 해안형,westerly_strong_max_24h,354,0.5028248587570622,0.38587570621468925,0.11694915254237288,0.03643229125445191,0.19719448789571695,1.3030746697855897,1.607360480036697,1.7637918931000633e-05,165,21,ok,0.00013228439198250476
영서 내륙형,westerly_current,615,0.33170731707317075,0.33463414634146343,-0.002926829268292687,-0.052317868793040956,0.04458602982026756,0.9912536443410058,0.9869387678173973,0.8760820389838307,208,41,ok,0.9726231724587632
영서 내륙형,westerly_strong_current_3m_s,615,0.1040650406504065,0.10471544715447155,-0.0006504065040650412,-0.02941170294673479,0.03269650450298402,0.9937888199350912,0.9931158473807948,0.9581055499813863,208,41,ok,0.9726231724587632
영서 내륙형,westerly_strong_current_5m_s,615,0.014634146341463415,0.014308943089430896,0.0003252032520325199,-0.01331480284421461,0.016106450316487483,1.0227272711389463,1.0218422289001763,0.952986996767941,208,41,ok,0.9726231724587632
영서 내륙형,westerly_strong_max_6h,615,0.34959349593495936,0.3502439024390244,-0.0006504065040650412,-0.05274008237232291,0.04917338465452077,0.9981429897917459,0.9971503892482704,0.9726231724587633,208,41,ok,0.9726231724587632
영서 내륙형,westerly_strong_max_24h,615,0.4715447154471545,0.46016260162601624,0.011382113821138204,-0.031558228540185904,0.06222331157175033,1.0247349822784029,1.046727731315545,0.546222928113834,208,41,ok,0.6827786601422924
고지·산간형,westerly_current,181,0.3701657458563536,0.3060773480662984,0.06408839779005525,-0.0069981640146878875,0.1450321278523766,1.2093862809043514,1.3298466538031888,0.07393312840327351,101,25,ok,0.13862461575613783
고지·산간형,westerly_strong_current_3m_s,181,0.19889502762430938,0.19999999999999998,-0.001104972375690611,-0.06935096153846154,0.059444787644787646,0.9944751381491713,0.9931833291197318,0.9689137558068136,101,25,ok,0.9726231724587632
고지·산간형,westerly_strong_current_5m_s,181,0.049723756906077346,0.06961325966850829,-0.01988950276243094,-0.061795964323560576,0.01663414634146337,0.7142857183900226,0.7100564221705942,0.2579703600445139,101,25,ok,0.38695554006677085
고지·산간형,westerly_strong_max_6h,181,0.4143646408839779,0.3425414364640884,0.0718232044198895,0.0002808254963427366,0.15008853065539102,1.209677418742716,1.3554553990610327,0.05455635864477158,101,25,ok,0.10911271728954317
고지·산간형,westerly_strong_max_24h,181,0.5082872928176796,0.46243093922651934,0.04585635359116023,-0.024676749130266715,0.12444031204644405,1.099163679594401,1.2004538276781809,0.2108551131193251,101,25,ok,0.3514251885322085
영동 겨울,westerly_current,194,0.5824742268041238,0.45859106529209626,0.12388316151202748,0.013959280303030305,0.20408577590142712,1.2701386281108253,1.6427317528091943,0.0009961054723494833,74,20,ok,0.004269023452926357
영동 겨울,westerly_strong_current_3m_s,194,0.4072164948453608,0.2422680412371134,0.16494845360824742,0.049403409090909095,0.2653360953046488,1.680851061019466,2.1373889268626107,4.3950716825871895e-06,74,20,ok,4.395071682587189e-05
영동 겨울,westerly_strong_current_5m_s,194,0.10824742268041238,0.05154639175257732,0.05670103092783505,0.005643939393939395,0.1050479112833764,2.0999999786600005,2.177439275421985,0.011601710493251228,74,20,ok,0.029004276233128068
영동 겨울,westerly_strong_max_6h,194,0.6701030927835051,0.515807560137457,0.15429553264604812,0.05325,0.2347993507778366,1.2991339101462493,1.8998620221843663,2.795801245040381e-06,74,20,ok,4.1937018675605714e-05
