,"(0, 1]","(1, 2]","(2, 3]","(3, 4]","(4, 5]","(5, 6]","(6, 7]","(7, 8]","(8, 9]","(9, 10]","(10, 11]","(11, 12]","(12, 13]","(13, 14]"
"(95, 100]",0.662535601053779,0.5223265332645066,0.3641675285125313,0.3645996064141892,0.6255205737955998,0.7354309107177385,0.5108138651271588,,,,,,,
"(90, 95]",0.5305528322477733,0.4422260056277974,0.33718096038982237,0.29736004348382306,0.361427197908097,0.4387612866370895,0.5923768906361868,,,,,,,
"(85, 90]",0.5078794124622585,0.45216395088436473,0.3791769237007808,0.3368932296833941,0.3350358002753243,0.41207581784686675,0.755498285042207,,,,,,,
"(80, 85]",0.7681847469972368,0.6599605724037241,0.5358907073895516,0.49182813064038466,0.4978552060739657,0.5415251525990238,0.7207059690447332,,,,,,,
"(75, 80]",1.137666804342741,0.9450617828258705,0.7149793653888871,0.6060921806291001,0.5862374610170332,0.5960724260862983,0.6242774020460339,0.4636003920302416,,,,,,
"(70, 75]",1.2591982463557558,1.0836138665212385,0.825996902167078,0.6494970384205,0.597691126617036,0.6319116788269594,0.6654560283754835,0.5434859806854788,,,,,,
"(65, 70]",1.1879921840235457,1.0434861200320076,0.8279986507983529,0.6854389652315193,0.6451857191032555,0.6754192610350714,0.7000431008637525,0.6541848274780228,,,,,,
"(60, 65]",1.2212228445003093,0.998311369319196,0.8149133785427248,0.7763415787541893,0.7514431096228849,0.6830566104846938,0.6292165293318929,0.5888801184434347,0.8273860100350392,,,,,
"(55, 60]",1.2465057463937321,1.0163217160974747,0.8623048169613926,0.852138603930846,0.8232715939096182,0.751507558407454,0.7562581901000082,0.8652352813069095,1.0306005160361582,,,,,
"(50, 55]",1.162940595213336,1.0281117079046471,0.8834369924322137,0.8386321287795654,0.9013753575171976,1.007060363549875,1.1433995228486884,1.4305159618032521,1.815585246416524,,,,,
"(45, 50]",0.9878413706402384,0.9115271147424034,0.8039026942871944,0.8118875189956037,1.0682424902770664,1.3939795355806088,1.620960139719151,1.89411892915825,2.1920566810019677,,,,,
"(40, 45]",0.8618804658023195,0.8604013090378808,0.8359834772750022,0.891278224210698,1.1246252979402958,1.395024735164648,1.5368449917225981,1.5893542440971422,1.631727265894802,,,,,
"(35, 40]",0.9275072449826549,1.0398712896233593,1.0888426068721158,1.102710660991906,1.1241758978219452,1.0897847246487213,0.9470267017674896,0.7972720509735692,0.9503658738691158,1.7417528727334906,,,,
"(30, 35]",1.0357263346287557,1.1914794644719553,1.270550707332237,1.247106780926631,1.1357246791740359,0.935452476262483,0.6750555454883888,0.4968339273377333,0.8706340839110199,2.277197624440894,,,,
"(25, 30]",1.0111324425628307,1.1680595532459421,1.2665923439952897,1.2630390048426912,1.1684894755950472,0.9983547322792876,0.766259708093425,0.600784955552444,1.0206103126895305,,,,,
"(20, 25]",1.0632644879721316,1.3341930782274911,1.559521111444274,1.6163263430517145,1.4702990249856407,1.267795570149681,1.1066044625290128,1.0076146480871575,1.4886433197609756,,,,,
"(15, 20]",1.3982689933208712,1.918043955462209,2.3159745143154074,2.3579816530025224,2.0120421735595624,1.6257760223311621,1.4806951684539589,1.3754130364500312,,,,,,
"(10, 15]",1.7864464743465436,2.3817202028346407,2.765130488181721,2.7159723925058565,2.2620371631336478,1.7930797544937087,1.6667714369362652,,,,,,,
