item,value
analysis_unit,fire_exposure_id paired rapid-change delta
fire_exposure_n,1150
fire_row_n,1150
control_row_n,5632
paired_fire_exposure_n,1150
delta_raw_row_n,11500
analysis_id_duplicate_n,0
fire_exposure_duplicate_in_fire_n,0
control_without_fire_id_n,0
canadian_asof_future_violation_n,0
