그룹,표본수,FWI_중앙값,FWI_75%,FWI_90%,FWI_25%,ISI_중앙값,ISI_75%,ISI_90%,ISI_25%,BUI_중앙값,BUI_75%,BUI_90%,BUI_25%,DC_중앙값,DC_75%,DC_90%,DC_25%
고지·산간형_비산림,413,9.028204682195591,11.790820697278244,12.509832112104638,1.462922324408791,4.142614576633894,4.51883838739225,6.85777141503614,1.571463038367071,29.210618591697106,40.513492880252734,51.813207070702624,14.631278461092403,152.93357969941547,158.26160854196524,166.34511947766683,114.37365510766068
고지·산간형_산림,209,7.180322122806841,12.11302319763381,13.64301138596019,4.74011807073999,3.6027211316863763,5.076032289597212,6.441785175103308,2.727638651104481,42.02140997697316,46.80138304922147,50.26966058406418,18.72150420730157,158.8109796994155,161.69283884255287,180.0613796994155,91.58096848751757
영동 해안형_비산림,975,15.311519636471049,19.050762505807846,25.95344066338045,8.867871194928082,6.344152645262121,8.221008511797884,8.955938701966563,4.371827706510746,40.956620523334784,61.34361117166751,79.20261435461381,27.601474358719425,161.34447704282985,222.69309589218088,245.23471703080068,92.52355692432202
영동 해안형_산림,246,24.26239539045213,25.95344066338045,36.8711869630496,14.934226517186216,8.466623040075179,8.955938701966563,9.18895214301654,6.344152645262121,72.09789755773316,79.20261435461381,250.0220059984077,40.35846590999302,227.3064477840011,227.6304751752261,1202.3711156913737,161.34447704282985
영서 내륙형_비산림,1228,5.911686777045591,10.979275865496946,13.360164462910532,0.975386977448832,2.414029564137106,4.310280727676431,6.008787832246408,1.2054435450312544,24.25562872685595,45.08520876724751,60.46919115241814,10.759683348029114,148.62150780414257,178.247416709527,197.5387193614599,64.85931851671947
영서 내륙형_산림,330,7.395606745572129,12.234911852684656,18.897215244902736,1.5548558691360008,4.473386785101571,6.426861857275437,8.847896372514006,1.894501445470708,20.60994292857299,33.495962471104015,59.911768711410666,9.282163744012141,64.07561845170797,145.04282809959824,176.96815561804638,23.911826330991044
