sample_group,기후지형유형,feature,window_h,exposure_n,available_n,availability_pct,mean_prior_obs_n,min_prior_obs_n
matched_control,영동 해안형,직전48h_최소습도,,1721,1721,100.0,,
matched_control,영서 내륙형,직전48h_최소습도,,3075,3075,100.0,,
fire,고지·산간형,직전24h_평균풍속,,181,181,100.0,,
fire,영동 해안형,직전24h_평균풍속,,354,354,100.0,,
fire,영서 내륙형,직전24h_평균풍속,,615,615,100.0,,
matched_control,고지·산간형,직전24h_평균풍속,,836,836,100.0,,
matched_control,영동 해안형,직전24h_평균풍속,,1721,1721,100.0,,
matched_control,영서 내륙형,직전24h_평균풍속,,3075,3075,100.0,,
fire,고지·산간형,직전24h_최대풍속,,181,181,100.0,,
fire,영동 해안형,직전24h_최대풍속,,354,354,100.0,,
fire,영서 내륙형,직전24h_최대풍속,,615,615,100.0,,
matched_control,고지·산간형,직전24h_최대풍속,,836,836,100.0,,
matched_control,영동 해안형,직전24h_최대풍속,,1721,1721,100.0,,
matched_control,영서 내륙형,직전24h_최대풍속,,3075,3075,100.0,,
fire,고지·산간형,직전48h_평균풍속,,181,181,100.0,,
fire,영동 해안형,직전48h_평균풍속,,354,354,100.0,,
fire,영서 내륙형,직전48h_평균풍속,,615,615,100.0,,
matched_control,고지·산간형,직전48h_평균풍속,,836,836,100.0,,
matched_control,영동 해안형,직전48h_평균풍속,,1721,1721,100.0,,
matched_control,영서 내륙형,직전48h_평균풍속,,3075,3075,100.0,,
fire,고지·산간형,직전48h_최대풍속,,181,181,100.0,,
fire,영동 해안형,직전48h_최대풍속,,354,354,100.0,,
fire,영서 내륙형,직전48h_최대풍속,,615,615,100.0,,
matched_control,고지·산간형,직전48h_최대풍속,,836,836,100.0,,
matched_control,영동 해안형,직전48h_최대풍속,,1721,1721,100.0,,
matched_control,영서 내륙형,직전48h_최대풍속,,3075,3075,100.0,,
fire,고지·산간형,D-1_최소습도_pct,,181,181,100.0,,
fire,영동 해안형,D-1_최소습도_pct,,354,353,99.71751412429379,,
fire,영서 내륙형,D-1_최소습도_pct,,615,615,100.0,,
matched_control,고지·산간형,D-1_최소습도_pct,,836,835,99.88038277511961,,
matched_control,영동 해안형,D-1_최소습도_pct,,1721,1721,100.0,,
matched_control,영서 내륙형,D-1_최소습도_pct,,3075,3071,99.86991869918698,,
fire,고지·산간형,D-1_평균습도_pct,,181,181,100.0,,
fire,영동 해안형,D-1_평균습도_pct,,354,353,99.71751412429379,,
fire,영서 내륙형,D-1_평균습도_pct,,615,615,100.0,,
matched_control,고지·산간형,D-1_평균습도_pct,,836,835,99.88038277511961,,
matched_control,영동 해안형,D-1_평균습도_pct,,1721,1721,100.0,,
matched_control,영서 내륙형,D-1_평균습도_pct,,3075,3071,99.86991869918698,,
fire,고지·산간형,D-1_강수량합_mm,,181,181,100.0,,
fire,영동 해안형,D-1_강수량합_mm,,354,353,99.71751412429379,,
fire,영서 내륙형,D-1_강수량합_mm,,615,615,100.0,,
matched_control,고지·산간형,D-1_강수량합_mm,,836,835,99.88038277511961,,
matched_control,영동 해안형,D-1_강수량합_mm,,1721,1721,100.0,,
matched_control,영서 내륙형,D-1_강수량합_mm,,3075,3071,99.86991869918698,,
fire,고지·산간형,D-2_최소습도_pct,,181,181,100.0,,
fire,영동 해안형,D-2_최소습도_pct,,354,353,99.71751412429379,,
fire,영서 내륙형,D-2_최소습도_pct,,615,615,100.0,,
matched_control,고지·산간형,D-2_최소습도_pct,,836,834,99.76076555023924,,
matched_control,영동 해안형,D-2_최소습도_pct,,1721,1720,99.9418942475305,,
matched_control,영서 내륙형,D-2_최소습도_pct,,3075,3067,99.739837398374,,
fire,고지·산간형,D-3_최소습도_pct,,181,180,99.4475138121547,,
fire,영동 해안형,D-3_최소습도_pct,,354,352,99.43502824858757,,
fire,영서 내륙형,D-3_최소습도_pct,,615,613,99.67479674796748,,
matched_control,고지·산간형,D-3_최소습도_pct,,836,834,99.76076555023924,,
matched_control,영동 해안형,D-3_최소습도_pct,,1721,1719,99.88378849506101,,
matched_control,영서 내륙형,D-3_최소습도_pct,,3075,3064,99.64227642276423,,
