,결측률,최소값,최대값
직전24h_평균풍속,5.699954400364797e-05,0.0245833333333333,14.51875
직전48h_평균풍속,5.699954400364797e-05,0.03,13.153333333333334
직전72h_평균풍속,0.002051983584131327,0.05527777777777779,12.766666666666667
D-1_최소습도_pct,0.0013679890560875513,1.09,99.81
D-2_최소습도_pct,0.0027359781121751026,1.09,99.81
D-3_최소습도_pct,0.004103967168262654,1.09,99.81
