analysis_id,fire_exposure_id,sample_group,target,기상셀ID,기준시각,기후지형유형,date,month,hour,rh_mean_3h_drop_le_m5,rh_mean_3h_drop_le_m10,rh_mean_6h_drop_le_m5,rh_mean_6h_drop_le_m10,rh_min_6h_drop_le_m10,wind_mean_3h_inc_ge_0p5,wind_max_6h_inc_ge_1p0,pressure_abs_change_3h_ge_1p0,ffmc_1d_change_ge_3,isi_1d_change_ge_0p5
FE_00033,FE_00033,fire,1,YD_0001,2021-02-18 15:00:00,영동 해안형,2021-02-18,2,15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00034,FE_00034,fire,1,YD_0001,2021-02-18 16:00:00,영동 해안형,2021-02-18,2,16,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00035,FE_00035,fire,1,YD_0001,2021-02-18 17:00:00,영동 해안형,2021-02-18,2,17,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00036,FE_00036,fire,1,YD_0001,2021-02-22 17:00:00,영동 해안형,2021-02-22,2,17,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
FE_00037,FE_00037,fire,1,YD_0001,2021-02-22 18:00:00,영동 해안형,2021-02-22,2,18,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
FE_00038,FE_00038,fire,1,YD_0001,2021-02-24 18:00:00,영동 해안형,2021-02-24,2,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FE_00039,FE_00039,fire,1,YD_0001,2021-02-24 20:00:00,영동 해안형,2021-02-24,2,20,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00040,FE_00040,fire,1,YD_0001,2021-03-30 16:00:00,영동 해안형,2021-03-30,3,16,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
FE_00041,FE_00041,fire,1,YD_0001,2021-04-22 11:00:00,영동 해안형,2021-04-22,4,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00042,FE_00042,fire,1,YD_0001,2021-04-23 13:00:00,영동 해안형,2021-04-23,4,13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FE_00043,FE_00043,fire,1,YD_0001,2021-05-06 14:00:00,영동 해안형,2021-05-06,5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
FE_00044,FE_00044,fire,1,YD_0002,2020-01-25 09:00:00,영동 해안형,2020-01-25,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00045,FE_00045,fire,1,YD_0002,2020-03-05 16:00:00,영동 해안형,2020-03-05,3,16,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00046,FE_00046,fire,1,YD_0002,2020-05-01 20:00:00,영동 해안형,2020-05-01,5,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
FE_00047,FE_00047,fire,1,YD_0002,2020-05-01 21:00:00,영동 해안형,2020-05-01,5,21,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
FE_00048,FE_00048,fire,1,YD_0002,2021-01-06 13:00:00,영동 해안형,2021-01-06,1,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
FE_00049,FE_00049,fire,1,YD_0002,2021-01-29 15:00:00,영동 해안형,2021-01-29,1,15,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
FE_00050,FE_00050,fire,1,YD_0002,2021-01-30 09:00:00,영동 해안형,2021-01-30,1,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
FE_00051,FE_00051,fire,1,YD_0002,2021-02-06 15:00:00,영동 해안형,2021-02-06,2,15,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00052,FE_00052,fire,1,YD_0002,2021-02-27 09:00:00,영동 해안형,2021-02-27,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00053,FE_00053,fire,1,YD_0002,2021-02-27 14:00:00,영동 해안형,2021-02-27,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00054,FE_00054,fire,1,YD_0002,2021-03-13 16:00:00,영동 해안형,2021-03-13,3,16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
FE_00055,FE_00055,fire,1,YD_0002,2021-03-14 14:00:00,영동 해안형,2021-03-14,3,14,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
FE_00056,FE_00056,fire,1,YD_0002,2021-03-27 09:00:00,영동 해안형,2021-03-27,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00057,FE_00057,fire,1,YD_0002,2021-04-24 09:00:00,영동 해안형,2021-04-24,4,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00058,FE_00058,fire,1,YD_0002,2021-05-08 15:00:00,영동 해안형,2021-05-08,5,15,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
FE_00059,FE_00059,fire,1,YD_0003,2020-01-31 14:00:00,영동 해안형,2020-01-31,1,14,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00060,FE_00060,fire,1,YD_0003,2020-02-01 19:00:00,영동 해안형,2020-02-01,2,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
FE_00061,FE_00061,fire,1,YD_0003,2020-02-07 17:00:00,영동 해안형,2020-02-07,2,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
FE_00062,FE_00062,fire,1,YD_0003,2020-03-26 05:00:00,영동 해안형,2020-03-26,3,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00063,FE_00063,fire,1,YD_0003,2020-06-23 20:00:00,영동 해안형,2020-06-23,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00064,FE_00064,fire,1,YD_0003,2020-10-14 09:00:00,영동 해안형,2020-10-14,10,9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
FE_00065,FE_00065,fire,1,YD_0003,2020-10-14 10:00:00,영동 해안형,2020-10-14,10,10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
FE_00066,FE_00066,fire,1,YD_0003,2020-10-14 11:00:00,영동 해안형,2020-10-14,10,11,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
FE_00067,FE_00067,fire,1,YD_0003,2020-10-14 14:00:00,영동 해안형,2020-10-14,10,14,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00068,FE_00068,fire,1,YD_0003,2020-10-14 15:00:00,영동 해안형,2020-10-14,10,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
FE_00069,FE_00069,fire,1,YD_0003,2020-10-15 09:00:00,영동 해안형,2020-10-15,10,9,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
FE_00070,FE_00070,fire,1,YD_0003,2020-10-15 10:00:00,영동 해안형,2020-10-15,10,10,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
FE_00071,FE_00071,fire,1,YD_0003,2020-10-15 11:00:00,영동 해안형,2020-10-15,10,11,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00072,FE_00072,fire,1,YD_0003,2020-10-15 13:00:00,영동 해안형,2020-10-15,10,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
FE_00073,FE_00073,fire,1,YD_0003,2020-10-15 14:00:00,영동 해안형,2020-10-15,10,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
FE_00074,FE_00074,fire,1,YD_0003,2020-10-15 15:00:00,영동 해안형,2020-10-15,10,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
FE_00075,FE_00075,fire,1,YD_0003,2020-10-15 16:00:00,영동 해안형,2020-10-15,10,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
FE_00076,FE_00076,fire,1,YD_0003,2020-10-16 09:00:00,영동 해안형,2020-10-16,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FE_00077,FE_00077,fire,1,YD_0003,2020-10-16 10:00:00,영동 해안형,2020-10-16,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FE_00078,FE_00078,fire,1,YD_0003,2020-10-16 14:00:00,영동 해안형,2020-10-16,10,14,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
FE_00079,FE_00079,fire,1,YD_0003,2020-10-16 15:00:00,영동 해안형,2020-10-16,10,15,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
FE_00080,FE_00080,fire,1,YD_0003,2020-10-16 16:00:00,영동 해안형,2020-10-16,10,16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
FE_00081,FE_00081,fire,1,YD_0003,2020-10-19 08:00:00,영동 해안형,2020-10-19,10,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00082,FE_00082,fire,1,YD_0003,2020-10-19 09:00:00,영동 해안형,2020-10-19,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FE_00083,FE_00083,fire,1,YD_0003,2020-10-19 10:00:00,영동 해안형,2020-10-19,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FE_00084,FE_00084,fire,1,YD_0003,2020-10-19 13:00:00,영동 해안형,2020-10-19,10,13,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
FE_00085,FE_00085,fire,1,YD_0003,2020-10-19 14:00:00,영동 해안형,2020-10-19,10,14,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
FE_00086,FE_00086,fire,1,YD_0003,2020-10-30 18:00:00,영동 해안형,2020-10-30,10,18,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
