analysis_id,fire_exposure_id,control_rank,sample_group,target,기상셀ID,기준시각,기후지형유형,month,hour,date,matched_control_n,full_5_matched,is_less_than_5_matched,is_february,is_2021_feb_cluster,is_ys0071,has_exact_hourly_row
FE_00045,FE_00045,,fire,1,YD_0002,2020-03-05 16:00:00,영동 해안형,3,16,2020-03-05,5,True,False,False,False,False,True
FE_00046,FE_00046,,fire,1,YD_0002,2020-05-01 20:00:00,영동 해안형,5,20,2020-05-01,5,True,False,False,False,False,True
FE_00047,FE_00047,,fire,1,YD_0002,2020-05-01 21:00:00,영동 해안형,5,21,2020-05-01,5,True,False,False,False,False,True
FE_00048,FE_00048,,fire,1,YD_0002,2021-01-06 13:00:00,영동 해안형,1,13,2021-01-06,5,True,False,False,False,False,True
FE_00049,FE_00049,,fire,1,YD_0002,2021-01-29 15:00:00,영동 해안형,1,15,2021-01-29,5,True,False,False,False,False,True
FE_00050,FE_00050,,fire,1,YD_0002,2021-01-30 09:00:00,영동 해안형,1,9,2021-01-30,5,True,False,False,False,False,True
FE_00051,FE_00051,,fire,1,YD_0002,2021-02-06 15:00:00,영동 해안형,2,15,2021-02-06,5,True,False,True,True,False,True
FE_00052,FE_00052,,fire,1,YD_0002,2021-02-27 09:00:00,영동 해안형,2,9,2021-02-27,5,True,False,True,True,False,True
FE_00053,FE_00053,,fire,1,YD_0002,2021-02-27 14:00:00,영동 해안형,2,14,2021-02-27,5,True,False,True,True,False,True
FE_00054,FE_00054,,fire,1,YD_0002,2021-03-13 16:00:00,영동 해안형,3,16,2021-03-13,5,True,False,False,False,False,True
FE_00055,FE_00055,,fire,1,YD_0002,2021-03-14 14:00:00,영동 해안형,3,14,2021-03-14,5,True,False,False,False,False,True
FE_00056,FE_00056,,fire,1,YD_0002,2021-03-27 09:00:00,영동 해안형,3,9,2021-03-27,5,True,False,False,False,False,True
FE_00057,FE_00057,,fire,1,YD_0002,2021-04-24 09:00:00,영동 해안형,4,9,2021-04-24,5,True,False,False,False,False,True
FE_00058,FE_00058,,fire,1,YD_0002,2021-05-08 15:00:00,영동 해안형,5,15,2021-05-08,5,True,False,False,False,False,True
FE_00059,FE_00059,,fire,1,YD_0003,2020-01-31 14:00:00,영동 해안형,1,14,2020-01-31,5,True,False,False,False,False,True
FE_00060,FE_00060,,fire,1,YD_0003,2020-02-01 19:00:00,영동 해안형,2,19,2020-02-01,5,True,False,True,False,False,True
FE_00061,FE_00061,,fire,1,YD_0003,2020-02-07 17:00:00,영동 해안형,2,17,2020-02-07,5,True,False,True,False,False,True
FE_00062,FE_00062,,fire,1,YD_0003,2020-03-26 05:00:00,영동 해안형,3,5,2020-03-26,5,True,False,False,False,False,True
FE_00063,FE_00063,,fire,1,YD_0003,2020-06-23 20:00:00,영동 해안형,6,20,2020-06-23,5,True,False,False,False,False,True
FE_00064,FE_00064,,fire,1,YD_0003,2020-10-14 09:00:00,영동 해안형,10,9,2020-10-14,5,True,False,False,False,False,True
FE_00065,FE_00065,,fire,1,YD_0003,2020-10-14 10:00:00,영동 해안형,10,10,2020-10-14,5,True,False,False,False,False,True
FE_00066,FE_00066,,fire,1,YD_0003,2020-10-14 11:00:00,영동 해안형,10,11,2020-10-14,5,True,False,False,False,False,True
FE_00067,FE_00067,,fire,1,YD_0003,2020-10-14 14:00:00,영동 해안형,10,14,2020-10-14,5,True,False,False,False,False,True
FE_00068,FE_00068,,fire,1,YD_0003,2020-10-14 15:00:00,영동 해안형,10,15,2020-10-14,5,True,False,False,False,False,True
FE_00069,FE_00069,,fire,1,YD_0003,2020-10-15 09:00:00,영동 해안형,10,9,2020-10-15,5,True,False,False,False,False,True
FE_00070,FE_00070,,fire,1,YD_0003,2020-10-15 10:00:00,영동 해안형,10,10,2020-10-15,5,True,False,False,False,False,True
FE_00071,FE_00071,,fire,1,YD_0003,2020-10-15 11:00:00,영동 해안형,10,11,2020-10-15,5,True,False,False,False,False,True
FE_00072,FE_00072,,fire,1,YD_0003,2020-10-15 13:00:00,영동 해안형,10,13,2020-10-15,5,True,False,False,False,False,True
FE_00073,FE_00073,,fire,1,YD_0003,2020-10-15 14:00:00,영동 해안형,10,14,2020-10-15,5,True,False,False,False,False,True
FE_00074,FE_00074,,fire,1,YD_0003,2020-10-15 15:00:00,영동 해안형,10,15,2020-10-15,5,True,False,False,False,False,True
FE_00075,FE_00075,,fire,1,YD_0003,2020-10-15 16:00:00,영동 해안형,10,16,2020-10-15,5,True,False,False,False,False,True
FE_00076,FE_00076,,fire,1,YD_0003,2020-10-16 09:00:00,영동 해안형,10,9,2020-10-16,5,True,False,False,False,False,True
FE_00077,FE_00077,,fire,1,YD_0003,2020-10-16 10:00:00,영동 해안형,10,10,2020-10-16,5,True,False,False,False,False,True
FE_00078,FE_00078,,fire,1,YD_0003,2020-10-16 14:00:00,영동 해안형,10,14,2020-10-16,5,True,False,False,False,False,True
FE_00079,FE_00079,,fire,1,YD_0003,2020-10-16 15:00:00,영동 해안형,10,15,2020-10-16,5,True,False,False,False,False,True
FE_00080,FE_00080,,fire,1,YD_0003,2020-10-16 16:00:00,영동 해안형,10,16,2020-10-16,5,True,False,False,False,False,True
FE_00081,FE_00081,,fire,1,YD_0003,2020-10-19 08:00:00,영동 해안형,10,8,2020-10-19,5,True,False,False,False,False,True
