group,feature,variable,risk_direction,unit,n,fire_mean,control_mean,mean_delta,median_delta,sd_delta,mean_delta_ci_low_t,mean_delta_ci_high_t,date_boot_ci_low,date_boot_ci_high,cell_boot_ci_low,cell_boot_ci_high,cohen_dz,direction_match_pct,paired_t_p,wilcoxon_p,date_n,cell_n,support_flag,paired_t_q,wilcoxon_q,date_ci_excludes_zero,cell_ci_excludes_zero,candidate_priority
영동 해안형,rh_mean_1h_minus_prev6h_mean,humidity_drop,lower,%p,354,-3.370042372881356,-3.9594860326428125,0.5894436597614559,0.2765000000000002,8.899862136002053,-0.34085268309445704,1.5197400026173686,-0.8355273707384762,1.887458415556753,-0.5584589013002373,1.6926821046673628,0.06623065062738628,46.04519774011299,0.21354586889726357,0.0752611123162981,165,21,ok,0.29424379442887827,0.16724691625844024,False,False,descriptive_only
영동 해안형,rh_mean_3h_minus_prev21h_mean,humidity_drop,lower,%p,353,-2.509838122217726,-3.3973150771167777,0.8874769548990514,0.2131428571428522,12.959733404773676,-0.4691255822935311,2.244079492091634,-1.2692024974210516,3.2298696362913786,-1.7566449019866222,3.212463465733002,0.06847956876737543,48.725212464589234,0.19907428372201566,0.5263926356541122,164,21,ok,0.29424379442887827,0.6015915836046997,False,False,descriptive_only
영동 해안형,rh_mean_6h_minus_prev18h_mean,humidity_drop,lower,%p,353,-0.8335457979225687,-1.8720156331969362,1.0384698352743678,0.2742222222222268,12.682593979246715,-0.28912222492125084,2.3660618954699864,-1.3798968511481413,3.2592700777502057,-1.5444829148148154,3.0202414131054125,0.08188150129016808,49.008498583569406,0.12484589066410905,0.40183131505102676,164,21,ok,0.22699252848019827,0.4870682606679112,False,False,descriptive_only
영동 해안형,rh_min_6h_minus_prev18h_mean,humidity_drop,lower,%p,353,-7.6023890462700665,-8.698491553876824,1.0961025076067568,0.7287777777777706,12.767467982213061,-0.24037401681120674,2.4325790320247203,-0.9485176460355634,3.296181323397452,-0.9337657724187606,2.9804829578018968,0.08585120472859512,48.44192634560906,0.1076411342237202,0.10475102298207248,164,21,ok,0.21217011919001147,0.2038235003608784,False,False,descriptive_only
영동 해안형,wind_mean_3h_minus_prev21h_mean,wind_increase,higher,m/s,353,0.1819951436665318,0.15128094788434732,0.03071419578218447,-0.019047619047619535,1.0367440218014758,-0.07781038003023641,0.13923877159460535,-0.12728884782960806,0.18081370007295253,-0.08627696318376961,0.13881091242886967,0.02962563095258038,49.008498583569406,0.5781441467563793,0.8192206117743345,164,21,ok,0.6607361677215764,0.8402262684864968,False,False,descriptive_only
영동 해안형,wind_max_6h_minus_prev18h_max,wind_increase,higher,m/s,353,-0.641756373937677,-0.7310755429650613,0.08931916902738438,0.03200000000000047,1.489458506569158,-0.06659477811527148,0.24523311617004023,-0.11156618320867863,0.29662501724817664,-0.12162663089551928,0.29995218546356606,0.05996754433470158,51.27478753541076,0.26064197023897984,0.2987962139082909,164,21,ok,0.3363122196631998,0.42155209193465926,False,False,descriptive_only
영동 해안형,pressure_mean_3h_minus_prev3h_mean,pressure_change,two_sided,hPa,354,0.5112900188323901,0.4800009416195907,0.031289077212799374,-0.0006666666666774179,0.4246434523018866,-0.013098604827364684,0.07567675925296344,-0.02648330184946223,0.09421087986642881,0.006807764298384137,0.06329586420972116,0.07368317359702373,49.717514124293785,0.16651789923724306,0.3372416735477274,165,21,ok,0.2664286387795889,0.42155209193465926,False,True,descriptive_only
영동 해안형,FFMC_change_1d,canadian_change,higher,index,353,1.3473125143086173,0.0036330460878599992,1.3436794682207573,0.9822363700396324,9.539753851468973,0.3450744911825334,2.342284445258981,0.14475638836154422,2.5182471524813,-0.07828902359978435,2.530103408834885,0.14085053861361965,61.756373937677054,0.008502077009793756,5.1101767744502376e-05,164,21,ok,0.02616023695321156,0.00029201010139715645,True,False,weak_rapid_candidate
영동 해안형,ISI_change_1d,canadian_change,higher,index,353,0.45461023174536114,-0.17373727417627471,0.6283475059216359,0.534410141196467,3.009213830996473,0.3133481930051278,0.943346818838144,0.12096844241364055,1.0311159278539292,0.255877361218944,0.9608134041007735,0.20880786185724945,58.35694050991501,0.00010510249524556596,4.122873986818444e-06,164,21,ok,0.0004671222010914043,2.7485826578789625e-05,True,True,weak_rapid_candidate
영동 해안형,FWI_change_1d,canadian_change,higher,index,353,0.9093291256350279,-0.4406718427054263,1.3500009683404544,1.019053111495666,4.968043908634765,0.8299547018905947,1.8700472347903139,0.41281015406177246,2.1954742028449807,0.7543474552007032,1.8434412278130075,0.27173692366004853,59.490084985835686,5.413939027226602e-07,5.934189974296908e-08,164,21,ok,7.218585369635469e-06,5.934189974296908e-07,True,True,weak_rapid_candidate
영서 내륙형,rh_mean_1h_minus_prev6h_mean,humidity_drop,lower,%p,615,-10.385666666666665,-9.687719783197833,-0.6979468834688345,-0.6853333333333183,10.729516690982614,-1.5476116771664787,0.15171791022880987,-2.2314788633461045,0.6349525478390358,-1.6210285233395543,0.1495082580007867,-0.06504923787064971,54.63414634146342,0.10722168307557392,0.035868914552278454,208,41,ok,0.21217011919001147,0.08881726434530822,False,False,descriptive_only
영서 내륙형,rh_mean_3h_minus_prev21h_mean,humidity_drop,lower,%p,615,-7.662609368950832,-5.265626519550911,-2.3969828493999223,-1.162571428571411,14.635867942036166,-3.555989547810424,-1.237976150989421,-4.930246602937368,0.04051468866044794,-3.805272510311567,-0.9200831448997928,-0.1637745611598112,55.93495934959349,5.5081122457766424e-05,0.0008095271090806153,208,41,ok,0.00032256759001866305,0.003597898262580513,False,True,descriptive_only
영서 내륙형,rh_mean_6h_minus_prev18h_mean,humidity_drop,lower,%p,615,-2.866305329719964,-0.43095903342366787,-2.4353462962962964,-0.4597222222222275,14.891692642413805,-3.6146116184201853,-1.2560809741724075,-5.90563896397807,0.32520094995204096,-3.8336536429801495,-0.9805802617443515,-0.1635372388334191,52.84552845528455,5.644932825326604e-05,0.013998760419058884,208,41,ok,0.00032256759001866305,0.037330027784157026,False,True,descriptive_only
영서 내륙형,rh_min_6h_minus_prev18h_mean,humidity_drop,lower,%p,615,-13.757717253839205,-10.990629900632339,-2.7670873532068647,-1.1826666666666668,16.143473182388686,-4.045480519098996,-1.4886941873147328,-6.016760383462036,0.14610327190170957,-4.437713669732483,-1.1230738286244883,-0.17140594975717796,54.47154471544715,2.4622542982702406e-05,0.0006318211750397886,208,41,ok,0.00019698034386161925,0.003159105875198943,False,True,descriptive_only
영서 내륙형,wind_mean_3h_minus_prev21h_mean,wind_increase,higher,m/s,615,0.2668943089430894,0.25481513743708867,0.012079171506000788,-0.044190476190476224,0.9352102824141545,-0.06197963976731175,0.08613798277931332,-0.1155004177085598,0.13101260036866536,-0.06896953937295142,0.10634873817945634,0.01291599518647248,47.479674796747965,0.7488451479377831,0.2633979063875095,208,41,ok,0.7882580504608243,0.42143665022001514,False,False,descriptive_only
영서 내륙형,wind_max_6h_minus_prev18h_max,wind_increase,higher,m/s,615,-0.8730731707317072,-0.8955455284552843,0.022472357723577207,-0.056000000000000494,1.4862483525166441,-0.09522286902282616,0.14016758446998057,-0.17070398431254996,0.20059290126795898,-0.10980868902006163,0.15382028067560852,0.015120190165745227,48.292682926829265,0.7078133593217774,0.811815537556184,208,41,ok,0.7652036316992188,0.8402262684864968,False,False,descriptive_only
영서 내륙형,pressure_mean_3h_minus_prev3h_mean,pressure_change,two_sided,hPa,615,0.5084878048780546,0.4752108401084017,0.033276964769652896,0.0006666666668252233,0.47434166550866347,-0.00428590268972992,0.07083983222903571,-0.012739973475924106,0.0865209177852513,-0.004587249804216825,0.07772164557011055,0.0701539990883325,51.54471544715447,0.08240179466605686,0.33541309218720194,208,41,ok,0.19388657568483966,0.42155209193465926,False,False,descriptive_only
영서 내륙형,FFMC_change_1d,canadian_change,higher,index,615,1.7692166450559061,0.10627795770252588,1.6629386873533805,0.9826731426229713,10.383536337832759,0.8406718961798916,2.4852054785268693,0.24988705472610687,3.0284797883618637,0.7685345954539363,2.654879077244831,0.16015147761311416,56.58536585365853,7.984486917605522e-05,3.872869756017824e-06,208,41,ok,0.0003992243458802761,2.7485826578789625e-05,True,True,weak_rapid_candidate
