기후지형유형,month,rh_q05,rh_q10,rh_q20,ah_q05,ah_q10,ah_q20,vpd_q80,vpd_q90,vpd_q95
고지·산간형,1,41.98932,45.940693333333336,51.49942,0.10205411499122358,0.11912675256221675,0.15702290641152808,0.2441107135359725,0.2936934093632405,0.33299571010671736
고지·산간형,2,39.988506666666666,43.89142,49.22900333333334,0.13012880423202972,0.15204250143403406,0.1950822816556887,0.3547127138452316,0.4544595859244244,0.5360234611257189
고지·산간형,3,40.934255,44.53891,50.29285333333333,0.2501544269381819,0.2781081688261485,0.31715995897454474,0.5486554061183081,0.6648853347358328,0.7526004439019096
고지·산간형,4,37.653193333333334,41.358155000000004,46.38141,0.29474182690521533,0.3255366691902421,0.3702923915975736,0.7355505358964705,0.8772995712133439,0.9922362329818266
고지·산간형,5,44.887475,50.841633333333334,58.258556666666664,0.498810336661581,0.5526865133011435,0.6333411890745329,0.7943480888860107,0.9737010622617646,1.1092542193006527
고지·산간형,6,57.75031916666667,61.43328166666666,66.39737666666666,0.8914761930608779,0.9864365186228405,1.073179205476903,0.9037782857678707,1.0771058285957464,1.2011006997129514
고지·산간형,7,72.103725,75.10393,78.19462666666666,1.141598800157684,1.2001078681371422,1.2984180703857786,0.6589146610582247,0.768241591125445,0.868805971216935
고지·산간형,8,73.23020666666667,76.13034833333334,79.90636666666667,1.3139412802237993,1.3593784826364352,1.4331523572823601,0.6033208308324439,0.7491352422029987,0.8753839847473301
고지·산간형,9,68.56214666666666,73.02143166666667,78.21533333333333,0.8574324636520843,0.9331477618877585,1.0217528321516625,0.47156316325128295,0.5966658544306016,0.698204698266499
고지·산간형,10,55.47203916666667,60.73695333333333,67.27382666666666,0.3988188149084262,0.4564898200010524,0.5238185768609245,0.4628915047170175,0.5522151271308635,0.6348482107763018
고지·산간형,11,41.077461666666665,45.97320166666667,53.025533333333335,0.20829914978305417,0.23628159171896831,0.2867831072526524,0.4499535570603556,0.5318754656001838,0.6117084153900199
고지·산간형,12,39.82731416666667,43.50316333333333,49.05798333333333,0.09286983864214138,0.10781582055393933,0.15839736114674896,0.2793675821041415,0.31941224563689,0.3516990954544076
영동 해안형,1,27.50665773809524,30.573781746031745,36.35398015873016,0.0867113120720836,0.10245207137918101,0.1532729953277011,0.4157211493801489,0.46689374032410996,0.5194429912321352
영동 해안형,2,30.31643253968254,33.47825793650794,39.703075396825405,0.12538900275484066,0.1511515801927121,0.21330881866288162,0.48841284352250247,0.5793501717807176,0.6664105996884198
영동 해안형,3,32.541619047619044,37.06027777777778,45.67150396825397,0.27348732750063154,0.30754990648698305,0.3619062065560521,0.6593795326275688,0.8548071992047781,0.9893463268445168
영동 해안형,4,30.93321031746032,35.1508373015873,42.03256746031746,0.32713310718490596,0.3645187504068741,0.42640073055082145,0.8697457868569856,1.1204618746329205,1.2996877168611631
영동 해안형,5,35.830236111111105,41.295408730158734,50.34782142857143,0.530903727664456,0.596193762591167,0.7268175476307783,1.1019375250895556,1.349453884096011,1.5340853051490557
영동 해안형,6,50.453085317460314,56.655609126984125,66.78685317460318,0.993374418572731,1.1218259311170626,1.2333131676377274,0.946534089266529,1.2989235358628675,1.5237172352745367
영동 해안형,7,73.73714781746031,77.37457738095239,80.81053571428572,1.3192046647643485,1.3754101968063621,1.4651539001356602,0.5939168070868837,0.720385793381591,0.8611004240966771
영동 해안형,8,66.9885257936508,70.84230555555555,76.4546507936508,1.4582231098711782,1.54326467981987,1.621467375133873,0.7758487847795178,1.0200036977851004,1.2058364958947831
영동 해안형,9,60.79896031746031,67.80993055555555,75.72324206349207,1.0016876138375663,1.0729014796272922,1.1864193976550532,0.5888689521414953,0.8229635557365467,1.0402296340779653
영동 해안형,10,45.709754960317454,51.8513373015873,59.62724206349206,0.46174424686383764,0.5401119897388638,0.6353911287824175,0.662156177872218,0.8070259829261545,0.9266933334481627
영동 해안형,11,29.1884375,33.616748015873014,40.71911111111111,0.19652173620165772,0.22818637050499976,0.29585013962108747,0.7010745350132861,0.8190877799883022,0.9350128456679024
영동 해안형,12,24.391002976190478,27.642517857142856,32.040420634920636,0.08198601886871244,0.099511644429751,0.14456053192717377,0.4895611050278202,0.547648677236082,0.5969787702581307
영서 내륙형,1,47.1015055894309,52.20330386178862,59.18245934959349,0.09955215650952662,0.12096972348059998,0.15905550722055142,0.2218414744704357,0.27003694009107104,0.3145089219125593
영서 내륙형,2,42.463626016260164,47.43086585365854,53.76197357723577,0.13285406890943655,0.1551217324255009,0.19399607257053544,0.3480312528466684,0.4364681409275401,0.49999495525187504
영서 내륙형,3,44.01269207317073,47.647019308943094,52.68572154471545,0.2666917254415548,0.2928703172765664,0.33144339993373034,0.6013877987824912,0.712645091846836,0.7981310557040785
영서 내륙형,4,39.898965447154474,43.67430691056911,48.566038617886186,0.2980612194335553,0.3360792083374724,0.3927323940560731,0.814380389190384,0.944313462148421,1.0506064823386985
영서 내륙형,5,51.235290142276426,56.40120020325204,63.09468089430895,0.5634844198979561,0.6208364060667863,0.7035790140115206,0.8430107834748642,1.0162157615160048,1.138925226507167
영서 내륙형,6,61.15851067073171,64.57329573170732,68.82914227642277,1.0004961053870722,1.1112884414450044,1.2044815487993734,0.9753811965843076,1.1410462307049842,1.2901176885723484
영서 내륙형,7,69.6207581300813,72.5464319105691,75.6869512195122,1.2731206903858823,1.3432192040027147,1.4509319237833123,0.8961031640605396,1.0461351868700628,1.1698045788392608
영서 내륙형,8,73.83807113821138,76.64549796747967,80.15733943089431,1.4126989433911457,1.479366742255867,1.5823062126934417,0.68519094798771,0.8165215694228047,0.925314325771025
영서 내륙형,9,69.85425101626016,72.99704573170732,76.4115081300813,0.9255472535783504,0.9880038596528119,1.08942010771813,0.6095419719457753,0.7156963844880923,0.8024659692655036
영서 내륙형,10,61.428609756097565,65.85592174796749,71.27781300813008,0.40508883715741767,0.4687215482264441,0.5534283493367731,0.4580217640724001,0.5365907459729681,0.6129821031317761
영서 내륙형,11,48.37816819105691,54.05339634146342,61.479823170731706,0.23557444579757528,0.2669315788936617,0.31585176282543415,0.4060816206035523,0.4919961233107449,0.5603003131214798
영서 내륙형,12,44.51571697154471,49.159816056910564,55.95107520325203,0.10058392352197026,0.11837752256683264,0.16450485093952535,0.23497554103599544,0.2839777676016413,0.323460765326367
