group,feature,n,fire_mean,control_mean,mean_delta,median_delta,sd_delta,mean_delta_ci_low_t,mean_delta_ci_high_t,date_boot_ci_low,date_boot_ci_high,cell_boot_ci_low,cell_boot_ci_high,cohen_dz,direction_match_pct,paired_t_p,wilcoxon_p,date_n,cell_n,support_flag,paired_t_q,wilcoxon_q
전체,last_rain_elapsed_h_0p1,1150,178.82782608695652,169.18539130434783,9.642434782608696,-0.6000000000000014,180.20708687348525,-0.783830209635088,20.06869977485248,-20.00785489621264,38.15648007504838,-7.137905310684515,28.520293661594877,0.05350752265019514,49.65217391304348,0.06985710436141611,0.08760761565903664,282,87,ok,0.10161033361660524,0.097794547712413
전체,last_rain_elapsed_h_1p0,1150,332.22869565217394,325.51217391304345,6.716521739130434,0.0,219.81835951583375,-6.001537834638813,19.43458131289968,-25.67806035595126,39.11300875285203,-16.865445794487478,30.726303772358253,0.03055487154905565,45.82608695652174,0.3003426715886633,0.10111265212130187,282,87,ok,0.3516206886891668,0.11030471140505659
전체,last_rain_elapsed_h_5p0,1150,586.0713043478261,553.5076521739131,32.56365217391304,0.0,178.76528820952447,22.22080551552464,42.906498832301445,13.390130073453246,52.10496912861131,17.255312987736897,48.123882601244496,0.182158698145841,31.82608695652174,9.034983175511986e-10,9.603321924975043e-10,282,87,ok,6.195417034636791e-09,4.609594523988021e-09
전체,drying_amount_0p1,1136,33.674595070422534,28.46361018192488,5.210984888497653,4.176999999999999,20.73166465384114,4.004126061843169,6.417843715152137,1.52502390649394,8.900477766425231,3.527537849835556,6.924501346998114,0.25135390599385216,61.179577464788736,7.402187100806604e-17,1.5411332033949719e-18,277,87,ok,2.6476195179412382e-15,7.397439376295865e-17
전체,drying_amount_1p0,1129,37.39949512843224,32.70700723354,4.692487894892235,4.594000000000001,19.885931276282502,3.5312711179454133,5.853704671839056,1.1586414739752882,7.837171243906533,3.338573906011442,6.178449642651058,0.23597023592698715,60.93888396811338,5.292419561432114e-15,1.0200920146813959e-16,276,87,ok,8.467871298291384e-14,1.6321472234902336e-15
전체,drying_amount_5p0,1076,38.34631040892193,33.75112345105329,4.595186957868649,4.706000000000001,19.458061157498907,3.431246493963949,5.75912742177335,0.9650751834430282,8.265376454696952,3.1721988094885805,5.966224164212918,0.2361585216879493,60.966542750929364,2.174768553660152e-14,3.5879677805749246e-16,266,86,ok,2.6097222643921825e-13,4.30556133668991e-15
전체,drying_rate_0p1,1136,0.5090994676793456,0.5526000828363544,-0.04350061515700892,-0.09024525330493298,1.0134230273911327,-0.10249532427291633,0.015494093958898482,-0.16738455989067194,0.08833972451308458,-0.11364637031190489,0.034882354385436666,-0.04292443923342958,36.70774647887324,0.1482427768069392,8.488506716061794e-13,277,87,ok,0.18725403386139688,5.2794194311815645e-12
전체,drying_rate_1p0,1129,0.3033892139306033,0.33544578556687815,-0.032056571636274886,-0.019865456849599394,0.6616305420044173,-0.07069174918173277,0.006578605909182994,-0.10488368552859195,0.05018146714004676,-0.08841140788207223,0.023348705410023513,-0.0484508643436549,41.71833480956599,0.10380882979775317,1.1449356681986995e-10,276,87,ok,0.14236639515120433,6.106323563726397e-10
전체,drying_rate_5p0,1076,0.09189284075288981,0.10854703527097921,-0.01665419451808939,-0.002240134380662352,0.31468685810050673,-0.035478103264057,0.0021697142278782194,-0.04121546963927923,0.009947692840136342,-0.03745538078208077,0.005897318049335536,-0.0529230696782713,44.05204460966542,0.08284933328652726,4.838836765923099e-08,266,86,ok,0.11696376463980318,1.7866474212639133e-07
전체,rain_to_ffmc_recovery_0p1,1136,9.271768414261777,6.490372557022388,2.7813958572393873,1.0294463924570216,19.174667042572423,1.665175015600325,3.8976166988784495,0.6457786397113121,4.8967842517491835,1.1310150381822637,4.73661507303288,0.14505575773827062,55.28169014084507,1.1589719623418047e-06,0.00021937774062174954,277,87,ok,6.1811837991562915e-06,0.00045783180651495553
전체,rain_to_ffmc_recovery_1p0,1129,13.666670028199123,11.36540840986966,2.301261618329462,1.6433167186288928,20.723013133016465,1.0911643800045707,3.511358856654353,-0.0788346778437871,5.0995050205076415,0.6986069566529666,3.9172123790699676,0.11104860106771972,60.23029229406555,0.00019998270184971173,2.1168859018082166e-07,276,87,ok,0.0007383976683681664,6.774034885786293e-07
전체,rain_to_ffmc_recovery_5p0,1076,26.479033322953544,22.888702837605184,3.5903304853483617,2.376665131192062,19.938724198056352,2.397637765097059,4.783023205599664,1.041006182436185,6.86794229328343,1.5073036629730687,5.585467388689151,0.1800682154828317,62.9182156133829,4.678619907758083e-09,2.922726357131181e-14,266,86,ok,2.80717194465485e-08,2.805817302845934e-13
영동 해안형,last_rain_elapsed_h_0p1,354,205.08757062146893,232.54830508474575,-27.460734463276836,-17.599999999999994,212.87191765559686,-49.712086615197535,-5.209382311356141,-65.86085158357622,12.279460031347954,-52.41892219963867,3.958323115318868,-0.1290012077013618,44.91525423728814,0.015717999027317128,0.020517376824386275,165,21,ok,0.03121231151733128,0.02661713750190652
영동 해안형,last_rain_elapsed_h_1p0,354,387.3587570621469,380.2593220338983,7.09943502824859,0.0,221.32177861219438,-16.035175159070718,30.234045215567896,-24.53220648748841,43.422759604978346,-41.10216300418569,41.93010663933475,0.032077435274403786,43.50282485875706,0.5465415500620165,0.19556157179102096,165,21,ok,0.5917257844461115,0.19972245629721289
영동 해안형,last_rain_elapsed_h_5p0,354,605.9689265536723,579.5276836158192,26.441242937853104,0.0,156.62892903403494,10.068930913337105,42.8135549623691,7.4592512106537505,47.10573099415204,6.417653430059147,51.68054412262871,0.16881455489047947,27.401129943502823,0.0016235042543377045,0.000654763410383005,165,21,ok,0.004101484432011043,0.0012087939883993937
영동 해안형,drying_amount_0p1,352,32.45278409090909,29.69785606060606,2.75492803030303,2.880000000000006,21.404651990778568,0.5111235126371039,4.998732547968956,-1.5602607107843138,7.120647064607553,0.22769874381800143,5.016133974358976,0.12870697601109762,57.38636363636363,0.016256412248610044,0.0023287486803989423,163,21,ok,0.03121231151733128,0.003725997888638308
영동 해안형,drying_amount_1p0,348,39.27353448275862,35.22040229885058,4.053132183908045,5.3740000000000006,21.229998768721327,1.8147932609434316,6.291471106872658,-0.06752855727907645,8.19796995968136,1.8265478082948179,5.952348702732343,0.19091532826085808,58.04597701149425,0.0004202530244277007,0.00011534783406598478,163,21,ok,0.001344809678168642,0.00026365219215082234
영동 해안형,drying_amount_5p0,327,41.466116207951075,37.39201630988787,4.0740998980632,5.413999999999994,21.116521003290842,1.776830567601945,6.371369228524456,0.0012980285658646326,8.12733652219921,1.7680033916301467,6.288581728297906,0.19293423843010332,58.103975535168196,0.0005517413152186058,0.00011532599021828887,154,21,ok,0.0014713101739162822,0.00026365219215082234
영동 해안형,drying_rate_0p1,352,0.47640331166826494,0.4672250185737931,0.009178293094471813,-0.06375151642977274,1.0640066965281307,-0.10235928450899279,0.1207158706979364,-0.12407390152826427,0.16941228110037557,-0.15070958010169255,0.20456000267867383,0.008626161023629566,40.340909090909086,0.8715240861463146,0.0007077905426819258,163,21,ok,0.8900671518090022,0.0012582942981012016
영동 해안형,drying_rate_1p0,348,0.24897553862091049,0.32094978442904615,-0.07197424580813565,-0.009963189443510604,0.6188620958537357,-0.13722263004910684,-0.006725861567164468,-0.1401370054349064,0.0008912648990830101,-0.1994334273579797,0.04192333024637067,-0.11630094376493583,44.54022988505747,0.030718014441917088,0.000505117181983255,163,21,ok,0.054609803452297045,0.0009698249894078495
영동 해안형,drying_rate_5p0,327,0.08833825739381936,0.08735305183303169,0.0009852055607876714,-0.0005761366370979348,0.2989731938682138,-0.03154013082376445,0.03351054194533979,-0.026091270977993308,0.037953548959067114,-0.027025304652216083,0.03402263950351419,0.003295297307563788,48.01223241590214,0.9525192308297082,0.025682230738654437,154,21,ok,0.9525192308297082,0.03160889937065161
영동 해안형,rain_to_ffmc_recovery_0p1,352,8.249021496621582,6.974045849573215,1.2749756470483684,0.5684033131603993,15.359781541329589,-0.3351578523257286,2.885109146422465,-1.035850314371991,3.3868192603195797,-0.6745375727937264,3.3239440110474225,0.08300740760001737,53.69318181818182,0.1202869086543252,0.19533836290542161,163,21,ok,0.15604788149750295,0.19972245629721289
