,경과시간_hr,습도_변화량_pctp,풍속_변화량_m_s
count,3383.0,3383.0,3383.0
mean,135.01596216375998,-34.334445758202776,0.5633195388708248
std,145.0818353644021,21.496653942696547,1.62515047946106
min,1.0,-88.77000000000001,-9.57
25%,29.0,-52.72,-0.19
50%,61.0,-35.16,0.6200000000000001
75%,213.0,-19.159999999999997,1.65
max,857.0,48.52000000000001,7.7
