FWI지수,N_셀,H_stat,p_value,epsilon_squared,q_FDR
FFMC,92,5.9509757293768075,0.05102253583763209,0.06539533768545942,0.05102253583763209
DMC,92,18.462875600322946,9.79123565690086e-05,0.2028887428606917,0.0001468685348535129
DC,92,11.046644903587435,0.003992560790592744,0.12139170223722456,0.004791072948711293
ISI,92,21.672593833884207,1.9672341038878216e-05,0.23816037180092536,5.901702311663465e-05
BUI,92,19.612150355488325,5.5115742338177565e-05,0.21551813577459697,0.00011023148467635513
FWI,92,22.041986181186758,1.6354735155498265e-05,0.24221962836468963,5.901702311663465e-05
