기후지형유형,FWI지수,N_셀,Friedman_chi2,p_value,Kendall_W,q_FDR_global
영동 해안형,FFMC,21,57.05714285714282,2.4987038920638883e-12,0.9056689342403622,4.088788187013635e-12
영동 해안형,DMC,21,41.685714285714255,4.67802746848579e-09,0.6616780045351469,5.613632962182948e-09
영동 해안형,DC,21,60.657142857142844,4.2544208403169404e-13,0.9628117913832197,8.508841680633881e-13
영동 해안형,ISI,21,54.8857142857143,7.262652855973872e-12,0.8712018140589571,1.0893979283960808e-11
영동 해안형,BUI,21,51.91428571428571,3.12374722812132e-11,0.8240362811791383,4.016246436155983e-11
영동 해안형,FWI,21,58.599999999999966,1.170282492673034e-12,0.9301587301587296,2.106508486811461e-12
고지·산간형,FFMC,27,71.40000000000003,2.1401085471527275e-15,0.8814814814814819,5.503136264107014e-15
고지·산간형,DMC,27,19.04444444444448,0.000267674314823186,0.23511659807956148,0.000267674314823186
고지·산간형,DC,27,63.48888888888888,1.0556929244671439e-13,0.7838134430727022,2.375309080051074e-13
고지·산간형,ISI,27,52.377777777777794,2.4882262492079833e-11,0.6466392318244172,3.4452363450572073e-11
고지·산간형,BUI,27,29.177777777777806,2.0548373271843743e-06,0.3602194787379976,2.3116919930824213e-06
고지·산간형,FWI,27,28.866666666666674,2.3886497801555458e-06,0.35637860082304534,2.5291585907529308e-06
영서 내륙형,FFMC,44,97.0090909090909,6.831238235241975e-21,0.7349173553719007,4.098742941145185e-20
영서 내륙형,DMC,44,78.16363636363633,7.601123404023286e-17,0.5921487603305783,2.280337021206986e-16
영서 내륙형,DC,44,106.33636363636356,6.740017670480929e-23,0.8055785123966936,1.2132031806865673e-21
영서 내륙형,ISI,44,90.5727272727272,1.6502089371970133e-19,0.6861570247933879,5.940752173909248e-19
영서 내륙형,BUI,44,102.84545454545446,3.7982956780957557e-22,0.779132231404958,3.4184661102861806e-21
영서 내륙형,FWI,44,90.73636363636365,1.5219112891085454e-19,0.6873966942148761,5.940752173909248e-19
