데이터,K,Cluster,평균기온_C,평균_일교차_C,평균습도_pct,평균풍속_m_s,연평균강수량_mm
전체,2,0,10.200815533475732,10.788930328557372,73.59732363141094,1.4682490340077279,1296.6821052631578
전체,2,1,11.001210263175038,7.419670119210475,68.87237059474953,2.6060564295485635,1658.9765714285713
전체,3,0,11.001210263175038,7.419670119210475,68.87237059474953,2.6060564295485635,1658.9765714285713
전체,3,1,10.393097650397369,10.957758940785617,73.46794301877728,1.4917899281805747,1317.3791964285715
전체,3,2,-0.5669830141358876,1.3345280437756504,80.84263793889649,0.14995896032831735,137.64499999999998
전체,4,0,10.37376158990728,11.033628717636926,73.58882135498472,1.4787833658441845,1320.5643518518518
전체,4,1,12.1487935248518,7.487373461012313,66.99446817145463,2.2585880072959417,1583.6448
전체,4,2,8.596071971424228,7.526888964888281,73.00664353435172,3.2027674228606173,1744.6516666666666
전체,4,3,-0.5669830141358876,1.3345280437756504,80.84263793889649,0.14995896032831735,137.64499999999998
품질검토대상제외,2,0,10.393097650397369,10.957758940785617,73.46794301877728,1.4917899281805744,1317.3791964285715
품질검토대상제외,2,1,11.001210263175038,7.419670119210474,68.87237059474953,2.6060564295485635,1658.9765714285713
품질검토대상제외,3,0,10.37376158990728,11.033628717636926,73.58882135498472,1.4787833658441845,1320.5643518518518
품질검토대상제외,3,1,12.1487935248518,7.487373461012313,66.99446817145463,2.2585880072959417,1583.6448
품질검토대상제외,3,2,8.596071971424228,7.526888964888281,73.00664353435172,3.2027674228606173,1744.6516666666666
품질검토대상제외,4,0,8.774497036023712,7.739284541723666,73.28520799133607,2.776425387596899,1351.046
품질검토대상제외,4,1,10.395914165139509,11.047983893864698,73.62045815803285,1.460647783685655,1316.7353773584905
품질검토대상제외,4,2,12.260710855563154,7.602694368445053,66.9681698633911,2.2601458000835994,1607.38875
품질검토대상제외,4,3,8.517586496808025,6.980574555403557,70.69133521431829,3.8325313497492024,2490.6625000000004
