변수,표시명,단위,기후권역,N_셀,평균,표준편차,최솟값,Q1,중앙값,Q3,최댓값
DEM_고도_m,DEM 고도,m,영동,21,129.32914129892984,100.71916552854694,2.5455081462860107,61.493595123291016,91.37874603271484,148.89239501953125,371.78802490234375
DEM_고도_m,DEM 고도,m,영서,71,502.1460362286635,272.2378718160211,59.98776626586914,253.95274353027344,468.4010009765625,696.8606262207031,1197.0443115234375
평균기온_C,평균기온,°C,영동,21,12.529595927518292,0.7648391997387469,10.901386798905609,12.023689010487917,12.662717168262654,13.08875968992248,13.632140902872775
평균기온_C,평균기온,°C,영서,71,9.906582114667028,1.7036498140692173,-0.5669830141358869,9.214796511627906,10.266125170998633,10.766442088463291,12.600424646602828
평균_일최저기온_C,일최저기온 평균,°C,영동,21,8.833455149501662,0.8158976460761287,7.467318741450068,8.339712722298222,8.740560875512996,9.297879616963064,10.471436388508891
평균_일최저기온_C,일최저기온 평균,°C,영서,71,5.287415464056569,1.3421881696859317,-1.178467852257182,4.375622435020521,5.400779753761969,5.998310533515731,8.251792065663475
평균_일최고기온_C,일최고기온 평균,°C,영동,21,16.505720799947888,0.9199499761000709,14.82690834473324,16.090068399452804,16.500328317373462,17.01826265389877,17.900082079343363
평균_일최고기온_C,일최고기온 평균,°C,영서,71,15.337273270264545,2.5890495777831286,0.15606019151846784,14.472633378932969,16.148987688098494,17.073645690834475,18.163269493844048
평균_일교차_C,일교차 평균,°C,영동,21,7.672265650446225,0.8188303179227687,5.618632010943913,7.425212038303694,7.646771545827633,7.99625170998632,9.44235294117647
평균_일교차_C,일교차 평균,°C,영서,71,10.049857806207973,2.0586617577951536,1.3345280437756497,9.317619699042407,10.657113543091656,11.137243502051984,12.631792065663475
평균습도_pct,평균습도,%,영동,21,67.83728364601654,3.9912429052049787,61.002192772457825,65.23623518011857,67.60164500683995,69.2130950752394,80.58635829913361
평균습도_pct,평균습도,%,영서,71,72.97179522873678,4.261336767523835,62.62052610579116,69.71874886000913,73.34016586867304,75.85530295257638,82.58841199270405
평균풍속_m_s,평균풍속,m/s,영동,21,2.2718432023972377,0.48167879899281074,1.477092453260374,1.9018194254445964,2.1804976060191517,2.628245554035568,3.2089221386228908
평균풍속_m_s,평균풍속,m/s,영서,71,1.79145722144082,0.8187000507158215,0.14995896032831738,1.2863454742362062,1.5342248062015504,2.14139905380757,4.977770747834017
평균_일최대풍속_m_s,일최대풍속 평균,m/s,영동,21,4.014313074066836,0.566368978690766,2.959794801641587,3.6552120383036937,3.9727770177838577,4.438714090287277,5.436894664842681
평균_일최대풍속_m_s,일최대풍속 평균,m/s,영서,71,3.6322240419259746,1.090475845247388,0.3164979480164159,2.9325239398084815,3.429439124487004,4.1318809849521205,7.444965800273598
연평균강수량_mm,연평균강수량,mm/year,영동,21,1608.296904761905,379.71667399021396,570.21,1460.89,1501.065,1785.565,2445.615
연평균강수량_mm,연평균강수량,mm/year,영서,71,1383.1102112676056,348.8885670601888,137.645,1218.1100000000001,1313.245,1433.1225,2647.715
