지표,값
전체 기상셀 수,92.0
중심점 셀 내부 수,92.0
DEM 범위 내 수,92.0
DEM 유효 표본 수,92.0
DEM 표본 성공률_pct,100.0
DEM 최소 고도_m,2.5455081462860107
DEM 중앙 고도_m,334.03419494628906
DEM 최대 고도_m,1197.0443115234375
