변수,그룹A,그룹B,A_N,B_N,A_중앙값,B_중앙값,MannWhitney_U,p_value,Cliff_delta_A_minus_B,Cohen_d_A_minus_B,q_FDR_global
DEM_고도_m,영동 해안형,고지·산간형,21,27,91.37874603271484,708.6710205078125,4.0,6.696614193070873e-09,-0.9858906525573192,-3.6918873567240764,2.3438149675748058e-08
DEM_고도_m,영동 해안형,영서 내륙형,21,43,91.37874603271484,297.275390625,114.0,1.445763433425197e-06,-0.7475083056478405,-1.3340236448408422,3.3734480113254597e-06
DEM_고도_m,고지·산간형,영서 내륙형,27,43,708.6710205078125,297.275390625,1049.0,1.6360043627067715e-08,0.8070628768303187,1.9388340288381918,4.9080130881203145e-08
평균기온_C,영동 해안형,고지·산간형,21,27,12.662717168262654,9.262116963064296,563.0,6.696614193070873e-09,0.9858906525573192,3.5712249286947704,2.3438149675748058e-08
평균기온_C,영동 해안형,영서 내륙형,21,43,12.662717168262654,10.664722982216142,861.0,4.9727647491241766e-09,0.9069767441860466,2.0491558941709296,2.3438149675748058e-08
평균기온_C,고지·산간형,영서 내륙형,27,43,9.262116963064296,10.664722982216142,255.0,8.807705194900199e-05,-0.5607235142118863,-0.949203378348518,0.000132115577923503
평균_일최저기온_C,영동 해안형,고지·산간형,21,27,8.740560875512996,5.187113543091655,563.0,6.696614193070873e-09,0.9858906525573192,3.4022760581110574,2.3438149675748058e-08
평균_일최저기온_C,영동 해안형,영서 내륙형,21,43,8.740560875512996,5.478782489740082,899.0,1.643485391916043e-10,0.991140642303433,3.4650985295454038,3.4513193230236904e-09
평균_일최저기온_C,고지·산간형,영서 내륙형,27,43,5.187113543091655,5.478782489740082,487.0,0.2618235213002178,-0.16106804478897507,-0.1774180447653372,0.2950917861450443
평균_일교차_C,영동 해안형,고지·산간형,21,27,7.646771545827633,9.374254445964432,171.0,0.019930297799056414,-0.39682539682539686,-0.8698649311665329,0.026158515861261545
평균_일교차_C,영동 해안형,영서 내륙형,21,43,7.646771545827633,10.852585499316005,41.0,4.562808180652245e-09,-0.9091915836101883,-2.8751931797683756,2.3438149675748058e-08
평균_일교차_C,고지·산간형,영서 내륙형,27,43,9.374254445964432,10.852585499316005,232.0,2.6834012382262585e-05,-0.6003445305770887,-1.252942981848172,4.3347250771347254e-05
평균습도_pct,영동 해안형,고지·산간형,21,27,67.60164500683995,72.47638907888737,106.0,0.00023458196422732007,-0.6261022927689595,-1.127304100402112,0.00032841474991824807
평균습도_pct,영동 해안형,영서 내륙형,21,43,67.60164500683995,73.37816461468309,147.0,1.3817591290538064e-05,-0.6744186046511628,-1.2693724692436907,2.637903791829994e-05
평균습도_pct,고지·산간형,영서 내륙형,27,43,72.47638907888737,73.37816461468309,488.0,0.2669878065121829,-0.15934539190353147,-0.2732086985940301,0.2950917861450443
평균풍속_m_s,영동 해안형,고지·산간형,21,27,2.1804976060191517,2.1168217054263567,319.0,0.4669852613467842,0.12522045855379194,-0.024527128625274307,0.49033452441412345
평균풍속_m_s,영동 해안형,영서 내륙형,21,43,2.1804976060191517,1.3783396032831736,795.0,9.372248192205982e-07,0.760797342192691,1.365787243926651,2.4602151504540705e-06
평균풍속_m_s,고지·산간형,영서 내륙형,27,43,2.1168217054263567,1.3783396032831736,954.0,6.7815607684922875e-06,0.6434108527131783,1.0888765174997008,1.4241277613833805e-05
연평균강수량_mm,영동 해안형,고지·산간형,21,27,1501.065,1313.245,382.0,0.04168008356620201,0.34744268077601403,0.22619249534238464,0.05148716205236718
연평균강수량_mm,영동 해안형,영서 내륙형,21,43,1501.065,1329.065,752.0,1.790387706321094e-05,0.6655592469545959,1.1493343091549173,3.1331784860619146e-05
연평균강수량_mm,고지·산간형,영서 내륙형,27,43,1313.245,1329.065,628.0,0.5706608362654315,0.0818260120585701,0.580422324994805,0.5706608362654315
