기후지형유형,계절,FFMC,DMC,DC,ISI,BUI,FWI
고지·산간형,가을,71.75480502200764,14.031866539261149,65.73467207280997,2.9160302472230506,17.46402733803358,4.77944011347774
고지·산간형,겨울,76.28309212371198,10.273832474467962,71.87838785386145,3.2920489159247857,13.94388240582324,4.361425495279367
고지·산간형,봄,73.52993391543795,14.862474230570099,35.81387083789142,3.6135030199449107,15.695121810650537,5.098864804488274
고지·산간형,여름,64.54221099425737,15.703864069572749,87.62074897858011,1.9683122312697878,20.01991919150852,3.7252403409910917
영동 해안형,가을,74.1968110101569,19.709204343062844,94.86700370251151,3.5629550282181675,24.354667303619973,6.771684499563328
영동 해안형,겨울,79.1818605497842,29.09911748128691,139.6984983711365,4.7652574250566735,37.160326709351715,10.155126229918476
영동 해안형,봄,74.42117247955271,19.32654559060878,57.2378881898707,3.7852582149224037,20.9229639305966,6.066743519346345
영동 해안형,여름,65.37923961643438,18.785781434699427,110.11146083813298,1.9723131801947063,24.7177283929282,4.1760764943391075
영서 내륙형,가을,73.74616410195215,18.58340428307095,99.94474016050471,2.613662640184917,23.379579259948,5.089420837773681
영서 내륙형,겨울,76.25019556049843,7.496590932381188,66.57083087088415,2.2037521400861757,10.606941777868782,2.4125831102338546
영서 내륙형,봄,73.97777284026671,18.276247030497192,47.044311826496795,3.5232296912495267,19.25915383446904,5.816874742940739
영서 내륙형,여름,67.6070196994578,19.226806955801656,113.97114150785623,2.038884470976653,24.446288173850427,4.358752331669041
