기상셀ID,평균기온_C_robust_z,평균_일교차_C_robust_z,평균습도_pct_robust_z,평균풍속_m_s_robust_z,연평균강수량_mm_robust_z,극단값_변수수,품질검토대상
YD_0001,1.38889877343008,-1.2975983612609763,-1.1416067018406864,0.9350646902844826,0.6327836921289782,0,False
YD_0002,0.35966187062439914,-1.6935447096640794,-0.8808287227194502,1.9792834016890732,3.7704162029490544,0,False
YD_0003,1.5445085898127104,-1.7720300747253173,-1.2768611913489933,0.6835388850636286,-0.6491365859142272,0,False
YD_0004,1.0805238257739078,-1.1978829672547544,-1.3349833022004962,0.7515322320829717,2.435241601558839,0,False
YD_0005,0.40178154056314075,-1.397267270999881,-0.40748588351135584,1.3854485446565001,3.6651460288910114,0,False
YD_0006,1.430449018467652,-1.3138678548221938,-1.5445407850972648,0.004077143364885788,1.05492593633485,0,False
YD_0007,1.7577714577404162,-1.1159776882408527,-0.9356086146126716,1.288248415737086,0.2767101718097154,0,False
YD_0008,0.8284372614174137,-1.3664349205489696,-0.6920697287073738,0.8371608352500328,0.5679787158301008,0,False
YD_0009,1.1288148210338365,-1.398203596955853,-0.48872491658136413,1.4264983754497689,2.8112823337642623,0,False
YD_0010,0.7382085055200944,-0.9397159871815063,0.25739120683677996,-0.3088292174451407,5.453930189421616,1,False
YD_0011,1.4796028632106264,-1.0469419106643558,-0.25233349111042214,0.15780220360477498,0.679239053453993,0,False
YD_0012,1.3228043636346731,-0.46170498513369823,-0.5518043459745093,0.4999540125849297,0.6547981751072632,0,False
YD_0013,1.5461569250529388,-1.5543774539243087,-1.3367237045546394,0.007644751215466636,1.7171296723062213,0,False
YD_0014,1.2191279103620507,-1.3333314816091042,-0.966630901922329,1.618971334538874,0.07337318494369748,0,False
YD_0015,0.9028179535261729,-1.2146571471468508,-0.8175053292743711,0.7393910232851141,0.47615481610552113,0,False
YD_0016,0.14228130096338468,-1.440882794963178,-0.5045663083074008,0.21451273302152313,1.8118601914825838,0,False
YD_0017,1.8118166414753245,-1.3914567375851603,-1.6132071462477497,0.3314335189203889,-0.1343869184793823,0,False
YD_0018,1.448479645387195,-0.5989995889615244,1.70408906878422,0.4398915471794735,0.4845713750398136,0,False
YD_0019,1.5151542831265719,-2.3178483415705102,-2.0991001870021586,2.301850315260198,-4.026223989657693,1,False
YD_0020,0.6857485811948674,-1.723666514885991,-0.5639505235691227,1.4535252389690771,1.7740235887058995,0,False
YD_0021,1.1594919777351764,-1.1636838277281132,-0.7595929788032755,1.9268906057620094,2.1173838082925815,0,False
YS_0001,0.9408965884869671,0.10347729935415274,-0.45793164997199914,-0.45769607566499565,-0.3230897082794681,0,False
YS_0002,1.1810433511519787,-0.5497461874335442,-1.4374287223091766,-0.8132152438290341,-0.7372956176343856,0,False
YS_0003,0.41356382692088617,0.21125439343519903,-0.33899806774007607,-0.85276997884677,-0.8830309894515962,0,False
YS_0004,0.33523166054384895,0.05972232258890218,-0.42764723215879247,-0.20024230161920006,-0.8937475689955598,0,False
YS_0005,-0.6392223152492139,-0.49476193980624544,-0.60649203185355,-0.37158199599610947,0.018779289153691526,0,False
YS_0006,0.011444952634163166,0.061900442543220684,1.0120655537754293,-0.2645400124715519,0.4636437149869774,0,False
YS_0007,0.3489647673402415,0.33538066839286423,0.7434092182874843,-0.4599782448487967,-1.1321156389934999,0,False
YS_0008,-0.06504790858474972,0.2615171676249363,0.7446691088678338,-0.4648854241442366,-1.001166113952748,0,False
YS_0009,0.11386894991241364,1.0865398658094751,1.3102265961955466,-1.1351909930935118,-0.42654008581117847,0,False
YS_0010,0.833418161119018,0.11906281012483794,-0.5490026335795649,-0.8671426610521326,-0.7180108294456008,0,False
YS_0011,-0.47651908156957423,-1.270119518666561,0.47193191008470164,1.3445301791814248,0.11891864800554518,0,False
YS_0012,0.10786280660050142,0.8126744846020559,-0.47256617234312664,-0.4018551076993045,-0.2801981151518561,0,False
YS_0013,0.2888824251060247,0.15549319448273133,-0.234650746388063,0.10977096294012667,-0.8013170704288696,0,False
YS_0014,0.27822574611105705,0.9467483927657228,0.9084935156447145,-1.0984219480207618,0.06379397822869186,0,False
YS_0015,0.37116606575133987,0.16917285029338844,1.138659430131637,-1.0737597417280422,0.2888926985554487,0,False
YS_0016,-0.5347969671708303,-1.316278396113101,0.9931222543237584,1.7264738763023306,-0.7648958649504434,0,False
YS_0017,-0.10527321269561012,0.2140434494742645,0.5290479459507157,-0.5689303421141636,1.158502688625334,0,False
YS_0018,-0.6319483825918573,0.5970937340014972,0.30427835246912327,-0.8707790089383702,-1.1331519120154394,0,False
YS_0019,0.002410820970804044,0.5265771004804475,0.11051222874327442,0.6555427870415607,-0.965048207895378,0,False
YS_0020,-0.92765519438063,-0.05131531081400337,0.4300394967188453,-0.004077143364885788,-0.27018923425702274,0,False
YS_0021,-0.8599396311946229,0.2756948691568543,0.8885875322730539,0.5761085203376111,-1.0792657148745626,0,False
YS_0022,-0.07776065056435741,0.9544581405308555,0.27985316748755257,-0.24670111396820207,-0.7809960092181452,0,False
YS_0023,-0.9144228608908369,0.04976804877328389,1.7033022736475893,-0.6654611149363714,0.1407309313697933,0,False
YS_0024,-0.5933637470456906,1.0162357317961632,1.3454499577624583,-0.41403326426632786,-0.506434208307572,0,False
YS_0025,-0.9058257297330264,0.24473634712322342,0.8467794658253356,-0.07549632191126851,-0.5951492889663319,0,False
YS_0026,-0.03840551412682711,0.13005965965029714,0.29689910404713066,0.5491976556284726,0.9665394300489006,0,False
YS_0027,0.04371015662719927,-0.017229061650848785,-0.1026783703569982,0.7296419677281072,-0.9579712214040818,0,False
YS_0028,0.18356042447518653,0.5917812463080373,0.5609135917502431,-0.38212328046405913,-0.6085197384445323,0,False
YS_0029,-1.0262521266254365,-1.7206516781199537,0.2808134161946845,2.433156672121112,0.09215247409738901,0,False
YS_0030,-0.632761398683919,0.12797450823061526,1.0369874114888584,-0.08652308288104296,0.5543049669308439,0,False
YS_0031,-1.1972461729267005,0.49110960451699287,1.1977080287847137,-0.2562559789244784,-0.3681043973544684,0,False
YS_0032,-0.9254329039309604,-0.8338381074508712,-0.6868728737735421,1.8787287590296136,0.2971828827309675,0,False
YS_0033,-0.47291783497918843,0.0769879075926441,0.8057113720124472,0.25635908897796333,-0.8871255316358464,0,False
YS_0034,-0.8981154935406245,-0.05858013773480871,0.01956710136394923,1.1426776422269682,0.7926477619770287,0,False
YS_0035,-0.6322874587416977,-1.519766596601425,-1.7014029183086115,-0.09861961065572485,0.7937851348059868,0,False
YS_0036,-1.8099017150175973,-1.3305689880085054,0.612661200867318,1.2149560712190592,1.9058324621063072,0,False
YS_0037,0.6350140073504804,0.28760148219981896,-0.06908781901243324,-0.35741209689593356,0.058334588649690454,0,False
YS_0038,0.0371725733065461,0.7135102611940304,-0.8049311076739407,-0.8315207153244036,-1.1271111985460824,0,False
YS_0039,-0.8583554172406952,-1.2604507910644658,0.12915610770471045,2.322880469918909,6.475543739343863,1,False
YS_0040,0.021315448901444576,0.05250397993541514,0.5583726685142599,-0.34254448643384294,-0.021711183557229678,0,False
YS_0041,-0.05887240144054293,-1.5051838178828802,-0.5802772974946712,1.243706591132459,2.676667940719089,0,False
YS_0042,0.36461733090263376,0.22286217904540612,0.7377096025896415,0.17257271876650115,-0.1902192869053647,0,False
YS_0043,-0.19373654230815054,0.23490160428070717,0.45757168123475683,-0.22270396752046046,0.003032994210555439,0,False
YS_0044,-0.6107235398558376,-0.01625289203717561,-1.7848244555582666,-0.48982344983002896,-0.17047954958499684,0,False
YS_0045,-2.58243601782364,-1.516778322273854,-0.09339445340433668,2.723922726696573,-1.0186311056151998,0,False
YS_0046,-0.246106557438455,0.1817900085653534,-0.9240457811894196,-0.5940144403757265,-0.35273722668765206,0,False
YS_0047,-1.8159266765330968,-1.9488562276020938,-0.15868793405281598,3.0361245021411194,4.033755925280572,1,False
YS_0048,-1.2084085040217893,-1.5986769606781386,-0.3850923302036362,4.9683347274125085,6.425246585352142,2,False
YS_0049,-1.0091857583971646,0.1268456045957545,-0.6621271262264578,-0.21803823760026467,-1.4204522886103472,0,False
YS_0050,-0.002410820970804044,0.5470102562714138,0.5659916747114249,-0.11037587525390591,-0.6697609465460069,0,False
YS_0051,0.0754665721528504,0.32483538032134845,0.1989680151226394,-0.9512684351896495,-0.0030329942105565885,0,False
YS_0052,-0.6896355856915937,1.0543993152640494,1.3371051474416444,-0.6609328650874886,0.4660953853071774,0,False
YS_0053,-1.1006579096723141,-0.277872989111172,0.45822387551514787,0.11624627429898463,-0.047719108912746416,0,False
YS_0054,-0.6632514188051326,0.7123282326822353,1.5763958045134063,-0.8951293073192975,0.3743978603413702,0,False
YS_0055,-0.7372592316946436,-2.754229361930452,-0.8128479846804276,0.8128913064110017,-1.7839313697937167,0,False
YS_0056,-0.8796255630594277,-0.8912063339306103,0.8132464740574509,1.2986462053806018,-0.6307364210368542,0,False
YS_0057,-0.038987484497056364,0.126945213740007,-1.0070865397010333,-0.08456571036571978,-0.1593080209094491,0,False
YS_0058,-0.9128982379149378,0.2771093190052383,0.15721806170907354,-0.2539497507281975,-0.6466596406422732,0,False
YS_0059,-1.3778395939694748,-1.8189061380104743,-0.4553609507242337,2.6403477320947553,5.7920332190433355,1,False
YS_0060,0.00537782440321642,0.01625289203717561,-0.01956710136394923,0.7678683015567784,1.1448036647743232,0,False
YS_0061,-0.843448263631548,0.6366717673177646,0.5467230529600121,-1.2812713021179345,-0.2706441833886057,0,False
YS_0062,-0.4652058563605283,0.5331048197337854,2.0928822030397076,-0.7180764567288737,-0.1184889738257174,0,False
YS_0063,-0.13603993010662033,0.14369947180325277,-1.1067460762983585,-0.5987343030740018,1.2608662432315956,0,False
YS_0064,0.6912692845512541,0.3867059401212936,0.3458094687998101,0.1801521669480942,-0.8289173177449284,0,False
YS_0065,0.04409035403673194,0.9836635416256451,-0.1447527605383582,-0.13466344835229668,-0.627501227212262,0,False
YS_0066,0.42641665997165135,-1.79769603089434,-0.9427431241422727,2.352515158540943,1.3051226837539578,0,False
YS_0067,-1.4202213248174462,-0.017375155062418747,0.764951775392271,-0.7378469502341759,1.531282952054408,0,False
YS_0068,-0.24239693193481132,0.2415621357263814,0.46852515798564487,-0.5285653339261247,-0.5346157795139875,0,False
YS_0069,0.20262709804783602,0.8888887611743395,0.1695517506938739,-1.005279199705982,-0.5629490004309308,0,False
YS_0070,-1.7102802361329874,-1.1919794653053986,1.2640373604304584,1.9227653443721635,0.20040509246247976,0,False
YS_0071,-6.869279598319731,-4.397474774051902,1.7538578460698986,-2.3094417929480313,-6.212835890806214,3,True
