기상셀ID,기후지형유형,FFMC,DMC,DC,ISI,BUI,FWI
YD_0001,영동 해안형,74.53002228859883,21.436640317100288,80.56724720889324,3.585909599293226,25.1445366247385,6.759888262085306
YD_0002,영동 해안형,71.86097270497136,13.766840739814043,56.03947242998444,3.446443551242388,16.411313399952512,5.232319648372646
YD_0003,영동 해안형,74.61330179976176,23.61801001590851,91.75795622500567,3.524866585933402,27.713996714555005,7.046810462485279
YD_0004,영동 해안형,74.64571917680134,19.253311056760186,77.26588382087395,3.8688643961346583,22.978058908159753,6.950567786412009
YD_0005,영동 해안형,71.06718975078698,13.734497493940276,59.61851251824401,3.1265518059722566,16.665249647645187,4.855630637362408
YD_0006,영동 해안형,74.88812966630438,23.280448692775934,87.08013646016653,3.6434222230122897,27.433722567801535,7.149470505474528
YD_0007,영동 해안형,74.6770896531223,22.322156725739458,93.00792906360465,4.149377313811238,26.912591127364742,7.918823536392765
YD_0008,영동 해안형,73.36247447369168,18.4826447172105,81.0778906732751,3.365526215430378,22.755408835390355,6.152495701422566
YD_0009,영동 해안형,71.57612016132795,15.482998204840444,78.34941433113636,3.4084137847925278,19.47674814803552,5.6138666353158735
YD_0010,영동 해안형,66.7455234303638,14.693126104988174,55.21956743675373,2.80394829357396,16.98485796435347,4.577306868761803
YD_0011,영동 해안형,71.62975065822904,18.737425533832106,92.770119831411,2.895942154716795,24.009781316965917,5.65351863389169
YD_0012,영동 해안형,75.47722606209716,25.744587959673797,93.28471961398223,4.227663648927538,29.932650346867728,8.544423209161213
YD_0013,영동 해안형,74.07040409557972,19.826642247576515,84.90785851899184,3.270096040968712,24.115307338770517,6.166313861914863
YD_0014,영동 해안형,74.85475260420124,21.88438141332427,81.71753822150994,4.257362037902016,25.674561192449254,7.912566363689614
YD_0015,영동 해안형,74.11514513131672,19.997938459939732,84.2949864618257,3.5538155569323155,24.389996231528258,6.635066875024841
YD_0016,영동 해안형,68.88886052581779,15.00966482985289,60.94444998553849,2.629155126633211,17.999474918405596,4.296245264497202
YD_0017,영동 해안형,75.69737800241492,26.605326128627652,107.23098994601662,3.5920563905207503,31.785738513450333,7.78711587688969
YD_0018,영동 해안형,68.67948590721356,11.490946591869898,90.73803088930872,1.8845279433711084,16.500542139200988,3.0257914676234248
YD_0019,영동 해안형,81.19472261499307,76.85803099016611,492.9942245213993,5.134420378126865,103.38675117433098,17.541576319262546
YD_0020,영동 해안형,71.94589294514907,15.844848896724283,66.12960870643089,3.305145395679422,19.084790409701725,5.511670360735846
YD_0021,영동 해안형,74.11083146551114,17.743973606214066,91.99876423536745,4.167276045701773,22.457295113411785,7.0204735701893615
YS_0001,영서 내륙형,75.06704801981246,18.041646229229336,74.17503197750045,2.6442895151225416,21.18530196094151,4.691889350650284
