기후지형유형,계절,FWI지수,N_셀,평균,표준편차,중앙값
고지·산간형,가을,FFMC,27,71.75480502200764,3.2811620437640165,71.46786438794166
고지·산간형,가을,DMC,27,14.031866539261149,3.651015425398725,14.373862235880814
고지·산간형,가을,DC,27,65.73467207280997,20.17737614209418,63.2961528291932
고지·산간형,가을,ISI,27,2.9160302472230506,0.6280818157130362,2.731777105114676
고지·산간형,가을,BUI,27,17.46402733803358,4.617972753466661,17.440469709332664
고지·산간형,가을,FWI,27,4.779440113477739,1.2227247808213153,4.581106206499927
고지·산간형,겨울,FFMC,27,76.28309212371197,2.4701381778331393,76.50842341101506
고지·산간형,겨울,DMC,27,10.273832474467962,5.705232499070129,8.08860236066266
고지·산간형,겨울,DC,27,71.87838785386145,21.643976947120958,75.88458263564095
고지·산간형,겨울,ISI,27,3.292048915924786,1.1137517038254365,3.1536195690436144
고지·산간형,겨울,BUI,27,13.94388240582324,6.721069292854835,12.986396028940351
고지·산간형,겨울,FWI,27,4.361425495279367,1.9651807733614821,4.7929397097621305
고지·산간형,봄,FFMC,27,73.52993391543795,2.637578294701062,73.70280819663446
고지·산간형,봄,DMC,27,14.862474230570099,4.14141040593044,15.213949155892863
고지·산간형,봄,DC,27,35.813870837891415,16.613278096434613,31.318814797358428
고지·산간형,봄,ISI,27,3.6135030199449107,1.0873858196582253,3.3754698286867146
고지·산간형,봄,BUI,27,15.695121810650539,4.651574104435941,15.854069886624588
고지·산간형,봄,FWI,27,5.098864804488273,1.8930708162583323,4.803389924167883
고지·산간형,여름,FFMC,27,64.54221099425737,3.8150870489979343,64.88812083505518
고지·산간형,여름,DMC,27,15.70386406957275,3.7353669096402933,15.599640924685174
고지·산간형,여름,DC,27,87.62074897858011,19.949689217127844,91.22745337378947
고지·산간형,여름,ISI,27,1.9683122312697878,0.43440358345338065,1.8913723270367744
고지·산간형,여름,BUI,27,20.01991919150852,4.358509332675647,20.154860836716637
고지·산간형,여름,FWI,27,3.7252403409910917,1.0583079893405538,3.5785859420856965
영동 해안형,가을,FFMC,21,74.1968110101569,2.949224034806414,74.90140381825984
영동 해안형,가을,DMC,21,19.709204343062844,8.890645994554236,18.384222331492335
영동 해안형,가을,DC,21,94.86700370251152,104.99754550510437,75.2459819876146
영동 해안형,가을,ISI,21,3.5629550282181675,0.5200154716089841,3.5694668444305093
영동 해안형,가을,BUI,21,24.354667303619976,14.718673935567757,22.46406267238761
영동 해안형,가을,FWI,21,6.771684499563328,2.32625947465489,6.72001953365428
영동 해안형,겨울,FFMC,21,79.1818605497842,2.7694637086975504,78.96151271174729
영동 해안형,겨울,DMC,21,29.09911748128691,17.791747699391074,25.8796003893429
영동 해안형,겨울,DC,21,139.6984983711365,117.03445471953525,123.68626727905075
영동 해안형,겨울,ISI,21,4.7652574250566735,0.9328120728560628,4.769194051636203
영동 해안형,겨울,BUI,21,37.16032670935171,24.778185721709324,33.63640236646588
영동 해안형,겨울,FWI,21,10.155126229918478,3.5412143731681587,9.862074169592235
영동 해안형,봄,FFMC,21,74.42117247955272,2.953403590554915,74.9951862895157
영동 해안형,봄,DMC,21,19.32654559060878,13.698840898722446,17.192356181639017
영동 해안형,봄,DC,21,57.23788818987071,56.7021554893177,43.60259836978626
영동 해안형,봄,ISI,21,3.7852582149224037,0.8521212105532335,3.780109158849195
영동 해안형,봄,BUI,21,20.9229639305966,15.299562813983638,18.291867413711763
영동 해안형,봄,FWI,21,6.066743519346345,2.9860723771345588,5.665355821771146
영동 해안형,여름,FFMC,21,65.37923961643436,4.489566274809118,66.20572062872486
영동 해안형,여름,DMC,21,18.785781434699423,13.53840642830761,16.332450130774042
영동 해안형,여름,DC,21,110.11146083813298,87.52844158512775,90.6313300545283
영동 해안형,여름,ISI,21,1.972313180194706,0.5611834373761946,1.945089846677017
영동 해안형,여름,BUI,21,24.717728392928205,18.288805417782108,20.5618045816585
영동 해안형,여름,FWI,21,4.1760764943391075,2.709353922507762,3.5782331929323776
영서 내륙형,가을,FFMC,44,73.74616410195215,2.855623265915127,74.53048490900213
영서 내륙형,가을,DMC,44,18.58340428307095,4.811645443880822,19.158697003634355
영서 내륙형,가을,DC,44,99.94474016050472,54.3791966512788,92.58514648333211
영서 내륙형,가을,ISI,44,2.613662640184917,0.5093708117198564,2.551119999837778
영서 내륙형,가을,BUI,44,23.379579259948,5.274065562942398,24.0832260198868
영서 내륙형,가을,FWI,44,5.089420837773681,1.3305271455886336,5.068716751970814
영서 내륙형,겨울,FFMC,44,76.25019556049843,2.2187019012045828,76.53091043274831
영서 내륙형,겨울,DMC,44,7.496590932381188,3.1657748935999988,7.758259341943322
영서 내륙형,겨울,DC,44,66.57083087088414,39.26582154934954,65.27064702402271
영서 내륙형,겨울,ISI,44,2.2037521400861757,0.43532594614918296,2.2321350519596512
영서 내륙형,겨울,BUI,44,10.606941777868782,4.604169122237329,10.744448150055735
영서 내륙형,겨울,FWI,44,2.4125831102338546,0.941856907399462,2.6528987051468462
영서 내륙형,봄,FFMC,44,73.9777728402667,3.7400747038826565,75.05431671362567
영서 내륙형,봄,DMC,44,18.27624703049719,5.3637763383584245,18.811880315139405
영서 내륙형,봄,DC,44,47.044311826496795,21.77935417582702,43.68750854195851
영서 내륙형,봄,ISI,44,3.5232296912495262,1.0110102235327652,3.7300747837749917
영서 내륙형,봄,BUI,44,19.25915383446904,5.539665599959448,19.75351707318008
영서 내륙형,봄,FWI,44,5.8168747429407395,2.0853951678973712,6.190002958755677
영서 내륙형,여름,FFMC,44,67.6070196994578,5.132906259223204,68.32790488645796
영서 내륙형,여름,DMC,44,19.226806955801656,5.504682278157756,20.488463645171027
영서 내륙형,여름,DC,44,113.97114150785623,40.54247650819613,109.06831109758683
영서 내륙형,여름,ISI,44,2.038884470976653,0.5738610713996809,2.1341188012200725
영서 내륙형,여름,BUI,44,24.446288173850427,6.220837877574548,25.165707569496092
영서 내륙형,여름,FWI,44,4.3587523316690415,1.5335799277554678,4.48745853172694
