기상셀ID,Indexed_FFMC_3_4단계_비율,Indexed_FFMC_3_4단계_비율_pct
YD_0001,0.6703146374829001,67.03146374829001
YD_0002,0.5882352941176471,58.82352941176471
YD_0003,0.6826265389876881,68.2626538987688
YD_0004,0.66484268125855,66.484268125855
YD_0005,0.5636114911080712,56.36114911080712
YD_0006,0.6689466484268126,66.89466484268127
YD_0007,0.6757865937072504,67.57865937072503
YD_0008,0.6347469220246238,63.47469220246238
YD_0009,0.5991792065663475,59.91792065663475
YD_0010,0.4774281805745554,47.74281805745554
YD_0011,0.615595075239398,61.55950752393981
YD_0012,0.7099863201094391,70.99863201094391
YD_0013,0.6538987688098495,65.38987688098496
YD_0014,0.6880984952120383,68.80984952120383
YD_0015,0.6538987688098495,65.38987688098496
YD_0016,0.5253077975376197,52.53077975376197
YD_0017,0.7305061559507524,73.05061559507524
YD_0018,0.48153214774281805,48.15321477428181
YD_0019,0.86593707250342,86.593707250342
YD_0020,0.615595075239398,61.55950752393981
YD_0021,0.6621067031463749,66.21067031463748
YS_0001,0.7004103967168263,70.04103967168263
YS_0002,0.7045143638850889,70.4514363885089
YS_0003,0.6812585499316005,68.12585499316005
YS_0004,0.7346101231190151,73.46101231190151
YS_0005,0.6730506155950753,67.30506155950752
YS_0006,0.5923392612859097,59.23392612859097
YS_0007,0.667578659370725,66.75786593707251
YS_0008,0.6361149110807114,63.611491108071135
YS_0009,0.6087551299589603,60.87551299589603
YS_0010,0.6839945280437757,68.39945280437757
YS_0011,0.5567715458276333,55.677154582763336
YS_0012,0.7537619699042407,75.37619699042408
YS_0013,0.719562243502052,71.9562243502052
YS_0014,0.6730506155950753,67.30506155950752
YS_0015,0.600547195622435,60.0547195622435
YS_0016,0.5512995896032832,55.12995896032832
YS_0017,0.6443228454172366,64.43228454172366
YS_0018,0.6922024623803009,69.22024623803009
YS_0019,0.719562243502052,71.9562243502052
YS_0020,0.600547195622435,60.0547195622435
YS_0021,0.5978112175102599,59.78112175102599
YS_0022,0.7086183310533516,70.86183310533517
YS_0023,0.5157318741450069,51.57318741450069
YS_0024,0.6224350205198358,62.243502051983576
YS_0025,0.6183310533515732,61.83310533515732
YS_0026,0.6839945280437757,68.39945280437757
YS_0027,0.7222982216142271,72.2298221614227
YS_0028,0.6306429548563611,63.064295485636116
YS_0029,0.4993160054719562,49.93160054719562
YS_0030,0.5841313269493844,58.41313269493844
YS_0031,0.6046511627906976,60.46511627906976
YS_0032,0.6566347469220246,65.66347469220246
YS_0033,0.5772913816689467,57.729138166894664
YS_0034,0.6689466484268126,66.89466484268127
YS_0035,0.6032831737346102,60.32831737346102
YS_0036,0.45554035567715456,45.55403556771546
YS_0037,0.6073871409028728,60.73871409028728
YS_0038,0.7414500683994528,74.14500683994528
YS_0039,0.4897400820793434,48.97400820793434
YS_0040,0.6169630642954856,61.696306429548564
YS_0041,0.5827633378932968,58.276333789329684
YS_0042,0.627906976744186,62.7906976744186
YS_0043,0.640218878248974,64.0218878248974
YS_0044,0.7770177838577291,77.70177838577291
YS_0045,0.518467852257182,51.84678522571819
YS_0046,0.7291381668946648,72.91381668946649
YS_0047,0.45690834473324216,45.690834473324216
YS_0048,0.521203830369357,52.1203830369357
YS_0049,0.7400820793433652,74.00820793433653
YS_0050,0.6771545827633378,67.71545827633378
YS_0051,0.6908344733242134,69.08344733242134
YS_0052,0.6306429548563611,63.064295485636116
YS_0053,0.5540355677154583,55.40355677154582
YS_0054,0.5786593707250342,57.865937072503414
YS_0055,0.6415868673050615,64.15868673050615
YS_0056,0.533515731874145,53.3515731874145
YS_0057,0.7181942544459644,71.81942544459645
YS_0058,0.6224350205198358,62.243502051983576
YS_0059,0.4774281805745554,47.74281805745554
YS_0060,0.7140902872777017,71.40902872777018
YS_0061,0.6689466484268126,66.89466484268127
YS_0062,0.44596443228454175,44.59644322845418
YS_0063,0.7305061559507524,73.05061559507524
YS_0064,0.6839945280437757,68.39945280437757
YS_0065,0.6894664842681258,68.94664842681259
YS_0066,0.6538987688098495,65.38987688098496
YS_0067,0.5554035567715458,55.54035567715459
YS_0068,0.6935704514363885,69.35704514363886
YS_0069,0.7099863201094391,70.99863201094391
YS_0070,0.4692202462380301,46.92202462380301
YS_0071,0.5458276333789329,54.58276333789329
