기후지형유형,월,FFMC,DMC,DC,ISI,BUI,FWI
고지·산간형,1,74.08606161520012,9.515145275738977,64.43700024302426,2.8965072444148765,12.612298744668912,3.6199473160529965
고지·산간형,2,74.78800112252878,10.3989128319929,66.27378645595839,3.394046592512376,13.60895481054794,4.638537161281163
고지·산간형,3,73.54622910699241,8.253745016300014,25.597680529457758,3.0331814400833084,9.16345481140769,3.100774266438896
고지·산간형,4,79.52775190108115,20.449401982231763,35.13183959328553,4.965679880338519,20.648828795393896,7.7730065144485
고지·산간형,5,67.70929873777717,16.06449916903857,46.69009138304045,2.885266347812698,17.432878824657877,4.509076268382592
고지·산간형,6,75.49463447740146,28.98690362528792,116.47100041732575,3.1115004588389468,34.36526434115095,6.928327398228926
고지·산간형,7,64.82188889247452,11.731366166677727,82.34626302044452,1.7395841348317451,16.27064197572952,2.958626357770414
고지·산간형,8,53.66341359622338,6.821807563711154,64.97563677018762,1.0907291397376773,9.886604326988387,1.3920926559170905
고지·산간형,9,60.98755977738777,5.3788992468837185,29.286591287568378,1.4025703821965534,7.005445599735577,1.3715501063380675
고지·산간형,10,75.64243364041835,13.71881768902825,65.75314545524282,3.195383936318128,17.279714957606,5.1238269141747805
고지·산간형,11,78.50483402760312,23.00831764354591,102.1636636962043,4.140824633517968,28.113065202773416,7.8314637598971375
고지·산간형,12,79.8546417784729,10.91752644127886,84.47239287889987,3.59381852992675,15.583383372311308,4.848139723504089
영동 해안형,1,74.99376802740231,27.111914673943684,126.63640841918516,4.227593395897533,34.20988121670193,8.811018069916154
영동 해안형,2,78.42210386559326,27.050771454404256,132.750143980935,4.497742591793037,34.64314429162681,9.144964872462586
영동 해안형,3,73.29322296856861,11.419607981459569,57.53084334454285,3.306988207915875,13.900978041687459,4.180368526852758
영동 해안형,4,79.8121275935476,24.100231681440068,52.64049128481297,4.683201943142732,24.8476405981518,8.040678924314657
영동 해안형,5,70.33206865441272,22.613786982824497,61.394026814286704,3.394550420425387,24.146875625097486,6.042858442515761
영동 해안형,6,76.63975303863371,35.52119373031084,157.0157500739937,3.0409343650884333,43.333102041531546,7.662405610478544
영동 해안형,7,64.4503475643116,12.686308471806061,97.37439932335012,1.6223258355914842,18.447380063441965,2.920413847934426
영동 해안형,8,55.41086061481583,8.689694111517221,77.45727470530872,1.2881509910298052,12.973198997959585,2.0578722541572367
영동 해안형,9,63.2655807977408,7.228421253225334,56.94393590826088,1.6630437305865056,10.288133451549049,1.991706248492895
영동 해안형,10,75.23494558510012,15.951845584409712,86.28461667566339,3.558859282224933,20.494684119592485,6.243328759788794
영동 해안형,11,84.05530216179834,36.07259148350859,141.65853809117192,5.467098596709505,42.40985044585265,12.097630348400779
영동 해안형,12,84.06843905601906,32.96947711979645,159.14859155278924,5.548862510603351,42.42495603765179,12.427931121775414
영서 내륙형,1,75.12950090544777,6.881490165984724,56.694440039941384,1.9185736734323768,9.500401932438399,1.7761632426527476
영서 내륙형,2,73.92389870397277,7.5597958193999695,58.651931362918646,2.37561360174621,10.115719654524002,2.851418476715123
영서 내륙형,3,75.58741298870598,10.267625684115266,29.453652302329544,2.9888213425372796,10.980583001427554,3.5519260305405993
영서 내륙형,4,81.77663959691372,27.642393034755585,51.244292247320075,5.32031190275048,27.99787315699408,9.850068130125027
영서 내륙형,5,64.82084228216901,17.220856114693568,60.57047416922216,2.3185262223802066,19.080899516679843,4.178733080646406
영서 내륙형,6,76.16114272245532,31.355040139932928,123.25667386026647,2.8576898031242797,36.34971235207275,6.872054762787926
영서 내륙형,7,69.07013849246003,15.285888786683715,113.21305419673553,1.9702600806723234,20.94005278634647,3.848862986789959
영서 내륙형,8,57.86571733581281,11.430725269308688,105.74322976825736,1.3151166043639255,16.433080808236014,2.4364135174008155
영서 내륙형,9,69.2850336100818,9.192270332700254,62.006106907768554,2.1590366837466557,12.061906295254898,2.9861840776810293
영서 내륙형,10,76.90880881382212,21.717266209416007,106.85145905956988,2.8228413096101965,26.83352510244811,5.97169918409721
영서 내륙형,11,74.93922839155687,24.736214242885094,130.74643055087355,2.8521373048837226,31.128174854057644,6.28096997333202
영서 내륙형,12,79.50958248687107,8.053583980066838,83.72750028173067,2.330928940375104,12.165089059277433,2.6455575602434727
