지표,값
기상셀 수,92
시간기상 행수,1614048
셀당 예상 시간수,17544
시간기상 중복 키 수,0
시간기상 누락 시간 수,0
시간기상 변수 결측 수,0
캐나다 지수 행수,67252
셀당 예상 날짜수,731
캐나다 지수 중복 키 수,0
캐나다 지수 누락 날짜 수,0
캐나다 지수 변수 결측 수,0
중심점 셀 외부 수,0
DEM 샘플 실패 수,0
