,FFMC,DMC,DC,ISI,BUI,FWI
기온_C,0.007965080376330239,0.18132349423010505,0.13445967603030146,-0.037953055852657853,0.18671523414094873,0.04737187335377568
습도_pct,-0.6984717496250633,-0.38672644666499223,-0.09868429114262767,-0.7099369986865715,-0.3344008165108076,-0.6372961625891611
풍속_km_h,0.1356799619778003,0.09914308394918764,-0.03564949301785973,0.3411960347896124,0.07710956854580797,0.2648797737634695
강수량_mm,-0.6806587642926892,-0.33688658401572114,-0.20393545053767306,-0.655893920129318,-0.3192944299723725,-0.6152148892049957
