기후지형유형,계절,기상변수,FWI지수,N_셀일,Spearman_rho,p_value,q_FDR_global
고지·산간형,봄,풍속_km_h,DMC,4968,-0.01597591873486537,0.2602350309529656,0.270569274059401
고지·산간형,봄,풍속_km_h,DC,4968,-0.06719317949678681,2.13494082786982e-06,2.4018084313535475e-06
고지·산간형,봄,풍속_km_h,ISI,4968,0.2895000410626299,1.588939452139232e-96,2.6000827398641975e-96
고지·산간형,봄,풍속_km_h,BUI,4968,-0.02978224249675003,0.03580719141797806,0.038479369882006266
고지·산간형,봄,풍속_km_h,FWI,4968,0.21884026318548291,6.180171778639595e-55,8.855171503722405e-55
고지·산간형,봄,강수량_mm,FFMC,4968,-0.7088195074854733,0.0,0.0
고지·산간형,봄,강수량_mm,DMC,4968,-0.3277759832767487,9.41538189083884e-125,1.7162215092161936e-124
고지·산간형,봄,강수량_mm,DC,4968,-0.14746945872653394,1.4838861178568892e-25,1.8993742308568182e-25
고지·산간형,봄,강수량_mm,ISI,4968,-0.6725366103603304,0.0,0.0
고지·산간형,봄,강수량_mm,BUI,4968,-0.298662242528638,6.702455182727432e-103,1.1288345570909359e-102
고지·산간형,봄,강수량_mm,FWI,4968,-0.6523347093906772,0.0,0.0
고지·산간형,여름,기온_C,FFMC,4968,0.5149932537534124,0.0,0.0
고지·산간형,여름,기온_C,DMC,4968,0.3299253469645946,1.8270999383621087e-126,3.3516228168680725e-126
고지·산간형,여름,기온_C,DC,4968,0.20363790032193688,1.179892911272896e-47,1.665731168855853e-47
고지·산간형,여름,기온_C,ISI,4968,0.4900909726475525,1.4291563451155666e-298,4.157545731245285e-298
고지·산간형,여름,기온_C,BUI,4968,0.3209773128084365,1.988558467469406e-119,3.579405241444931e-119
고지·산간형,여름,기온_C,FWI,4968,0.4696284062744782,4.908434565186793e-271,1.359258802667112e-270
고지·산간형,여름,습도_pct,FFMC,4968,-0.7671403800432437,0.0,0.0
고지·산간형,여름,습도_pct,DMC,4968,-0.5951871333989781,0.0,0.0
고지·산간형,여름,습도_pct,DC,4968,-0.3112664512148854,4.653984297644482e-112,8.172850473912261e-112
고지·산간형,여름,습도_pct,ISI,4968,-0.7559602413836725,0.0,0.0
고지·산간형,여름,습도_pct,BUI,4968,-0.552933939206434,0.0,0.0
고지·산간형,여름,습도_pct,FWI,4968,-0.7386344848409986,0.0,0.0
고지·산간형,여름,풍속_km_h,FFMC,4968,0.10513314576291885,1.0947211149256809e-13,1.3359308521126953e-13
고지·산간형,여름,풍속_km_h,DMC,4968,0.004366793365194518,0.758300531607856,0.7689808207854314
고지·산간형,여름,풍속_km_h,DC,4968,-0.08022142220951063,1.495892429175436e-08,1.7301888337450825e-08
고지·산간형,여름,풍속_km_h,ISI,4968,0.21966866987315684,2.387064607699924e-55,3.4373730350878904e-55
고지·산간형,여름,풍속_km_h,BUI,4968,-0.01371976691285412,0.33363064017924865,0.34316294418437004
고지·산간형,여름,풍속_km_h,FWI,4968,0.1567580102164828,1.0612579956309674e-28,1.3892831942805394e-28
고지·산간형,여름,강수량_mm,FFMC,4968,-0.811324605801082,0.0,0.0
고지·산간형,여름,강수량_mm,DMC,4968,-0.551845229679171,0.0,0.0
고지·산간형,여름,강수량_mm,DC,4968,-0.35078965552321906,8.139485567633562e-144,1.5946747234547387e-143
고지·산간형,여름,강수량_mm,ISI,4968,-0.8001634871606481,0.0,0.0
고지·산간형,여름,강수량_mm,BUI,4968,-0.5259618461969664,0.0,0.0
고지·산간형,여름,강수량_mm,FWI,4968,-0.7671458295227653,0.0,0.0
