fire_id,연도,월,일,시간,진화소요시간(HH),위도,경도,발생지역시도명,발생지역시군구명,발생지역읍면동명,발생지역리명,발생지역번지,발생원인명,피해면적(ha),피해금액,위도_topo,경도_topo,고도(m),경사도(도),사면방향_sin,사면방향_cos,TPI(지형위치지수),TWI(지형다습지수),nearest_station_dist_km,nearest_station_name,nearest_facility_dist_km,nearest_facility_remote,nearest_water_dist_km,nearest_road_dist_km,nearest_road_width_m,nearest_road_length_km,nearest_trail_dist_km,nearest_trail_difficulty,nearest_trail_material,나지,농업지역,산림지역,수역,습지,시가화건조지역,초지,침엽수림,혼효림,활엽수림,시가화/건조지역,total_lc_area,total_lc_area_norm,나지_ratio,농업지역_ratio,산림지역_ratio,수역_ratio,습지_ratio,시가화건조지역_ratio,초지_ratio,침엽수림_ratio,혼효림_ratio,활엽수림_ratio,시가화/건조지역_ratio,is_gangwon
F_000000,2013,3,27,17,0.9333333333333332,37.63510045170228,126.99758205559452,서울특별시,강북구,수유동,0,산127-1,노숙자실화 추정,0.0,0.0,37.63510045170228,126.99758205559452,233.92538,19.85415316429321,-0.9982770361199308,-0.0586767343638555,-2.599762,5.503640651702881,1.795520134479341,강북소방서_서울-우이-119 안전센터,4.4232386721601795,불가능,0.7930465930027059,15.279924346528981,4.0,1.9711254675,0.2169842194267676,쉬움,0,5189.642520834911,0.0,275894.1192902598,0.0,0.0,146.04831511382613,1059.5540219841448,37627.48702224657,130135.0039176005,108131.62835041272,0.0,282289.36414819263,282289.36414819263,0.01838412345606659,0.0,0.9773450732824084,0.0,0.0,0.000517370945074486,0.0037534323164506965,0.1332940301728597,0.46099860797193865,0.38305243513760995,0.0,False
F_000001,2013,3,10,14,0.4833333333333333,37.4507925535295,127.06916827308488,서울특별시,서초구,내곡동,0,산12-415,밭두렁소각,0.0,0.0,37.4507925535295,127.06916827308488,121.87208,8.362767766484248,0.0591671673067821,-0.998248088559598,1.706253,2.0015785694122314,3.160908902148051,강남소방서-개포-119 안전센터,5.65218557489524,불가능,0.12692158048820246,23.007216058232856,3.5,2.08080511536,0.9615195764800806,쉬움,0,676.8406353844096,42255.0142262848,204591.86976437736,0.0,0.0,12658.741360205762,22106.898162873327,0.0,10181.069366953243,194410.8003974241,0.0,282289.36414912564,282289.36414912564,0.002397683800183323,0.14968688017577117,0.7247593985025137,0.0,0.0,0.04484313958608267,0.0783128979354492,0.0,0.03606607495695398,0.6886933235455597,0.0,False
F_000002,2013,10,27,11,0.8333333333333334,37.68129016655618,127.01696540439966,서울특별시,도봉구,도봉동,0,산29-89,미상,0.0,0.0,37.68129016655618,127.01696540439966,274.50726,17.241868139898727,-0.8744211902435796,0.4851675814118267,0.7663269,1.4794979095458984,2.680175506045518,도봉소방서-도봉-119 안전센터,4.3131650184145585,불가능,1.080096844306089,11.382604072975933,4.0,1.9711254675,0.11848355218549761,쉬움,0,2024.2688917974278,0.0,280265.095257327,0.0,0.0,0.0,0.0,0.0,63067.724783005484,217197.37047432153,0.0,282289.3641491244,282289.3641491244,0.007170900320311294,0.0,0.9928290996796888,0.0,0.0,0.0,0.0,0.0,0.22341516469493633,0.7694139349847525,0.0,False
F_000003,2013,4,16,19,1.8833333333333333,37.502707074583576,127.1476360866065,서울특별시,송파구,마천동,0,54-20,방화 추정,0.0,0.0,37.502707074583576,127.1476360866065,39.532635,5.510313100205128,-0.4298926736533838,0.9028799970866256,0.18014526,2.7063724994659424,0.5467127231078084,송파소방서,7.098951909857669,가능,0.09190250950226833,17.39933948626727,4.5,2.26464202569,1.4623070747715514,쉬움,0,7891.118999250481,38688.51615841725,53690.86572497991,1325.7330834189634,0.0,138725.2155477991,41967.91463525673,5333.056278201523,0.0,48357.80944677838,0.0,282289.36414912244,282289.36414912244,0.02795400748815287,0.13705268802823056,0.19019797606195718,0.004696362143912125,0.0,0.4914291261590571,0.14866984011869014,0.018892161574264193,0.0,0.171305814487693,0.0,False
F_000004,2007,3,26,15,0.2333333333333333,37.61738177694373,127.03749420632153,서울특별시,강북,미아,0,산35-3,입산자실화,0.02,0.0,37.61738177694373,127.03749420632153,76.686935,11.763593645964304,0.9329671968929256,0.3599614000441671,-0.1729126,1.3810189962387085,0.860477179684219,강북소방서_서울-미아-119 안전센터,2.4152402641021307,불가능,0.09663862402071757,15.922676804983858,4.0,3.65211727358,1.5744654525204893,쉬움,토사,5225.023231518397,0.0,127263.97350929545,0.0,0.0,117186.59046743924,32613.776940866494,1640.319212649859,9579.74496465399,116043.9093319916,0.0,282289.3641491196,282289.3641491196,0.018509458361166856,0.0,0.45082808519157724,0.0,0.0,0.41512931534159864,0.11553314110565724,0.00581077228181845,0.033935904717945664,0.4110814081918131,0.0,False
F_000005,2007,4,9,15,2.216666666666667,37.64608364948532,126.9537530967595,서울특별시,은평,진관내,0,산51,입산자실화,0.08,0.0,37.64608364948532,126.9537530967595,283.1132,25.57221415422685,0.7161417409875478,-0.6979548744835328,9.086914,1.4488160610198977,3.518963139096435,은평소방서-진관-119 안전센터,5.843280332458375,가능,0.976393953790023,13.330352056967781,4.0,1.9711254675,0.2608735122211267,쉬움,0,93861.61232273246,0.0,188427.7518263902,0.0,0.0,0.0,0.0,116651.08077834896,52786.85319069172,18989.817857349524,0.0,282289.3641491226,282289.3641491226,0.3325014125333783,0.0,0.6674985874666218,0.0,0.0,0.0,0.0,0.4132322913757625,0.18699554391573342,0.067270752175126,0.0,False
F_000006,2007,1,19,15,0.1666666666666666,37.60794642726773,127.04327591997428,서울특별시,성북,상월곡,0,산1-62,입산자실화,0.01,0.0,37.60794642726773,127.04327591997428,55.623585,9.875501225663662,-0.3100936773219623,0.9507060067575794,0.3334694,2.4811484813690186,1.186005449044591,성북소방서,1.2758251562036687,불가능,0.11512106266107894,16.340228888405,4.0,3.65211727358,0.43713474443847194,쉬움,토사,9916.870555523627,764.6436694034638,67822.59718239948,0.0,0.0,160703.22534595695,43082.0273958363,8387.404933534406,0.0,59435.19224886508,0.0,282289.3641491198,282289.3641491198,0.03513016009446613,0.002708722915254928,0.24025913050897688,0.0,0.0,0.5692854416614337,0.15261654481986842,0.029712082702144406,0.0,0.2105470478068325,0.0,False
F_000007,2007,1,28,15,0.3,37.587113025524616,126.89141307204956,서울특별시,은평,수색,0,산13-16,담뱃불실화추정,0.02,0.0,37.587113025524616,126.89141307204956,45.895824,9.517890533744328,-0.1438587942606138,0.9895982251974194,-2.3646927,4.699594020843506,0.3436457999660362,은평소방서-수색-119 안전센터,6.201414974521502,불가능,0.14645704285638558,20.378086573481802,4.0,1.9711254675,0.014284208542200092,쉬움,흙길,52.16729146843212,273.26890128846026,139780.5672433339,0.0,0.0,102532.89933026243,39650.461382771464,4683.391649442042,15056.688955288126,120040.48663860373,0.0,282289.3641491247,282289.3641491247,0.00018480076862149774,0.0009680453321794327,0.4951676718839898,0.0,0.0,0.36321913735332045,0.1404603446618887,0.01659074780786977,0.05333778337937714,0.4252391406967429,0.0,False
F_000008,2007,6,18,20,9.366666666666667,37.66989844813232,127.09160545266496,서울특별시,노원,상계,0,산159-1,입산자실화,0.16,10000.0,37.66989844813232,127.09160545266496,229.20012,30.23207200212064,0.9637032643657324,-0.2669756885014647,-7.6737366,2.790544986724853,2.4095439023717744,노원소방서-상계-119 안전센터,1.126894239177438,불가능,0.4481880765699938,8.46107529271851,4.0,3.65211727358,0.33704804049291853,쉬움,0,39275.84843981239,0.0,243013.5157093091,0.0,0.0,0.0,0.0,123470.78217762386,0.0,119542.73353168527,0.0,282289.3641491215,282289.3641491215,0.13913329167819666,0.0,0.8608667083218033,0.0,0.0,0.0,0.0,0.4373908402457539,0.0,0.4234758680760495,0.0,False
F_000009,2007,2,4,10,0.0833333333333333,37.48269800796141,126.99894630435088,서울특별시,서초,방배,0,산24-3,입산자실화,0.02,0.0,37.48269800796141,126.99894630435088,53.52524,7.094619006738605,0.6594903418343786,0.7517130363557456,3.3895874,2.8037707805633545,1.2396711867744195,서초소방서-방배-119 안전센터,1.4894370900569929,불가능,0.08312944749145539,23.603189371583174,3.5,2.08080511536,1.3247499345875398,쉬움,0,4388.00484651675,1481.5144328106048,69274.73608899699,0.0,0.0,162234.2594788013,44910.84930073546,9238.823326891808,9333.869492236918,50702.043269868256,0.0,282289.36414786114,282289.36414786114,0.01554435059841059,0.005248212015648589,0.2454032807722482,0.0,0.0,0.5747090754500555,0.15909508116363705,0.03272820198090275,0.033064899630252824,0.17961017916109262,0.0,False
