climate_type,raw_event_n,fire_date_n,fire_cell_n,unique_exposure_n,exposure_fire_date_n,exposure_cell_n,mean_events_per_exposure,max_events_per_exposure,cell_hour_n,cell_n,unique_exposure_rate_per_100k_cell_hour,rate_ci95_low,rate_ci95_high,raw_event_share_pct,unique_exposure_share_pct,cell_hour_share_pct
영동 해안형,563,165,21,354,165,21,1.5903954802259888,31,368424,21,96.08494560614945,86.33519872686843,106.6343100115308,36.13607188703466,30.782608695652176,22.82608695652174
영서 내륙형,772,208,41,615,208,41,1.2552845528455285,27,771936,44,79.66981718691704,73.49682459188075,86.22284008653172,49.55070603337612,53.47826086956522,47.82608695652174
고지·산간형,223,101,25,181,101,25,1.2320441988950277,6,473688,27,38.21080542466771,32.84671028339124,44.20112081763035,14.313222079589217,15.739130434782608,29.347826086956523
