audit_type,reason,fire_id,기준시각,위도,경도,기상셀ID,기후지형유형,cell_boundary_distance_m
clean_cell_boundary_le_100m,matched 기상셀 경계 100m 이내,F_010223,2021-02-20 12:00:00,38.401131000317385,128.47801599977828,YD_0005,영동 해안형,17.95875849769397
clean_cell_boundary_le_100m,matched 기상셀 경계 100m 이내,F_010266,2021-02-24 13:00:00,37.38643899963196,127.8599790002617,YS_0002,영서 내륙형,44.34982487610738
clean_cell_boundary_le_100m,matched 기상셀 경계 100m 이내,F_010425,2021-03-31 17:00:00,37.80819499993076,127.76455300001064,YS_0001,영서 내륙형,77.96512349609188
clean_cell_boundary_le_100m,matched 기상셀 경계 100m 이내,F_010518,2021-04-18 14:00:00,37.7238730003801,127.58643700055758,YS_0069,영서 내륙형,27.675060079116374
clean_cell_boundary_le_100m,matched 기상셀 경계 100m 이내,F_010550,2021-04-22 13:00:00,38.24287956609686,127.23483258699432,YS_0026,영서 내륙형,96.83924655738674
clean_cell_boundary_le_100m,matched 기상셀 경계 100m 이내,F_010553,2021-04-22 13:00:00,38.24296099965873,127.2375020004567,YS_0026,영서 내륙형,6.655980124670788
clean_cell_boundary_le_100m,matched 기상셀 경계 100m 이내,F_010565,2021-04-24 09:00:00,38.31192399986151,128.53910299990306,YD_0002,영동 해안형,77.31703060779223
clean_cell_boundary_le_100m,matched 기상셀 경계 100m 이내,F_010634,2021-05-08 07:00:00,37.146662000050426,129.3485099998201,YD_0012,영동 해안형,42.34563667850601
clean_cell_boundary_le_100m,matched 기상셀 경계 100m 이내,F_010663,2021-05-10 08:00:00,37.80247200029571,127.7756529998454,YS_0001,영서 내륙형,85.33386330390684
clean_cell_boundary_le_100m,matched 기상셀 경계 100m 이내,F_010680,2021-05-14 10:00:00,37.652184000024825,127.82213300038327,YS_0071,영서 내륙형,81.97042797351779
raw_spatial_unmatched,원본 좌표가 기상셀 polygon within 조건에 매칭되지 않음,F_010893,2020-04-16 13:00:00,38.31404093593545,127.32058153091197,,,
raw_spatial_unmatched,원본 좌표가 기상셀 polygon within 조건에 매칭되지 않음,F_006690,2020-05-01 22:00:00,37.7736935471751,127.44613107004604,,,
raw_spatial_unmatched,원본 좌표가 기상셀 polygon within 조건에 매칭되지 않음,F_009678,2021-02-03 16:00:00,37.769501000282055,128.95190999954264,,,
raw_spatial_unmatched,원본 좌표가 기상셀 polygon within 조건에 매칭되지 않음,F_010665,2021-05-11 13:00:00,38.30696883586757,127.14421962643569,,,
