변수,산불_Mean,매칭대조_Mean,Delta_Mean,Delta_CI_Lower,Delta_CI_Upper,Paired_t_p,Wilcoxon_p,Cohen_dz,Paired_t_FDR,Wilcoxon_FDR
BUI,40.36854682258768,25.48100478397741,14.88754203861027,14.131624754549708,15.643459322670832,1.1774627277644212e-270,0.0,0.6619138685604176,1.0597164549879791e-269,0.0
DMC,31.598106000331533,20.680646152188032,10.9174598481435,10.359030614449733,11.475889081837266,2.3262810123007796e-267,1.3556826367304175e-301,0.6570617912301475,1.0468264555353508e-266,4.067047910191253e-301
DC,164.14071319561052,96.51263868104311,67.62807451456742,64.06375580046611,71.19239322866872,2.7118128147118628e-254,0.0,0.6376806621295575,8.135438444135589e-254,0.0
FWI,10.621733108128842,6.611897418170598,4.009835689958247,3.7876659387485256,4.232005441167968,1.1044099888971545e-233,3.411630511548262e-207,0.606588822943448,2.4849224750185974e-233,7.67616865098359e-207
FFMC,82.43050568550822,76.71279272014536,5.7177129653628525,5.2772791190716735,6.158146811654031,6.950921567824628e-131,1.3198127340128461e-179,0.4363092485077198,1.2511658822084331e-130,2.375662921223123e-179
ISI,4.694624668647169,3.5727533154372884,1.1218713532098799,1.03010895920289,1.2136337472168697,2.20682497629126e-117,2.1372082245244727e-103,0.410895209971775,3.31023746443689e-117,3.2058123367867085e-103
FFMC_10일평균,79.25762022574453,76.55455776810456,2.7030624576399602,2.3702787527079447,3.0358461625719757,4.282679519737043e-55,8.585186043671467e-53,0.27299002834602376,5.5063022396619134e-55,1.1038096341863315e-52
FFMC_논문식_발생확률,0.7030423811141578,0.6830645242491538,0.01997785686500418,0.017151010046459816,0.022804703683548547,1.7352749678438937e-42,6.734464486844473e-44,0.23751955836484911,1.9521843388243804e-42,7.576272547700032e-44
Indexed_FFMC,3.3513672449279626,3.1425022052337552,0.20886503969420755,0.1780766189921383,0.2396534603962768,2.2968431407601376e-39,1.3928292986195952e-37,0.2279980307722584,2.2968431407601376e-39,1.3928292986195952e-37
