column,fire_missing_n,nonfire_missing_n,total_missing_n
FFMC,0,0,0
DMC,0,0,0
DC,0,0,0
ISI,0,0,0
BUI,0,0,0
FWI,0,0,0
FFMC_10일평균,0,0,0
Indexed_FFMC,0,0,0
FFMC_논문식_발생확률,0,0,0
