변수,산불_Mean,비발생_Mean,Welch_p,MW_p,Cohen_d,Welch_FDR,MW_FDR
FWI,10.621733108128842,4.979513168182283,2.7302628076046288e-241,0.0,0.9184984343217774,8.190788422813886e-241,0.0
BUI,40.36854682258768,20.336139502203572,3.7856547146008903e-153,0.0,0.9118908316203912,4.2588615539260014e-153,0.0
DC,164.14071319561052,81.20915615727283,1.4077243313046031e-128,0.0,0.8692387585012247,1.4077243313046031e-128,0.0
DMC,31.598106000331533,16.600380854262074,7.096759304077011e-161,0.0,0.8173583893155038,9.124404819527585e-161,0.0
ISI,4.694624668647169,2.9067957667501942,2.5675423169515503e-209,1.722326340633641e-291,0.6401755344267334,3.851313475427325e-209,3.1001874131405537e-291
FFMC_10일평균,79.25762022574453,72.56592397840919,0.0,3.619123545696702e-205,0.4897035474400891,0.0,4.6531588444671885e-205
FFMC,82.43050568550822,72.54935878624741,0.0,2.514504815024809e-277,0.468802980498443,0.0,3.7717572225372134e-277
Indexed_FFMC,3.3513672449279626,2.8570406640054498,3.450268907954571e-223,2.9937372055823182e-155,0.45718953576302135,6.2104840343182275e-223,2.9937372055823182e-155
FFMC_논문식_발생확률,0.7030423811141578,0.656282750922616,5.803604468568273e-237,2.9937372055823182e-155,0.4552953518480635,1.3058110054278615e-236,2.9937372055823182e-155
