variable,fire_n,fire_mean,fire_median,fire_q25,fire_q75,nonfire_n,nonfire_mean,nonfire_median,nonfire_q25,nonfire_q75,mean_difference,mean_diff_ci_lower,mean_diff_ci_upper,cohen_d,cohen_d_ci_lower,cohen_d_ci_upper,p_value,q_value,expected_direction,expected_direction_match
FFMC_10일평균,1150,78.96027059760178,81.73097952072126,72.56051554112275,86.46574922432269,1534949,72.23651179938192,75.35157584819828,64.15625020410666,83.24757487691568,6.723758798219862,5.192229497990502,8.216365332803159,0.488147221846586,0.38361221754670305,0.589704690032708,1.5903596954640394e-109,7.156618629588177e-109,higher,True
Indexed_FFMC,1150,3.3417391304347825,4.0,3.0,4.0,1534949,2.832233513947369,3.0,2.0,4.0,0.5095056164874134,0.3806791878935435,0.6393609044863343,0.46922472546288785,0.3535455109358441,0.5859224847746253,2.9410747093498185e-79,6.617418096037092e-79,higher,True
FFMC_논문식_발생확률,1150,0.7021679346479166,0.7611509621479783,0.6763394908082899,0.7611509621479783,1534949,0.6539382239534799,0.6763394908082899,0.5781052328843092,0.7611509621479783,0.04822971069443671,0.03649963644163287,0.06013190538279194,0.4671507275375929,0.35699947098888674,0.5778963812479926,1.696415505803639e-83,5.0892465174109165e-83,higher,True
