fire_exposure_id,기상셀ID,기준시각,raw_event_n,fire_ids,weather_rows_in_window_before_exclusion,candidate_rows_in_window_after_exclusion
FE_00076,YD_0003,2020-10-16 09:00:00,1,F_008003,97,0
FE_00077,YD_0003,2020-10-16 10:00:00,1,F_008004,97,0
FE_00078,YD_0003,2020-10-16 14:00:00,1,F_008005,97,0
FE_00079,YD_0003,2020-10-16 15:00:00,1,F_008007,97,0
FE_00080,YD_0003,2020-10-16 16:00:00,1,F_008020,97,0
FE_00081,YD_0003,2020-10-19 08:00:00,1,F_008060,97,0
FE_00082,YD_0003,2020-10-19 09:00:00,1,F_008061,97,0
FE_00083,YD_0003,2020-10-19 10:00:00,1,F_008063,97,0
FE_00084,YD_0003,2020-10-19 13:00:00,1,F_008093,97,0
FE_00085,YD_0003,2020-10-19 14:00:00,1,F_008064,97,0
FE_00086,YD_0003,2020-10-30 18:00:00,1,F_008593,97,0
FE_00087,YD_0003,2020-11-02 08:00:00,1,F_008597,97,0
FE_00088,YD_0003,2020-12-15 10:00:00,2,F_008689;F_008701,97,0
FE_00089,YD_0003,2021-01-17 15:00:00,2,F_008746;F_008748,97,0
FE_00090,YD_0003,2021-01-29 12:00:00,2,F_008818;F_008828,97,0
FE_00091,YD_0003,2021-02-02 13:00:00,1,F_009464,97,0
FE_00092,YD_0003,2021-02-03 10:00:00,26,F_009533;F_009534;F_009540;F_009547;F_009549;F_009556;F_009587;F_009590;F_009595;F_009600;F_009608;F_009613;F_009623;F_009627;F_009635;F_009636;F_009637;F_009639;F_009683;F_009688;F_009697;F_009726;F_009731;F_009741;F_009743;F_009839,97,0
FE_00093,YD_0003,2021-02-03 11:00:00,27,F_009559;F_009568;F_009569;F_009572;F_009575;F_009578;F_009651;F_009654;F_009655;F_009656;F_009669;F_009670;F_009789;F_009790;F_009791;F_009793;F_009805;F_009807;F_009808;F_009809;F_009812;F_009818;F_009841;F_009857;F_009898;F_009900;F_009902,97,0
FE_00094,YD_0003,2021-02-09 10:00:00,1,F_010081,97,0
FE_00095,YD_0003,2021-02-13 12:00:00,1,F_010124,97,0
FE_00096,YD_0003,2021-02-17 17:00:00,1,F_010188,97,0
FE_00097,YD_0003,2021-02-27 10:00:00,1,F_010285,97,0
FE_00098,YD_0003,2021-04-01 16:00:00,1,F_010427,97,0
FE_00099,YD_0004,2020-01-30 14:00:00,1,F_007634,97,0
FE_00100,YD_0004,2020-05-01 23:00:00,1,F_007789,97,0
FE_00101,YD_0004,2020-10-25 15:00:00,1,F_011020,97,0
FE_00102,YD_0004,2020-10-27 06:00:00,1,F_011024,97,0
FE_00103,YD_0004,2020-11-08 18:00:00,1,F_008606,97,0
FE_00104,YD_0004,2020-11-23 10:00:00,1,F_011064,97,0
FE_00105,YD_0004,2021-01-25 16:00:00,1,F_008766,97,0
FE_00106,YD_0004,2021-01-26 09:00:00,1,F_008791,97,0
FE_00107,YD_0004,2021-02-01 13:00:00,19,F_008919;F_008920;F_008935;F_008943;F_008949;F_008957;F_008958;F_008960;F_008966;F_008975;F_008981;F_009039;F_009049;F_009089;F_009166;F_009167;F_009169;F_009235;F_009240,97,0
FE_00108,YD_0004,2021-02-06 08:00:00,1,F_010046,97,0
FE_00109,YD_0004,2021-02-07 08:00:00,1,F_010053,97,0
FE_00110,YD_0004,2021-03-26 08:00:00,1,F_010382,97,0
FE_00111,YD_0004,2021-04-09 05:00:00,1,F_011198,97,0
FE_00112,YD_0005,2020-02-03 09:00:00,1,F_007645,97,0
FE_00113,YD_0005,2020-02-12 07:00:00,1,F_010745,97,0
FE_00114,YD_0005,2020-03-28 19:00:00,1,F_010826,97,0
FE_00115,YD_0005,2020-04-10 12:00:00,1,F_010867,97,0
FE_00116,YD_0005,2020-11-18 13:00:00,1,F_008612,97,0
FE_00117,YD_0005,2020-12-06 22:00:00,1,F_008623,97,0
FE_00118,YD_0005,2020-12-15 14:00:00,1,F_008694,97,0
FE_00119,YD_0005,2021-01-25 21:00:00,1,F_008770,97,0
FE_00120,YD_0005,2021-01-29 14:00:00,1,F_008821,97,0
FE_00121,YD_0005,2021-01-29 15:00:00,3,F_008822;F_008823;F_008824,97,0
FE_00122,YD_0005,2021-01-29 23:00:00,1,F_008834,97,0
FE_00123,YD_0005,2021-01-30 12:00:00,1,F_008859,97,0
FE_00124,YD_0005,2021-01-30 13:00:00,1,F_008860,97,0
FE_00125,YD_0005,2021-02-01 10:00:00,2,F_008898;F_009263,97,0
FE_00126,YD_0005,2021-02-02 11:00:00,1,F_009348,97,0
FE_00127,YD_0005,2021-02-11 17:00:00,1,F_010105,97,0
FE_00128,YD_0005,2021-02-11 18:00:00,1,F_011117,97,0
FE_00129,YD_0005,2021-02-13 16:00:00,1,F_010128,97,0
FE_00130,YD_0005,2021-02-14 14:00:00,1,F_010136,97,0
FE_00131,YD_0005,2021-02-18 11:00:00,1,F_010191,97,0
FE_00132,YD_0005,2021-02-20 12:00:00,1,F_010223,97,0
FE_00133,YD_0005,2021-02-21 08:00:00,1,F_010239,97,0
FE_00134,YD_0005,2021-02-21 16:00:00,1,F_010237,97,0
FE_00135,YD_0005,2021-02-25 11:00:00,1,F_010271,97,0
FE_00136,YD_0005,2021-02-25 15:00:00,1,F_010273,97,0
FE_00137,YD_0005,2021-03-19 11:00:00,2,F_010360;F_010361,97,0
FE_00138,YD_0005,2021-03-26 22:00:00,1,F_010381,97,0
FE_00139,YD_0005,2021-04-02 08:00:00,1,F_010432,97,0
FE_00140,YD_0005,2021-04-20 17:00:00,2,F_010538;F_011216,97,0
FE_00141,YD_0005,2021-04-27 16:00:00,1,F_010584,97,0
FE_00142,YD_0005,2021-05-20 08:00:00,1,F_010690,97,0
FE_00143,YD_0006,2020-01-03 11:00:00,1,F_010697,97,0
FE_00144,YD_0006,2020-02-24 17:00:00,1,F_007665,97,0
FE_00145,YD_0006,2020-03-15 14:00:00,2,F_007677;F_007678,97,0
FE_00146,YD_0006,2020-06-22 12:00:00,1,F_010975,97,0
FE_00147,YD_0006,2020-12-24 16:00:00,1,F_008717,97,0
FE_00148,YD_0006,2021-02-03 12:00:00,1,F_009659,97,0
