fire_exposure_id,직전24h_최소습도,직전24h_평균습도,직전24h_평균풍속,직전24h_최대풍속,직전24h_강수량합,D-1_최소습도_pct,D-1_강수량합_mm,직전48h_평균풍속,직전48h_최대풍속,직전48h_평균습도,직전48h_최소습도,직전48h_강수량합,D-2_최소습도_pct,D-3_최소습도_pct,기압변동_3h,서풍계열_여부,풍향_sin,풍향_cos,시점_기온_C,시점_습도_pct,시점_풍속_m_s,시점_현지기압_hPa,기상셀ID,기준시각,climate_type,month,hour,date,season
FE_00001,-21.226,-20.04683333333334,1.3025000000000002,0.5259999999999998,-11.104,,,1.427208333333334,0.009999999999999787,-18.620958333333334,-12.082,-23.208000000000002,,,-2.517999999999938,0.6,-0.3971569916780248,-0.8410893262703723,-1.8280000000000003,-19.864000000000004,0.7619999999999996,4.201999999999998,YD_0001,2020-01-01 12:00:00,영동 해안형,1,12,2020-01-01,겨울(12-2월)
FE_00002,-10.966000000000001,-9.691750000000006,1.16575,1.246,-2.732,-9.127999999999993,-0.634,0.5878333333333337,0.6660000000000004,-6.098666666666659,-2.0559999999999974,-3.906,-2.9739999999999966,-2.386000000000003,0.05199999999995275,0.4,-0.11959500637137854,-0.7784460041003259,-4.346,-11.414000000000009,2.104,-5.2579999999999245,YD_0001,2020-01-13 11:00:00,영동 해안형,1,11,2020-01-13,겨울(12-2월)
FE_00003,-4.864000000000004,-7.79675000000001,1.4311666666666665,2.2399999999999998,-0.99,-12.240000000000002,-0.008,0.5735833333333327,1.0419999999999998,-1.14908333333333,-5.734000000000002,-0.998,5.832000000000001,-17.300000000000004,0.682000000000039,-0.4,-0.39087631575983406,0.8601971687818639,-4.352,-5.170000000000009,1.1520000000000001,-0.42999999999995,YD_0001,2020-02-08 12:00:00,영동 해안형,2,12,2020-02-08,겨울(12-2월)
FE_00004,1.411999999999999,2.9804166666666703,-1.1461666666666668,-1.7659999999999991,-0.22800000000000004,-4.857999999999997,-0.22599999999999998,-0.7587083333333329,-1.528,4.64695833333333,2.769999999999996,-0.22999999999999998,12.277999999999999,-16.316,0.30999999999989997,-0.4,0.9670009137633779,0.35736299842241703,2.1159999999999997,9.07,-1.044,4.589999999999918,YD_0001,2020-03-24 11:00:00,영동 해안형,3,11,2020-03-24,봄(3-5월)
FE_00005,4.6200000000000045,7.82974999999999,-2.2571666666666665,-3.234,-2.3120000000000003,20.628000000000004,-2.314,-2.1875416666666667,-4.01,11.771250000000009,7.294000000000004,-4.62,21.884,4.635999999999999,-0.8080000000001064,-1.0,0.7197479935734649,1.5326649284033151,5.42,23.832,-2.932,2.0919999999999845,YD_0001,2020-03-26 18:00:00,영동 해안형,3,18,2020-03-26,봄(3-5월)
FE_00006,-19.677999999999997,-24.562833333333337,1.4767500000000005,2.8439999999999994,-6.732000000000001,-27.162000000000003,-4.164,0.6601666666666666,1.9699999999999998,-29.475625,-20.280000000000005,-7.716000000000001,-27.211999999999996,-2.9480000000000004,1.1219999999999573,-0.2,-1.1620446748717081,0.35574552817922594,-7.928000000000003,-12.415999999999997,-0.4159999999999997,4.325999999999908,YD_0001,2020-04-04 18:00:00,영동 해안형,4,18,2020-04-04,봄(3-5월)
FE_00007,1.9919999999999973,-2.701750000000004,-0.7872500000000002,-1.0979999999999994,-1.062,2.915999999999997,-3.876,-0.6915416666666663,-0.9160000000000004,0.9684166666666627,13.599999999999998,-9.544,-5.927999999999997,-2.6000000000000014,-0.4720000000000484,-0.6,1.2895076154140594,-0.018365633871153475,-1.2919999999999998,1.0300000000000011,-0.8580000000000001,1.2959999999999354,YD_0001,2020-04-11 13:00:00,영동 해안형,4,13,2020-04-11,봄(3-5월)
FE_00008,-17.43,-19.007416666666664,1.8310833333333334,2.066,-0.054000000000000006,-9.360000000000007,-0.538,1.2458333333333336,1.5839999999999996,-16.759083333333344,-17.011999999999993,-3.2520000000000016,-38.28000000000001,-32.455999999999996,0.5220000000001164,0.8,-1.332787810286133,-0.6755686337155997,3.2759999999999962,-21.982,1.2079999999999997,-3.75,YD_0001,2020-06-04 17:00:00,영동 해안형,6,17,2020-06-04,여름(6-8월)
FE_00009,-21.412,-16.25516666666666,-0.44999999999999996,-0.2019999999999995,-38.842,-22.79,-0.6839999999999999,0.22550000000000026,-0.07399999999999984,-22.75937499999999,-20.95799999999999,-39.68,-32.28400000000001,-18.064,-0.3459999999999127,0.8,-0.8325577560582916,-0.6253751358651489,3.3260000000000005,-14.715999999999994,-0.7220000000000004,-0.8360000000000127,YD_0001,2020-06-17 20:00:00,영동 해안형,6,20,2020-06-17,여름(6-8월)
FE_00010,30.487999999999996,29.788749999999993,0.6942500000000003,2.3000000000000003,8.52,31.413999999999994,0.1,-0.5050416666666666,1.7860000000000005,33.810416666666676,33.041999999999994,8.610000000000014,38.408,14.761999999999993,-0.4340000000000146,0.8,-1.0607431216838854,-0.7637600023443398,6.748000000000001,31.951999999999998,2.59,-15.215999999999894,YD_0001,2020-11-19 15:00:00,영동 해안형,11,15,2020-11-19,가을(9-11월)
FE_00011,-1.053999999999995,-11.226750000000017,1.6,1.908,-0.008,-2.538000000000004,0.0,1.0179166666666668,1.33,-10.17875,0.7299999999999969,-0.00800000000000284,-0.04800000000000537,7.422000000000004,0.6559999999998808,0.4,-0.5221185228905459,-0.3807522243537656,-8.713999999999999,-11.354000000000006,1.0939999999999999,3.1639999999999873,YD_0001,2020-11-30 11:00:00,영동 해안형,11,11,2020-11-30,가을(9-11월)
FE_00012,-16.177999999999997,-10.366750000000003,-0.8145833333333337,-1.0300000000000002,0.0,-16.177999999999997,0.0,-0.915,-1.6059999999999999,-10.324041666666666,-14.582,0.0,-12.802000000000007,1.9939999999999962,-0.3980000000000473,0.0,0.19053516008945015,-0.3799518565308349,1.5099999999999998,11.223999999999997,0.4079999999999995,0.5960000000000036,YD_0001,2020-12-10 10:00:00,영동 해안형,12,10,2020-12-10,겨울(12-2월)
FE_00013,-11.664000000000001,-13.03383333333333,0.2705000000000011,0.10200000000000031,0.0,-11.664000000000001,0.0,-0.14354166666666668,-0.28200000000000003,1.8031666666666624,-7.510000000000005,0.9300000000000113,12.591999999999999,-4.510000000000002,-0.04799999999993365,0.0,0.0027230689553008336,-0.02323956988747672,-8.69,-20.406,-0.4379999999999997,4.07000000000005,YD_0001,2020-12-15 09:00:00,영동 해안형,12,9,2020-12-15,겨울(12-2월)
FE_00014,-11.642,-0.2467500000000058,0.3184999999999998,1.0620000000000003,-0.01000000000000016,-14.448,-0.01,0.3731666666666671,0.71,-10.150708333333327,-10.056,-0.01000000000000284,-13.372000000000002,-10.452000000000002,0.23999999999998636,0.19999999999999996,-0.3168682444793412,-0.22797045150194672,-2.1140000000000003,19.22,0.008000000000000007,-0.9339999999999691,YD_0001,2020-12-18 11:00:00,영동 해안형,12,11,2020-12-18,겨울(12-2월)
FE_00015,-28.89,2.6749166666666753,-1.0329166666666665,-1.6639999999999997,-1.7280000000000004,-28.08,-1.48,-0.18037500000000062,0.8639999999999999,-6.233958333333334,-20.786,-2.6500000000000083,5.259999999999998,9.392,-2.468000000000006,-0.8,1.4051003159741569,-0.46742694993602063,6.220000000000001,19.214,-0.532,-8.605999999999995,YD_0001,2021-01-15 12:00:00,영동 해안형,1,12,2021-01-15,겨울(12-2월)
FE_00016,-4.390000000000004,0.7657500000000041,-1.068916666666667,1.3899999999999997,-1.0400000000000003,-5.043999999999997,-0.10600000000000001,-0.9921250000000001,1.0100000000000007,8.727958333333333,1.3240000000000016,-0.9239999999999885,36.93599999999999,32.21,-0.7299999999999731,0.4,-0.10261861645562786,-0.34991359097664254,1.854,30.434000000000005,0.17600000000000016,-10.090000000000032,YD_0001,2021-01-28 13:00:00,영동 해안형,1,13,2021-01-28,겨울(12-2월)
FE_00017,-13.854,-15.695250000000001,2.2056666666666667,2.396,-0.6719999999999995,-5.895999999999997,0.364,0.7799583333333335,1.9699999999999998,-4.766500000000001,-7.390000000000001,-0.6159999999999946,-1.9319999999999986,36.279999999999994,1.3299999999999728,0.6,-0.8504483727111158,0.13685613699492105,-3.2279999999999998,-30.648000000000003,2.0880000000000005,-0.5160000000000764,YD_0001,2021-01-29 14:00:00,영동 해안형,1,14,2021-01-29,겨울(12-2월)
