월,시간,기후지형유형,번지유형,건수,비율_pct
2,17,영서 내륙형,임야번지(산),2,0.058806233460746836
2,17,영서 내륙형,일반번지,9,0.26462805057336075
2,17,고지·산간형,임야번지(산),1,0.029403116730373418
2,17,고지·산간형,일반번지,4,0.11761246692149367
2,18,영동 해안형,일반번지,13,0.38224051749485444
2,18,영서 내륙형,임야번지(산),2,0.058806233460746836
2,18,영서 내륙형,일반번지,13,0.38224051749485444
2,19,영동 해안형,임야번지(산),1,0.029403116730373418
2,19,영동 해안형,일반번지,1,0.029403116730373418
2,19,영서 내륙형,임야번지(산),2,0.058806233460746836
2,19,영서 내륙형,일반번지,6,0.17641870038224053
2,20,영동 해안형,일반번지,2,0.058806233460746836
2,20,고지·산간형,일반번지,1,0.029403116730373418
2,21,영서 내륙형,임야번지(산),1,0.029403116730373418
2,21,영서 내륙형,일반번지,3,0.08820935019112026
2,22,영동 해안형,임야번지(산),1,0.029403116730373418
2,22,영동 해안형,일반번지,1,0.029403116730373418
2,22,영서 내륙형,일반번지,1,0.029403116730373418
2,23,영동 해안형,임야번지(산),1,0.029403116730373418
2,23,영서 내륙형,일반번지,1,0.029403116730373418
3,1,고지·산간형,일반번지,2,0.058806233460746836
3,5,영동 해안형,임야번지(산),1,0.029403116730373418
3,5,고지·산간형,임야번지(산),1,0.029403116730373418
3,6,영동 해안형,일반번지,1,0.029403116730373418
3,7,영서 내륙형,일반번지,5,0.14701558365186712
3,8,영동 해안형,일반번지,2,0.058806233460746836
3,8,영서 내륙형,임야번지(산),1,0.029403116730373418
3,8,영서 내륙형,일반번지,2,0.058806233460746836
3,9,영동 해안형,일반번지,4,0.11761246692149367
3,9,영서 내륙형,일반번지,10,0.29403116730373424
3,9,고지·산간형,임야번지(산),1,0.029403116730373418
3,9,고지·산간형,일반번지,3,0.08820935019112026
3,10,영동 해안형,일반번지,2,0.058806233460746836
3,10,영서 내륙형,임야번지(산),6,0.17641870038224053
3,10,영서 내륙형,일반번지,5,0.14701558365186712
3,11,영동 해안형,임야번지(산),5,0.14701558365186712
3,11,영동 해안형,일반번지,4,0.11761246692149367
3,11,영서 내륙형,임야번지(산),5,0.14701558365186712
3,11,영서 내륙형,일반번지,9,0.26462805057336075
3,11,고지·산간형,일반번지,1,0.029403116730373418
3,12,영동 해안형,일반번지,2,0.058806233460746836
3,12,영서 내륙형,임야번지(산),8,0.23522493384298734
3,12,영서 내륙형,일반번지,9,0.26462805057336075
3,13,영동 해안형,임야번지(산),1,0.029403116730373418
3,13,영동 해안형,일반번지,1,0.029403116730373418
3,13,영서 내륙형,임야번지(산),4,0.11761246692149367
3,13,영서 내륙형,일반번지,10,0.29403116730373424
3,13,고지·산간형,일반번지,4,0.11761246692149367
3,14,영동 해안형,임야번지(산),5,0.14701558365186712
3,14,영동 해안형,일반번지,8,0.23522493384298734
3,14,영서 내륙형,임야번지(산),1,0.029403116730373418
3,14,영서 내륙형,일반번지,12,0.35283740076448106
3,14,고지·산간형,일반번지,2,0.058806233460746836
3,15,영동 해안형,일반번지,3,0.08820935019112026
3,15,영서 내륙형,임야번지(산),7,0.20582181711261394
3,15,영서 내륙형,일반번지,6,0.17641870038224053
3,15,고지·산간형,임야번지(산),4,0.11761246692149367
3,15,고지·산간형,일반번지,3,0.08820935019112026
3,16,영동 해안형,임야번지(산),1,0.029403116730373418
3,16,영동 해안형,일반번지,6,0.17641870038224053
3,16,영서 내륙형,임야번지(산),6,0.17641870038224053
