fire_exposure_id,기상셀ID,기준시각,year,month,hour,date,climate_type,raw_event_n,fire_ids,match_key,base_pool_n,canadian_pool_n,matched_control_n,min_abs_date_diff_days,median_abs_date_diff_days,max_abs_date_diff_days,min_abs_time_diff_hours,median_abs_time_diff_hours,max_abs_time_diff_hours,full_5_matched,match_status
FE_00026,YD_0001,2021-02-05 14:00:00,2021,2,14,2021-02-05,영동 해안형,1,F_009985,YD_0001|2021|2|14,3,3,3,4,22.0,23,96.0,528.0,552.0,False,fewer_than_5_after_canadian_filter
FE_00027,YD_0001,2021-02-07 10:00:00,2021,2,10,2021-02-07,영동 해안형,2,F_010054;F_010055,YD_0001|2021|2|10,2,2,2,20,20.5,21,480.0,492.0,504.0,False,fewer_than_5_after_canadian_filter
FE_00028,YD_0001,2021-02-11 18:00:00,2021,2,18,2021-02-11,영동 해안형,1,F_010095,YD_0001|2021|2|18,2,2,2,16,16.5,17,384.0,396.0,408.0,False,fewer_than_5_after_canadian_filter
FE_00029,YD_0001,2021-02-13 13:00:00,2021,2,13,2021-02-13,영동 해안형,1,F_010126,YD_0001|2021|2|13,3,3,3,4,14.0,15,96.0,336.0,360.0,False,fewer_than_5_after_canadian_filter
FE_00030,YD_0001,2021-02-13 14:00:00,2021,2,14,2021-02-13,영동 해안형,1,F_010129,YD_0001|2021|2|14,3,3,3,4,14.0,15,96.0,336.0,360.0,False,fewer_than_5_after_canadian_filter
FE_00031,YD_0001,2021-02-15 13:00:00,2021,2,13,2021-02-15,영동 해안형,1,F_010154,YD_0001|2021|2|13,3,3,3,6,12.0,13,144.0,288.0,312.0,False,fewer_than_5_after_canadian_filter
FE_00032,YD_0001,2021-02-15 14:00:00,2021,2,14,2021-02-15,영동 해안형,1,F_010147,YD_0001|2021|2|14,3,3,3,6,12.0,13,144.0,288.0,312.0,False,fewer_than_5_after_canadian_filter
FE_00033,YD_0001,2021-02-18 15:00:00,2021,2,15,2021-02-18,영동 해안형,2,F_010192;F_010196,YD_0001|2021|2|15,3,3,3,9,9.0,10,216.0,216.0,240.0,False,fewer_than_5_after_canadian_filter
FE_00034,YD_0001,2021-02-18 16:00:00,2021,2,16,2021-02-18,영동 해안형,1,F_010198,YD_0001|2021|2|16,3,3,3,9,9.0,10,216.0,216.0,240.0,False,fewer_than_5_after_canadian_filter
FE_00035,YD_0001,2021-02-18 17:00:00,2021,2,17,2021-02-18,영동 해안형,1,F_010193,YD_0001|2021|2|17,3,3,3,9,9.0,10,216.0,216.0,240.0,False,fewer_than_5_after_canadian_filter
