fire_exposure_id,기상셀ID,기준시각,year,month,hour,date,climate_type,raw_event_n,fire_ids,match_key,base_pool_n,canadian_pool_n,matched_control_n,min_abs_date_diff_days,median_abs_date_diff_days,max_abs_date_diff_days,min_abs_time_diff_hours,median_abs_time_diff_hours,max_abs_time_diff_hours,full_5_matched,match_status
FE_00127,YD_0005,2021-02-11 17:00:00,2021,2,17,2021-02-11,영동 해안형,1,F_010105,YD_0005|2021|2|17,7,7,5,3,5.0,17,72.0,120.0,408.0,True,full_5
FE_00128,YD_0005,2021-02-11 18:00:00,2021,2,18,2021-02-11,영동 해안형,1,F_011117,YD_0005|2021|2|18,7,7,5,3,7.0,17,72.0,168.0,408.0,True,full_5
FE_00129,YD_0005,2021-02-13 16:00:00,2021,2,16,2021-02-13,영동 해안형,1,F_010128,YD_0005|2021|2|16,8,8,5,5,7.0,14,120.0,168.0,336.0,True,full_5
FE_00130,YD_0005,2021-02-14 14:00:00,2021,2,14,2021-02-14,영동 해안형,1,F_010136,YD_0005|2021|2|14,7,7,5,5,7.0,14,120.0,168.0,336.0,True,full_5
FE_00131,YD_0005,2021-02-18 11:00:00,2021,2,11,2021-02-18,영동 해안형,1,F_010191,YD_0005|2021|2|11,6,6,5,10,11.0,13,240.0,264.0,312.0,True,full_5
FE_00132,YD_0005,2021-02-20 12:00:00,2021,2,12,2021-02-20,영동 해안형,1,F_010223,YD_0005|2021|2|12,7,7,5,8,12.0,16,192.0,288.0,384.0,True,full_5
FE_00133,YD_0005,2021-02-21 08:00:00,2021,2,8,2021-02-21,영동 해안형,1,F_010239,YD_0005|2021|2|8,6,6,5,7,13.0,16,168.0,312.0,384.0,True,full_5
FE_00134,YD_0005,2021-02-21 16:00:00,2021,2,16,2021-02-21,영동 해안형,1,F_010237,YD_0005|2021|2|16,8,8,5,7,14.0,17,168.0,336.0,408.0,True,full_5
FE_00135,YD_0005,2021-02-25 11:00:00,2021,2,11,2021-02-25,영동 해안형,1,F_010271,YD_0005|2021|2|11,6,6,5,3,17.0,20,72.0,408.0,480.0,True,full_5
FE_00136,YD_0005,2021-02-25 15:00:00,2021,2,15,2021-02-25,영동 해안형,1,F_010273,YD_0005|2021|2|15,7,7,5,3,18.0,21,72.0,432.0,504.0,True,full_5
FE_00137,YD_0005,2021-03-19 11:00:00,2021,3,11,2021-03-19,영동 해안형,2,F_010360;F_010361,YD_0005|2021|3|11,21,21,5,6,11.0,18,144.0,264.0,432.0,True,full_5
FE_00138,YD_0005,2021-03-26 22:00:00,2021,3,22,2021-03-26,영동 해안형,1,F_010381,YD_0005|2021|3|22,21,21,5,3,14.0,24,72.0,336.0,576.0,True,full_5
FE_00139,YD_0005,2021-04-02 08:00:00,2021,4,8,2021-04-02,영동 해안형,1,F_010432,YD_0005|2021|4|8,18,18,5,4,6.0,28,96.0,144.0,672.0,True,full_5
FE_00140,YD_0005,2021-04-20 17:00:00,2021,4,17,2021-04-20,영동 해안형,2,F_010538;F_011216,YD_0005|2021|4|17,18,18,5,3,10.0,15,72.0,240.0,360.0,True,full_5
FE_00141,YD_0005,2021-04-27 16:00:00,2021,4,16,2021-04-27,영동 해안형,1,F_010584,YD_0005|2021|4|16,18,18,5,15,17.0,22,360.0,408.0,528.0,True,full_5
FE_00142,YD_0005,2021-05-20 08:00:00,2021,5,8,2021-05-20,영동 해안형,1,F_010690,YD_0005|2021|5|8,26,26,5,3,5.0,17,72.0,120.0,408.0,True,full_5
FE_00143,YD_0006,2020-01-03 11:00:00,2020,1,11,2020-01-03,영동 해안형,1,F_010697,YD_0006|2020|1|11,26,26,5,11,16.0,27,264.0,384.0,648.0,True,full_5
FE_00144,YD_0006,2020-02-24 17:00:00,2020,2,17,2020-02-24,영동 해안형,1,F_007665,YD_0006|2020|2|17,24,24,5,3,15.0,23,72.0,360.0,552.0,True,full_5
FE_00145,YD_0006,2020-03-15 14:00:00,2020,3,14,2020-03-15,영동 해안형,2,F_007677;F_007678,YD_0006|2020|3|14,26,26,5,5,12.0,14,120.0,288.0,336.0,True,full_5
FE_00146,YD_0006,2020-06-22 12:00:00,2020,6,12,2020-06-22,영동 해안형,1,F_010975,YD_0006|2020|6|12,25,25,5,3,4.0,13,72.0,96.0,312.0,True,full_5
FE_00147,YD_0006,2020-12-24 16:00:00,2020,12,16,2020-12-24,영동 해안형,1,F_008717,YD_0006|2020|12|16,26,26,5,6,10.0,21,144.0,240.0,504.0,True,full_5
FE_00148,YD_0006,2021-02-03 12:00:00,2021,2,12,2021-02-03,영동 해안형,1,F_009659,YD_0006|2021|2|12,19,19,5,3,16.0,20,72.0,384.0,480.0,True,full_5
FE_00149,YD_0006,2021-02-03 16:00:00,2021,2,16,2021-02-03,영동 해안형,1,F_009664,YD_0006|2021|2|16,19,19,5,3,14.0,19,72.0,336.0,456.0,True,full_5
FE_00150,YD_0006,2021-02-11 09:00:00,2021,2,9,2021-02-11,영동 해안형,1,F_010102,YD_0006|2021|2|9,19,19,5,5,7.0,16,120.0,168.0,384.0,True,full_5
FE_00151,YD_0006,2021-03-14 12:00:00,2021,3,12,2021-03-14,영동 해안형,1,F_010348,YD_0006|2021|3|12,19,19,5,7,9.0,16,168.0,216.0,384.0,True,full_5
FE_00152,YD_0006,2021-03-17 13:00:00,2021,3,13,2021-03-17,영동 해안형,1,F_010354,YD_0006|2021|3|13,19,19,5,3,7.0,16,72.0,168.0,384.0,True,full_5
FE_00153,YD_0006,2021-03-27 17:00:00,2021,3,17,2021-03-27,영동 해안형,1,F_010393,YD_0006|2021|3|17,19,19,5,4,8.0,24,96.0,192.0,576.0,True,full_5
FE_00154,YD_0006,2021-04-07 20:00:00,2021,4,20,2021-04-07,영동 해안형,1,F_010458,YD_0006|2021|4|20,21,21,5,4,11.0,18,96.0,264.0,432.0,True,full_5
FE_00155,YD_0006,2021-04-14 13:00:00,2021,4,13,2021-04-14,영동 해안형,1,F_010487,YD_0006|2021|4|13,21,21,5,9,11.0,14,216.0,264.0,336.0,True,full_5
FE_00156,YD_0007,2020-02-08 08:00:00,2020,2,8,2020-02-08,영동 해안형,1,F_007648,YD_0007|2020|2|8,20,20,5,4,6.0,11,96.0,144.0,264.0,True,full_5
FE_00157,YD_0007,2020-02-23 07:00:00,2020,2,7,2020-02-23,영동 해안형,1,F_010750,YD_0007|2020|2|7,20,20,5,4,6.0,22,96.0,144.0,528.0,True,full_5
FE_00158,YD_0007,2020-03-15 14:00:00,2020,3,14,2020-03-15,영동 해안형,1,F_007676,YD_0007|2020|3|14,24,24,5,3,7.0,14,72.0,168.0,336.0,True,full_5
FE_00159,YD_0007,2020-04-01 14:00:00,2020,4,14,2020-04-01,영동 해안형,1,F_007710,YD_0007|2020|4|14,25,25,5,4,15.0,24,96.0,360.0,576.0,True,full_5
FE_00160,YD_0007,2020-05-01 02:00:00,2020,5,2,2020-05-01,영동 해안형,1,F_010916,YD_0007|2020|5|2,28,28,5,10,15.0,26,240.0,360.0,624.0,True,full_5
FE_00161,YD_0007,2021-02-03 17:00:00,2021,2,17,2021-02-03,영동 해안형,1,F_009586,YD_0007|2021|2|17,23,23,5,3,18.0,25,72.0,432.0,600.0,True,full_5
FE_00162,YD_0008,2020-03-26 11:00:00,2020,3,11,2020-03-26,영동 해안형,3,F_007699;F_007700;F_010823,YD_0008|2020|3|11,26,26,5,4,14.0,20,96.0,336.0,480.0,True,full_5
FE_00163,YD_0008,2020-11-24 14:00:00,2020,11,14,2020-11-24,영동 해안형,1,F_008613,YD_0008|2020|11|14,25,25,5,6,18.0,23,144.0,432.0,552.0,True,full_5
FE_00164,YD_0008,2020-12-16 09:00:00,2020,12,9,2020-12-16,영동 해안형,2,F_008708;F_008709,YD_0008|2020|12|9,26,26,5,5,7.0,10,120.0,168.0,240.0,True,full_5
FE_00165,YD_0008,2021-01-16 12:00:00,2021,1,12,2021-01-16,영동 해안형,1,F_011105,YD_0008|2021|1|12,24,24,5,3,9.0,15,72.0,216.0,360.0,True,full_5
FE_00166,YD_0008,2021-02-01 11:00:00,2021,2,11,2021-02-01,영동 해안형,1,F_008917,YD_0008|2021|2|11,16,16,5,8,11.0,14,192.0,264.0,336.0,True,full_5
FE_00167,YD_0008,2021-02-01 12:00:00,2021,2,12,2021-02-01,영동 해안형,2,F_009033;F_009253,YD_0008|2021|2|12,15,15,5,5,12.0,27,120.0,288.0,648.0,True,full_5
FE_00168,YD_0008,2021-02-01 13:00:00,2021,2,13,2021-02-01,영동 해안형,20,F_008928;F_008929;F_008942;F_008945;F_008956;F_008965;F_008967;F_008985;F_008994;F_008998;F_009035;F_009041;F_009046;F_009052;F_009058;F_009063;F_009090;F_009092;F_009168;F_009184,YD_0008|2021|2|13,16,16,5,5,12.0,16,120.0,288.0,384.0,True,full_5
FE_00169,YD_0008,2021-02-01 14:00:00,2021,2,14,2021-02-01,영동 해안형,2,F_009000;F_009246,YD_0008|2021|2|14,16,16,5,4,7.0,15,96.0,168.0,360.0,True,full_5
FE_00170,YD_0008,2021-02-02 14:00:00,2021,2,14,2021-02-02,영동 해안형,1,F_009351,YD_0008|2021|2|14,16,16,5,5,7.0,26,120.0,168.0,624.0,True,full_5
FE_00171,YD_0008,2021-02-20 08:00:00,2021,2,8,2021-02-20,영동 해안형,1,F_010211,YD_0008|2021|2|8,15,15,5,3,8.0,12,72.0,192.0,288.0,True,full_5
FE_00172,YD_0008,2021-02-24 12:00:00,2021,2,12,2021-02-24,영동 해안형,1,F_010268,YD_0008|2021|2|12,15,15,5,8,12.0,19,192.0,288.0,456.0,True,full_5
FE_00173,YD_0008,2021-03-14 14:00:00,2021,3,14,2021-03-14,영동 해안형,1,F_011170,YD_0008|2021|3|14,25,25,5,3,8.0,16,72.0,192.0,384.0,True,full_5
FE_00174,YD_0008,2021-04-01 18:00:00,2021,4,18,2021-04-01,영동 해안형,1,F_010431,YD_0008|2021|4|18,27,27,5,10,24.0,28,240.0,576.0,672.0,True,full_5
FE_00175,YD_0009,2020-03-21 14:00:00,2020,3,14,2020-03-21,영동 해안형,1,F_010795,YD_0009|2020|3|14,26,26,5,3,9.0,11,72.0,216.0,264.0,True,full_5
FE_00176,YD_0009,2020-03-21 15:00:00,2020,3,15,2020-03-21,영동 해안형,1,F_007695,YD_0009|2020|3|15,26,26,5,5,9.0,17,120.0,216.0,408.0,True,full_5
FE_00177,YD_0009,2020-03-21 17:00:00,2020,3,17,2020-03-21,영동 해안형,1,F_007694,YD_0009|2020|3|17,26,26,5,5,10.0,18,120.0,240.0,432.0,True,full_5
FE_00178,YD_0009,2020-10-25 11:00:00,2020,10,11,2020-10-25,영동 해안형,1,F_011019,YD_0009|2020|10|11,26,26,5,6,15.0,20,144.0,360.0,480.0,True,full_5
FE_00179,YD_0009,2020-11-30 11:00:00,2020,11,11,2020-11-30,영동 해안형,1,F_011067,YD_0009|2020|11|11,27,27,5,6,15.0,25,144.0,360.0,600.0,True,full_5
FE_00180,YD_0009,2021-01-28 15:00:00,2021,1,15,2021-01-28,영동 해안형,1,F_008811,YD_0009|2021|1|15,25,25,5,6,24.0,27,144.0,576.0,648.0,True,full_5
FE_00181,YD_0009,2021-01-29 19:00:00,2021,1,19,2021-01-29,영동 해안형,1,F_008825,YD_0009|2021|1|19,25,25,5,10,13.0,20,240.0,312.0,480.0,True,full_5
FE_00182,YD_0009,2021-01-29 21:00:00,2021,1,21,2021-01-29,영동 해안형,1,F_008833,YD_0009|2021|1|21,25,25,5,8,13.0,27,192.0,312.0,648.0,True,full_5
FE_00183,YD_0009,2021-01-30 06:00:00,2021,1,6,2021-01-30,영동 해안형,1,F_008861,YD_0009|2021|1|6,26,26,5,5,9.0,28,120.0,216.0,672.0,True,full_5
FE_00184,YD_0009,2021-01-30 07:00:00,2021,1,7,2021-01-30,영동 해안형,1,F_008862,YD_0009|2021|1|7,26,26,5,9,15.0,24,216.0,360.0,576.0,True,full_5
FE_00185,YD_0009,2021-03-11 14:00:00,2021,3,14,2021-03-11,영동 해안형,1,F_010323,YD_0009|2021|3|14,22,22,5,3,10.0,15,72.0,240.0,360.0,True,full_5
FE_00186,YD_0009,2021-03-19 12:00:00,2021,3,12,2021-03-19,영동 해안형,1,F_010359,YD_0009|2021|3|12,22,22,5,4,9.0,15,96.0,216.0,360.0,True,full_5
FE_00187,YD_0009,2021-04-25 10:00:00,2021,4,10,2021-04-25,영동 해안형,1,F_010575,YD_0009|2021|4|10,25,25,5,8,13.0,18,192.0,312.0,432.0,True,full_5
FE_00188,YD_0010,2021-01-27 15:00:00,2021,1,15,2021-01-27,영동 해안형,1,F_008797,YD_0010|2021|1|15,26,26,5,4,23.0,26,96.0,552.0,624.0,True,full_5
FE_00189,YD_0011,2020-04-04 03:00:00,2020,4,3,2020-04-04,영동 해안형,1,F_007716,YD_0011|2020|4|3,21,21,5,3,20.0,26,72.0,480.0,624.0,True,full_5
FE_00190,YD_0011,2020-04-15 16:00:00,2020,4,16,2020-04-15,영동 해안형,1,F_010886,YD_0011|2020|4|16,21,21,5,9,12.0,14,216.0,288.0,336.0,True,full_5
FE_00191,YD_0011,2020-12-10 10:00:00,2020,12,10,2020-12-10,영동 해안형,1,F_008627,YD_0011|2020|12|10,25,25,5,4,14.0,19,96.0,336.0,456.0,True,full_5
FE_00192,YD_0011,2021-01-01 14:00:00,2021,1,14,2021-01-01,영동 해안형,1,F_011096,YD_0011|2021|1|14,22,22,5,11,15.0,28,264.0,360.0,672.0,True,full_5
FE_00193,YD_0011,2021-01-08 13:00:00,2021,1,13,2021-01-08,영동 해안형,1,F_008741,YD_0011|2021|1|13,21,21,5,3,10.0,16,72.0,240.0,384.0,True,full_5
FE_00194,YD_0011,2021-02-01 09:00:00,2021,2,9,2021-02-01,영동 해안형,1,F_008880,YD_0011|2021|2|9,21,21,5,8,14.0,26,192.0,336.0,624.0,True,full_5
FE_00195,YD_0011,2021-02-01 10:00:00,2021,2,10,2021-02-01,영동 해안형,1,F_008864,YD_0011|2021|2|10,21,21,5,8,18.0,25,192.0,432.0,600.0,True,full_5
FE_00196,YD_0011,2021-02-01 11:00:00,2021,2,11,2021-02-01,영동 해안형,1,F_009121,YD_0011|2021|2|11,21,21,5,8,25.0,27,192.0,600.0,648.0,True,full_5
FE_00197,YD_0011,2021-02-06 16:00:00,2021,2,16,2021-02-06,영동 해안형,1,F_010048,YD_0011|2021|2|16,21,21,5,5,12.0,14,120.0,288.0,336.0,True,full_5
FE_00198,YD_0011,2021-03-14 18:00:00,2021,3,18,2021-03-14,영동 해안형,1,F_010344,YD_0011|2021|3|18,26,26,5,7,11.0,13,168.0,264.0,312.0,True,full_5
FE_00199,YD_0011,2021-05-06 21:00:00,2021,5,21,2021-05-06,영동 해안형,2,F_010625;F_011255,YD_0011|2021|5|21,26,26,5,5,13.0,18,120.0,312.0,432.0,True,full_5
FE_00200,YD_0012,2020-12-20 03:00:00,2020,12,3,2020-12-20,영동 해안형,1,F_008716,YD_0012|2020|12|3,26,26,5,6,10.0,19,144.0,240.0,456.0,True,full_5
FE_00201,YD_0012,2021-01-31 11:00:00,2021,1,11,2021-01-31,영동 해안형,1,F_008863,YD_0012|2021|1|11,28,28,5,3,24.0,29,72.0,576.0,696.0,True,full_5
FE_00202,YD_0012,2021-02-01 11:00:00,2021,2,11,2021-02-01,영동 해안형,6,F_008913;F_009129;F_009130;F_009132;F_009135;F_009278,YD_0012|2021|2|11,16,16,5,4,6.0,19,96.0,144.0,456.0,True,full_5
FE_00203,YD_0012,2021-02-01 16:00:00,2021,2,16,2021-02-01,영동 해안형,1,F_009076,YD_0012|2021|2|16,16,16,5,4,18.0,26,96.0,432.0,624.0,True,full_5
FE_00204,YD_0012,2021-02-03 10:00:00,2021,2,10,2021-02-03,영동 해안형,1,F_009598,YD_0012|2021|2|10,14,14,5,3,19.0,23,72.0,456.0,552.0,True,full_5
FE_00205,YD_0012,2021-02-12 10:00:00,2021,2,10,2021-02-12,영동 해안형,1,F_010114,YD_0012|2021|2|10,14,14,5,3,11.0,15,72.0,264.0,360.0,True,full_5
FE_00206,YD_0012,2021-02-17 09:00:00,2021,2,9,2021-02-17,영동 해안형,1,F_010174,YD_0012|2021|2|9,14,14,5,3,8.0,11,72.0,192.0,264.0,True,full_5
FE_00207,YD_0012,2021-03-21 18:00:00,2021,3,18,2021-03-21,영동 해안형,1,F_010365,YD_0012|2021|3|18,18,18,5,4,11.0,13,96.0,264.0,312.0,True,full_5
FE_00208,YD_0012,2021-03-25 15:00:00,2021,3,15,2021-03-25,영동 해안형,1,F_010378,YD_0012|2021|3|15,19,19,5,9,17.0,23,216.0,408.0,552.0,True,full_5
FE_00209,YD_0012,2021-03-26 20:00:00,2021,3,20,2021-03-26,영동 해안형,1,F_011188,YD_0012|2021|3|20,18,18,5,8,11.0,25,192.0,264.0,600.0,True,full_5
FE_00210,YD_0012,2021-03-26 21:00:00,2021,3,21,2021-03-26,영동 해안형,1,F_010384,YD_0012|2021|3|21,18,18,5,8,17.0,21,192.0,408.0,504.0,True,full_5
FE_00211,YD_0012,2021-03-30 14:00:00,2021,3,14,2021-03-30,영동 해안형,1,F_010398,YD_0012|2021|3|14,19,19,5,14,23.0,27,336.0,552.0,648.0,True,full_5
FE_00212,YD_0012,2021-04-02 09:00:00,2021,4,9,2021-04-02,영동 해안형,1,F_010440,YD_0012|2021|4|9,11,11,5,6,20.0,22,144.0,480.0,528.0,True,full_5
FE_00213,YD_0012,2021-04-03 09:00:00,2021,4,9,2021-04-03,영동 해안형,1,F_010444,YD_0012|2021|4|9,11,11,5,3,20.0,22,72.0,480.0,528.0,True,full_5
FE_00214,YD_0012,2021-04-11 17:00:00,2021,4,17,2021-04-11,영동 해안형,1,F_010481,YD_0012|2021|4|17,12,12,5,5,13.0,15,120.0,312.0,360.0,True,full_5
FE_00215,YD_0012,2021-04-12 09:00:00,2021,4,9,2021-04-12,영동 해안형,1,F_011205,YD_0012|2021|4|9,11,11,5,3,10.0,13,72.0,240.0,312.0,True,full_5
FE_00216,YD_0012,2021-04-17 09:00:00,2021,4,9,2021-04-17,영동 해안형,1,F_010504,YD_0012|2021|4|9,11,11,5,5,8.0,10,120.0,192.0,240.0,True,full_5
FE_00217,YD_0012,2021-04-18 17:00:00,2021,4,17,2021-04-18,영동 해안형,1,F_010520,YD_0012|2021|4|17,12,12,5,3,8.0,12,72.0,192.0,288.0,True,full_5
FE_00218,YD_0012,2021-04-29 21:00:00,2021,4,21,2021-04-29,영동 해안형,1,F_011243,YD_0012|2021|4|21,12,12,5,3,7.0,21,72.0,168.0,504.0,True,full_5
FE_00219,YD_0012,2021-05-06 13:00:00,2021,5,13,2021-05-06,영동 해안형,1,F_010619,YD_0012|2021|5|13,20,20,5,5,14.0,23,120.0,336.0,552.0,True,full_5
FE_00220,YD_0012,2021-05-08 07:00:00,2021,5,7,2021-05-08,영동 해안형,1,F_010634,YD_0012|2021|5|7,20,20,5,5,15.0,23,120.0,360.0,552.0,True,full_5
FE_00221,YD_0012,2021-05-15 14:00:00,2021,5,14,2021-05-15,영동 해안형,1,F_010686,YD_0012|2021|5|14,19,19,5,4,5.0,13,96.0,120.0,312.0,True,full_5
FE_00222,YD_0013,2020-05-08 01:00:00,2020,5,1,2020-05-08,영동 해안형,1,F_010935,YD_0013|2020|5|1,26,26,5,10,16.0,23,240.0,384.0,552.0,True,full_5
FE_00223,YD_0013,2020-11-01 16:00:00,2020,11,16,2020-11-01,영동 해안형,1,F_008594,YD_0013|2020|11|16,27,27,5,3,20.0,29,72.0,480.0,696.0,True,full_5
FE_00224,YD_0013,2020-12-21 11:00:00,2020,12,11,2020-12-21,영동 해안형,1,F_011088,YD_0013|2020|12|11,22,22,5,3,12.0,16,72.0,288.0,384.0,True,full_5
FE_00225,YD_0013,2020-12-26 16:00:00,2020,12,16,2020-12-26,영동 해안형,1,F_008719,YD_0013|2020|12|16,22,22,5,4,16.0,19,96.0,384.0,456.0,True,full_5
FE_00226,YD_0013,2021-03-22 17:00:00,2021,3,17,2021-03-22,영동 해안형,1,F_010368,YD_0013|2021|3|17,26,26,5,6,8.0,19,144.0,192.0,456.0,True,full_5
FE_00227,YD_0013,2021-04-13 15:00:00,2021,4,15,2021-04-13,영동 해안형,1,F_010483,YD_0013|2021|4|15,25,25,5,3,9.0,15,72.0,216.0,360.0,True,full_5
FE_00228,YD_0014,2020-02-08 18:00:00,2020,2,18,2020-02-08,영동 해안형,1,F_010734,YD_0014|2020|2|18,20,20,5,3,7.0,18,72.0,168.0,432.0,True,full_5
FE_00229,YD_0014,2020-02-19 11:00:00,2020,2,11,2020-02-19,영동 해안형,1,F_010749,YD_0014|2020|2|11,20,20,5,6,14.0,16,144.0,336.0,384.0,True,full_5
FE_00230,YD_0014,2020-06-08 17:00:00,2020,6,17,2020-06-08,영동 해안형,1,F_007812,YD_0014|2020|6|17,22,22,5,5,15.0,20,120.0,360.0,480.0,True,full_5
FE_00231,YD_0014,2020-06-12 14:00:00,2020,6,14,2020-06-12,영동 해안형,2,F_007813;F_010962,YD_0014|2020|6|14,22,22,5,4,9.0,16,96.0,216.0,384.0,True,full_5
FE_00232,YD_0014,2020-09-03 15:00:00,2020,9,15,2020-09-03,영동 해안형,1,F_007818,YD_0014|2020|9|15,25,25,5,13,21.0,26,312.0,504.0,624.0,True,full_5
FE_00233,YD_0014,2020-11-27 16:00:00,2020,11,16,2020-11-27,영동 해안형,1,F_008616,YD_0014|2020|11|16,25,25,5,5,13.0,25,120.0,312.0,600.0,True,full_5
FE_00234,YD_0014,2021-01-22 21:00:00,2021,1,21,2021-01-22,영동 해안형,1,F_011109,YD_0014|2021|1|21,21,21,5,3,10.0,19,72.0,240.0,456.0,True,full_5
FE_00235,YD_0014,2021-01-29 13:00:00,2021,1,13,2021-01-29,영동 해안형,1,F_008837,YD_0014|2021|1|13,22,22,5,16,19.0,28,384.0,456.0,672.0,True,full_5
FE_00236,YD_0014,2021-01-29 19:00:00,2021,1,19,2021-01-29,영동 해안형,1,F_008840,YD_0014|2021|1|19,22,22,5,4,15.0,27,96.0,360.0,648.0,True,full_5
FE_00237,YD_0014,2021-01-30 11:00:00,2021,1,11,2021-01-30,영동 해안형,1,F_008858,YD_0014|2021|1|11,23,23,5,4,20.0,26,96.0,480.0,624.0,True,full_5
FE_00238,YD_0014,2021-02-03 10:00:00,2021,2,10,2021-02-03,영동 해안형,7,F_009605;F_009618;F_009648;F_009729;F_009788;F_009893;F_009908,YD_0014|2021|2|10,18,18,5,5,10.0,25,120.0,240.0,600.0,True,full_5
FE_00239,YD_0014,2021-02-03 11:00:00,2021,2,11,2021-02-03,영동 해안형,3,F_009560;F_009797;F_009844,YD_0014|2021|2|11,18,18,5,7,11.0,21,168.0,264.0,504.0,True,full_5
FE_00240,YD_0014,2021-02-03 12:00:00,2021,2,12,2021-02-03,영동 해안형,1,F_009672,YD_0014|2021|2|12,19,19,5,4,7.0,16,96.0,168.0,384.0,True,full_5
FE_00241,YD_0014,2021-02-04 11:00:00,2021,2,11,2021-02-04,영동 해안형,1,F_009923,YD_0014|2021|2|11,18,18,5,3,15.0,21,72.0,360.0,504.0,True,full_5
FE_00242,YD_0014,2021-02-16 14:00:00,2021,2,14,2021-02-16,영동 해안형,2,F_010172;F_011122,YD_0014|2021|2|14,18,18,5,3,7.0,10,72.0,168.0,240.0,True,full_5
FE_00243,YD_0014,2021-02-16 15:00:00,2021,2,15,2021-02-16,영동 해안형,2,F_010166;F_010171,YD_0014|2021|2|15,18,18,5,3,7.0,9,72.0,168.0,216.0,True,full_5
FE_00244,YD_0014,2021-03-16 08:00:00,2021,3,8,2021-03-16,영동 해안형,1,F_010353,YD_0014|2021|3|8,24,24,5,7,9.0,14,168.0,216.0,336.0,True,full_5
FE_00245,YD_0014,2021-03-18 15:00:00,2021,3,15,2021-03-18,영동 해안형,1,F_010355,YD_0014|2021|3|15,24,24,5,7,12.0,17,168.0,288.0,408.0,True,full_5
FE_00246,YD_0014,2021-03-18 18:00:00,2021,3,18,2021-03-18,영동 해안형,1,F_010357,YD_0014|2021|3|18,24,24,5,5,9.0,14,120.0,216.0,336.0,True,full_5
FE_00247,YD_0014,2021-04-14 12:00:00,2021,4,12,2021-04-14,영동 해안형,1,F_010485,YD_0014|2021|4|12,21,21,5,3,6.0,14,72.0,144.0,336.0,True,full_5
FE_00248,YD_0014,2021-04-24 11:00:00,2021,4,11,2021-04-24,영동 해안형,1,F_010568,YD_0014|2021|4|11,21,21,5,3,16.0,22,72.0,384.0,528.0,True,full_5
FE_00249,YD_0015,2020-02-20 13:00:00,2020,2,13,2020-02-20,영동 해안형,1,F_007658,YD_0015|2020|2|13,24,24,5,5,9.0,15,120.0,216.0,360.0,True,full_5
FE_00250,YD_0015,2020-03-08 18:00:00,2020,3,18,2020-03-08,영동 해안형,1,F_010771,YD_0015|2020|3|18,26,26,5,5,7.0,19,120.0,168.0,456.0,True,full_5
FE_00251,YD_0015,2020-04-07 17:00:00,2020,4,17,2020-04-07,영동 해안형,1,F_007727,YD_0015|2020|4|17,25,25,5,6,18.0,23,144.0,432.0,552.0,True,full_5
FE_00252,YD_0015,2020-12-10 10:00:00,2020,12,10,2020-12-10,영동 해안형,1,F_008631,YD_0015|2020|12|10,26,26,5,6,8.0,16,144.0,192.0,384.0,True,full_5
FE_00253,YD_0015,2021-01-05 12:00:00,2021,1,12,2021-01-05,영동 해안형,1,F_008739,YD_0015|2021|1|12,21,21,5,4,17.0,24,96.0,408.0,576.0,True,full_5
FE_00254,YD_0015,2021-01-06 16:00:00,2021,1,16,2021-01-06,영동 해안형,1,F_011100,YD_0015|2021|1|16,21,21,5,7,9.0,18,168.0,216.0,432.0,True,full_5
FE_00255,YD_0015,2021-01-27 10:00:00,2021,1,10,2021-01-27,영동 해안형,1,F_008793,YD_0015|2021|1|10,21,21,5,3,10.0,26,72.0,240.0,624.0,True,full_5
FE_00256,YD_0015,2021-02-04 11:00:00,2021,2,11,2021-02-04,영동 해안형,1,F_009924,YD_0015|2021|2|11,23,23,5,7,11.0,22,168.0,264.0,528.0,True,full_5
FE_00257,YD_0015,2021-05-25 14:00:00,2021,5,14,2021-05-25,영동 해안형,1,F_010691,YD_0015|2021|5|14,26,26,5,8,15.0,22,192.0,360.0,528.0,True,full_5
FE_00258,YD_0016,2020-04-08 09:00:00,2020,4,9,2020-04-08,영동 해안형,1,F_007729,YD_0016|2020|4|9,21,21,5,4,7.0,19,96.0,168.0,456.0,True,full_5
FE_00259,YD_0016,2020-04-08 14:00:00,2020,4,14,2020-04-08,영동 해안형,4,F_007732;F_007735;F_007736;F_007737,YD_0016|2020|4|14,20,20,5,3,8.0,11,72.0,192.0,264.0,True,full_5
FE_00260,YD_0016,2020-04-08 15:00:00,2020,4,15,2020-04-08,영동 해안형,1,F_007740,YD_0016|2020|4|15,21,21,5,3,6.0,21,72.0,144.0,504.0,True,full_5
FE_00261,YD_0016,2020-04-22 13:00:00,2020,4,13,2020-04-22,영동 해안형,1,F_007770,YD_0016|2020|4|13,20,20,5,3,7.0,21,72.0,168.0,504.0,True,full_5
FE_00262,YD_0016,2020-04-22 14:00:00,2020,4,14,2020-04-22,영동 해안형,1,F_007769,YD_0016|2020|4|14,20,20,5,4,11.0,19,96.0,264.0,456.0,True,full_5
FE_00263,YD_0016,2021-01-28 13:00:00,2021,1,13,2021-01-28,영동 해안형,1,F_008810,YD_0016|2021|1|13,26,26,5,19,23.0,27,456.0,552.0,648.0,True,full_5
FE_00264,YD_0016,2021-02-02 14:00:00,2021,2,14,2021-02-02,영동 해안형,1,F_009305,YD_0016|2021|2|14,12,12,5,4,21.0,26,96.0,504.0,624.0,True,full_5
