climate_type,full_cell_hour_n,candidate_n,excluded_n,candidate_retention_pct,full_share_pct,candidate_share_pct,distribution
영동 해안형,368424,345248,23176,93.7094217531974,22.82608695652174,22.47649800786438,climate_type
영서 내륙형,771936,730145,41791,94.58620921941716,47.82608695652174,47.53424389989844,climate_type
고지·산간형,473688,460647,13041,97.2469220246238,29.347826086956523,29.98925809223718,climate_type
