fire_id,연도,월,일,시간,진화소요시간(HH),위도,경도,발생지역시도명,발생지역시군구명,발생지역읍면동명,발생지역리명,발생지역번지,발생원인명,피해면적(ha),피해금액
F_015270,2013,5,7,14,2.8333333333333335,34.75540803862158,127.61424787174134,전라남도,여수시,소라면,현천리,산150-22,입산자실화,,
F_015271,2013,5,24,13,2.1666666666666665,34.696069759186,127.33830976118027,전라남도,고흥군,과역면,도천,산146,입산자실화,,
F_015272,2013,8,18,16,2.0,34.58921900445667,126.39858392141531,전라남도,해남군,황산면,관춘리,산202-11,입산자실화,,
F_015273,2013,8,21,20,18.5,34.34647936841832,125.94935891309683,전라남도,진도,조도,눌옥리,산18-1,입산자실화,,
F_015274,2013,12,31,13,2.5,34.48548145135283,126.04800267813157,전라남도,진도군,조도면,가사도,산203,쓰레기소각,,
F_015275,2013,12,31,20,14.0,34.23135404115377,126.04019436380999,전라남도,진도군,조도면,관매도,산220,입산자실화,,
F_015276,2013,3,23,14,0.6833333333333333,35.21486737606695,127.4428515751375,전라남도,구례군,구례읍,봉선리,산58-13,,,
F_015277,2013,2,28,13,5.0,35.25950141258085,127.20513260151783,전라남도,곡성군,겸면,괴정리,산200-1,,,
F_015278,2013,3,4,14,1.0666666666666667,35.22356988847061,126.69626552669423,경상남도,사천시,축동,반용리,산47-7,,,
F_015279,2013,3,9,14,1.8333333333333335,35.14813483926644,126.44261668075866,전라남도,함평군,손불면,대전리,산54,,,
F_015280,2013,3,9,14,0.0,35.05342557538349,127.13815454619166,전라남도,화순군,동복면,구암리,산71,,,
F_015281,2013,3,10,15,0.5,34.90974225174323,127.20638928056093,전라남도,보성,문덕,귀산,산934-3,,,
F_015282,2013,3,16,15,0.55,34.95216039639754,126.98334881903804,전라남도,화순군,춘양면,우봉리,산90,,,
F_015283,2013,4,3,12,2.066666666666667,34.82113119047384,127.73899846297176,전라남도,여수시,상암동,,산353,,,
F_015284,2013,4,8,14,2.5,34.66792198325847,127.57461172799766,전라남도,여수시,화양면,이몽리,산301-1,,,
F_015285,2013,4,13,18,0.9333333333333333,35.19192325884211,127.21301199075576,전라남도,곡성군,삼기면,수산리,산547-3,,,
F_015286,2013,4,22,16,1.6333333333333333,34.61303637587705,126.36572570462886,전라남도,해남군,문내면,석교리,산164,,,
F_015287,2013,5,5,15,1.9166666666666665,34.86181181646429,127.43740017976033,전라남도,순천시,벌량면,원창리,,,,
F_015288,2013,6,4,16,1.0,34.49866334326408,127.49035457985963,전라남도,고흥군,동일면,봉영리,산71 외 1,,,
F_015289,2013,10,26,15,17.666666666666668,34.37598869425412,125.93641247206943,전라남도,진도군,조도면,외병도,"산 1,2",,,
F_015290,2013,3,30,18,2.5,34.96419964221858,126.86132650500568,전라남도,나주시,다도면,판촌리,산186,논밭두렁소각,,
F_015291,2013,3,31,15,0.6666666666666666,35.3358423291209,127.00902555707856,전라남도,담양군,담양읍,삼만리,산101-3,밭두렁소각,,
