iter	Logloss
0	0.6759104155
1	0.659089492
2	0.6430093219
3	0.6275496624
4	0.6128475806
5	0.5986643648
6	0.5850005526
7	0.5718474361
8	0.5593587455
9	0.5470757629
10	0.5351965638
11	0.5243353699
12	0.5138429132
13	0.503725429
14	0.4939007845
15	0.4844359008
16	0.4752652543
17	0.4664308253
18	0.4583502114
19	0.4501323423
20	0.4424484972
21	0.4350925111
22	0.4278206466
23	0.4207975991
24	0.4144570919
25	0.408382871
26	0.4021737868
27	0.3962826983
28	0.3906079069
29	0.3852098835
30	0.3801999481
31	0.3752830032
32	0.3702733902
33	0.3657037356
34	0.3617831876
35	0.3575472242
36	0.3534581106
37	0.3492896594
38	0.3453550822
39	0.3416099263
40	0.338089426
41	0.3346493921
42	0.3309154704
43	0.3276753125
44	0.3247272957
45	0.3218046497
46	0.3189707478
47	0.3162387594
48	0.313393946
49	0.3107200901
50	0.3082169768
51	0.3057766994
52	0.3032362286
53	0.3008360499
54	0.2990262003
55	0.2966508013
56	0.2944005633
57	0.292333162
58	0.2906376424
59	0.2887209611
60	0.2867337844
61	0.2846963228
62	0.2829646014
63	0.2812058698
64	0.2797847531
65	0.2781374758
66	0.2764969712
67	0.2751352234
68	0.2736422943
69	0.272415786
70	0.2710050972
71	0.2695600341
72	0.2682565801
73	0.266841188
74	0.2656455869
75	0.2644477821
76	0.2632714779
77	0.2621445179
78	0.2609037923
79	0.2597444468
80	0.2585311883
81	0.2573908172
82	0.2564505909
83	0.2554140952
84	0.2543891829
85	0.253455595
86	0.2525254203
87	0.2517082856
88	0.2508829538
89	0.2500661147
90	0.24923057
91	0.2485473848
92	0.2476974346
93	0.2469079283
94	0.2463088109
95	0.2457049633
96	0.2451508899
97	0.2443806805
98	0.2436759139
99	0.2429115635
100	0.2422878546
101	0.2417402582
102	0.2412187315
103	0.24066576
104	0.2401707866
105	0.2397234642
106	0.2391456594
107	0.2386532124
108	0.2382601255
109	0.2376611156
110	0.2370927442
111	0.236651442
112	0.2361107528
113	0.2357344902
114	0.2353332869
115	0.2348945917
116	0.2343632015
117	0.2340729418
118	0.2337232058
119	0.233314746
120	0.2329425148
121	0.2325446441
122	0.2321028581
123	0.2317446025
124	0.2311793486
125	0.2308503608
126	0.2304912989
127	0.2300826509
128	0.22966164
129	0.2293603881
130	0.2289527345
131	0.2286903452
132	0.2284360724
133	0.2280700227
134	0.2277185666
135	0.2273655248
136	0.2270522325
137	0.2267000777
138	0.2264536526
139	0.2262215793
140	0.225939678
141	0.2256438819
142	0.225335051
143	0.2250528541
144	0.2248607452
145	0.2245395246
146	0.2243423361
147	0.2240723274
148	0.2238170871
149	0.22357554
150	0.2232727427
151	0.2230265729
152	0.2227849452
153	0.222580245
154	0.2222936001
155	0.2221139213
156	0.2219025155
157	0.2216357454
158	0.2214079453
159	0.2211707118
160	0.2208811778
161	0.2206113304
162	0.2203668135
163	0.2201774594
164	0.2200025511
165	0.2197532771
166	0.2195543015
167	0.2193341879
168	0.2191479245
169	0.2187945602
170	0.2186510564
171	0.2184518657
172	0.2182618397
173	0.2180493454
174	0.2178531514
175	0.2176555867
176	0.2174727769
177	0.21730319
178	0.2170373874
179	0.2168897312
180	0.2167357323
181	0.2165363804
182	0.216351313
183	0.2161773588
184	0.2159229784
185	0.2157733872
186	0.2155041982
187	0.2153447435
188	0.2151699965
189	0.2149980445
190	0.2148330803
191	0.2146790276
192	0.2145137006
193	0.2143496636
194	0.2141826164
195	0.2140346243
196	0.2139105114
197	0.2137593883
198	0.2135936715
199	0.2133963218
200	0.213122994
201	0.212876112
202	0.2127594706
203	0.2125065282
204	0.2123558888
205	0.21221432
206	0.2120597567
207	0.2119128262
208	0.2117454835
209	0.2114989643
210	0.2112544877
211	0.2111314096
212	0.2109793861
213	0.2108080791
214	0.2107124681
215	0.210538608
216	0.2103699617
217	0.2101744665
218	0.2100524902
219	0.2099055597
220	0.2097981771
221	0.209604805
222	0.2094685577
223	0.2092342671
224	0.2090972403
225	0.2088925938
226	0.2087494528
227	0.2086505764
228	0.2085303605
229	0.2083913853
230	0.2082645982
231	0.2081206375
232	0.2080042918
233	0.2078599951
234	0.2077665879
235	0.2076690956
236	0.2074314858
237	0.2072671935
238	0.2070866143
239	0.2068835938
240	0.2067153239
241	0.2065090514
242	0.206353104
243	0.2062172867
244	0.2060524568
245	0.2058640568
246	0.2057133636
247	0.2055698732
248	0.2053486443
249	0.2052370556
250	0.2050922617
251	0.2048587639
252	0.2046975758
253	0.2045573508
