메타데이터,그룹,n,score_n,비중_pct,요인점수,평균,중앙값,표준편차,최소,최대,전체평균,평균차,평균차_sd,전체중앙값,중앙값차,중앙값차_sd,abs_평균차_sd,판정,토지피복해석판정,방향
L1_NAME,산림지역,437,437,16.367041198501873,강수부족_score,0.05158059339942321,0.14955705302249053,0.470934615755935,-5.485520075401467,0.3109119780583704,3.1934504977982034e-17,0.051580593399423176,0.05286307524412406,0.14032611471253795,0.009230938309952585,0.009460453133490858,0.05286307524412406,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,하위
L1_NAME,시가화건조지역,1129,1129,42.28464419475655,강수부족_score,-0.017035945955025646,0.12320101946408525,0.45745927256478686,-8.893417869190454,0.2849062032459639,3.1934504977982034e-17,-0.017035945955025677,-0.017459521760473277,0.14032611471253795,-0.017125095248452696,-0.017550887630770645,0.017459521760473277,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,하위
L1_NAME,습지,55,55,2.0599250936329585,강수부족_score,-0.05626354179614942,0.11851475504795002,0.6712242458594728,-4.400496929639689,0.2941778267136417,3.1934504977982034e-17,-0.05626354179614945,-0.05766245883289951,0.14032611471253795,-0.02181135966458793,-0.022353669687302555,0.05766245883289951,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,하위
L1_NAME,농업지역,250,250,9.363295880149813,강수부족_score,-0.09292037877371434,0.1318133840146988,0.5886772631158914,-4.347560262933454,0.32533779711391164,3.1934504977982034e-17,-0.09292037877371437,-0.09523071859197149,0.14032611471253795,-0.008512730697839144,-0.008724388258353533,0.09523071859197149,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,하위
L1_NAME,나지,183,183,6.853932584269663,강수부족_score,-0.24731735611306863,0.1304125104266812,3.354439049831676,-31.964313861167327,0.2872709336622462,3.1934504977982034e-17,-0.24731735611306865,-0.2534665684076674,0.14032611471253795,-0.009913604285856747,-0.01016009267759949,0.2534665684076674,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,하위
L1_NAME,미분류,46,46,1.7228464419475655,강수부족_score,0.12979886380584835,0.1445621354074254,0.168695628064245,-0.4612883775455388,0.33952848702009636,3.1934504977982034e-17,0.12979886380584832,0.133026137385366,0.14032611471253795,0.00423602069488746,0.004341343632778111,0.133026137385366,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,상위
L1_NAME,초지,568,568,21.273408239700377,강수부족_score,0.10954462406092011,0.1596589983326347,0.2136791881217481,-1.6756312988692401,0.3849985279608145,3.1934504977982034e-17,0.10954462406092008,0.11226830330312679,0.14032611471253795,0.019332883620096747,0.01981356968077255,0.11226830330312679,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,상위
L1_NAME,산림지역,437,437,16.367041198501873,강수부족_score,0.05158059339942321,0.14955705302249053,0.470934615755935,-5.485520075401467,0.3109119780583704,3.1934504977982034e-17,0.051580593399423176,0.05286307524412406,0.14032611471253795,0.009230938309952585,0.009460453133490858,0.05286307524412406,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,상위
L1_NAME,시가화건조지역,1129,1129,42.28464419475655,강수부족_score,-0.017035945955025646,0.12320101946408525,0.45745927256478686,-8.893417869190454,0.2849062032459639,3.1934504977982034e-17,-0.017035945955025677,-0.017459521760473277,0.14032611471253795,-0.017125095248452696,-0.017550887630770645,0.017459521760473277,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,상위
L1_NAME,습지,55,55,2.0599250936329585,강수부족_score,-0.05626354179614942,0.11851475504795002,0.6712242458594728,-4.400496929639689,0.2941778267136417,3.1934504977982034e-17,-0.05626354179614945,-0.05766245883289951,0.14032611471253795,-0.02181135966458793,-0.022353669687302555,0.05766245883289951,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,상위
