질문,메타데이터,그룹,요인점수,n,비중_pct,평균,중앙값,평균차_sd,중앙값차_sd,판정
시가화건조지역은 생활권접점 요인이 높은가?,L1_NAME,시가화건조지역,생활권접점_score,1129,42.28464419475655,0.782697363567062,0.8530355926836621,0.8239289825725494,0.6215009733892334,높음
산림지역은 산지접근성 요인이 높은가?,L1_NAME,산림지역,산지접근성_score,437,16.367041198501873,0.49744647395305536,0.572260725918437,0.6067471840339355,0.8636202171198671,높음
산림지역은 생활권접점 요인이 낮은가?,L1_NAME,산림지역,생활권접점_score,437,16.367041198501873,-1.3050782908610457,-1.3064313655164463,-1.3738283510578497,-1.6517242814654887,낮음
도로는 생활권접점 요인이 높은가?,L2_NAME,도로,생활권접점_score,847,31.722846441947567,0.87186174343574,0.8921759248030698,0.9177904419392995,0.6627031742932001,높음
침엽수림은 산지접근성 요인이 높은가?,L2_NAME,침엽수림,산지접근성_score,217,8.127340823970037,0.4304350920509349,0.5712921584310868,0.5250118227512837,0.8624388325362625,높음
활엽수림은 산지접근성 요인이 높은가?,L2_NAME,활엽수림,산지접근성_score,170,6.367041198501873,0.5217978256542418,0.4532072416683214,0.6364491014175315,0.7184078775003826,높음
상업지역은 생활권접점 요인이 높은가?,L2_NAME,상업지역,생활권접점_score,145,5.430711610486892,0.5459089372943126,0.5275874952076145,0.5746668076564005,0.2789086352579744,높음
밭은 생활권접점 요인이 낮은가?,L2_NAME,밭,생활권접점_score,203,7.602996254681647,-0.5460763264709226,-0.48529281476514774,-0.5748430147070408,-0.7873290730949585,낮음
