fire_id,발생일시,기상셀ID,기후권역,기후지형유형,addr_type,기후지형_번지유형,월_key,시간_key,산불위험계절,발생시간대구분,L1_NAME,L2_NAME,생활권프록시,원인프록시_500m,상대강수부족_score,상대강풍_score,단기상대건조_score
F_007637,2020-01-31 18:00:00,YD_0019,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,1,18,산불위험계절(11~5월),저녁(18~23시),시가화건조지역,주거지역,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.16786249178996615,1.4021308957417595,-2.03216839405921
F_007638,2020-01-31 12:00:00,YS_0024,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,12,산불위험계절(11~5월),한낮(10~13시),농업지역,밭,도로/시가화/농업 인접,입산활동 발화 후보,-0.11464208596194349,-0.2920195286489149,-2.6348890644863663
F_007639,2020-01-31 12:00:00,YS_0024,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,12,산불위험계절(11~5월),한낮(10~13시),농업지역,밭,도로/시가화/농업 인접,입산활동 발화 후보,-0.21594712392929666,-0.37221353123667006,-0.8296747093340837
F_007640,2020-01-31 12:00:00,YS_0024,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,12,산불위험계절(11~5월),한낮(10~13시),농업지역,밭,도로/시가화/농업 인접,입산활동 발화 후보,0.14212994279818997,0.0439017756426886,-0.3319889361010088
F_007641,2020-02-01 19:00:00,YD_0003,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,2,19,산불위험계절(11~5월),저녁(18~23시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.5607296293194578,0.37393992544884497,-0.16450570655811292
F_007642,2020-02-02 09:00:00,YS_0019,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,2,9,산불위험계절(11~5월),아침(6~9시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.06115423562896065,-1.67527016410078,-1.8178209467279058
F_007643,2020-02-02 19:00:00,YS_0061,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),2,19,산불위험계절(11~5월),저녁(18~23시),미분류,미분류,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.0829966382156983,-0.08706142655877451,-0.2716697636622575
F_007644,2020-02-02 16:00:00,YS_0062,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),2,16,산불위험계절(11~5월),오후(14~17시),미분류,미분류,비인접,기타 인간활동 발화 후보,0.09277596682228494,-0.43849435787587543,-0.68857862282926
F_007645,2020-02-03 09:00:00,YD_0005,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,2,9,산불위험계절(11~5월),아침(6~9시),미분류,미분류,도로/시가화/농업 인접,입산활동 발화 후보,-0.07547752704608822,-0.11761785728771307,-0.3776954808735346
F_007646,2020-02-03 10:00:00,YS_0066,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,2,10,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,입산활동 발화 후보,-0.22726177269816936,-0.06459597752002495,-1.0733882394209688
F_007647,2020-02-07 17:00:00,YD_0003,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,2,17,산불위험계절(11~5월),오후(14~17시),산림지역,활엽수림,도로/시가화/농업 인접,입산활동 발화 후보,-0.25841452380079966,-0.09491281212756773,-0.03509804605029001
F_007648,2020-02-08 08:00:00,YD_0007,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,2,8,산불위험계절(11~5월),아침(6~9시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.02270431833157196,0.1775000676757464,1.0682944964974928
F_007649,2020-02-08 12:00:00,YD_0001,영동,영동 해안형,임야번지(산),영동 해안형 / 임야번지(산),2,12,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.27812976961198044,0.2503744907526802,-0.1804204896512141
F_007650,2020-02-08 07:00:00,YS_0015,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,2,7,산불위험계절(11~5월),아침(6~9시),초지,인공초지,도로/시가화/농업 인접,입산활동 발화 후보,-0.1050002841910159,0.037161110676479675,0.26761967899204925
F_007651,2020-02-09 19:00:00,YS_0028,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),2,19,산불위험계절(11~5월),저녁(18~23시),산림지역,활엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.25246912456665777,-0.23960428015974428,-0.3362937038689638
F_007652,2020-02-09 19:00:00,YS_0028,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,2,19,산불위험계절(11~5월),저녁(18~23시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.18183904868230139,-0.11518182455942128,-0.1359905563290367
F_007653,2020-02-09 19:00:00,YS_0028,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,2,19,산불위험계절(11~5월),저녁(18~23시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.2786204628795019,-0.5811213384244646,0.5982254813032921
F_007654,2020-02-11 11:00:00,YS_0054,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,2,11,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.13632217509630326,0.036124528775382136,0.41116765004252376
F_007655,2020-02-11 11:00:00,YS_0070,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),2,11,산불위험계절(11~5월),한낮(10~13시),산림지역,활엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.2048788378328239,-1.0093985121786408,-0.7778299660981896
