메타데이터,요인점수,검정그룹수,검정표본수,Kruskal_H,p_value,epsilon_sq,최대평균,최소평균,평균범위,최대_abs_평균차_sd,p_fdr_bh,검정판정
기후지형유형,생활권접점_score,3,2670,159.0164833083769,2.9512729938259596e-35,0.05887382201288973,0.19660579160688327,-0.3651431772439982,0.5617489688508814,0.38437851016752317,5.774229770529051e-35,FDR 0.05 기준 유의
기후지형유형,선행건조_score,3,2670,100.77830325892744,1.30698167829292e-22,0.037037234067839306,0.1820923581491674,-0.21662242167567186,0.39871477982483927,0.2207964862808467,2.1783027971548665e-22,FDR 0.05 기준 유의
기후지형유형,강풍_score,3,2670,689.3360089193625,2.053939157147273e-150,0.2577187884961989,0.5779152050452392,-0.4086331789865179,0.986548384031757,0.6118491531799504,1.155340775895341e-149,FDR 0.05 기준 유의
기후지형유형,강수부족_score,3,2670,178.87458372313787,1.4383933552742344e-39,0.06631967893630966,0.045429202907979464,-0.05518628707825384,0.1006154899862333,0.05655841963024392,3.2363850493670274e-39,FDR 0.05 기준 유의
기후지형유형,산지접근성_score,3,2670,906.3186165692042,1.5682416682708464e-197,0.3390770965763795,0.7657895972225143,-0.46088730842335857,1.2266769056458728,0.9340516136035388,1.764271876804702e-196,FDR 0.05 기준 유의
기후권역,생활권접점_score,2,2670,65.40719114897844,6.091620577486956e-16,0.024140626367683073,0.19660579160688327,-0.11272683278343985,0.3093326243903231,0.2069627641369341,9.137430866230434e-16,FDR 0.05 기준 유의
기후권역,선행건조_score,2,2670,87.17031767603332,9.956691100878986e-21,0.03229772026837831,0.1820923581491674,-0.10440534147268118,0.28649769962184857,0.18560106819471037,1.6001824983555512e-20,FDR 0.05 기준 유의
기후권역,강풍_score,2,2670,680.0776256544259,6.427535876697755e-150,0.2545268461973111,0.5779152050452392,-0.33135621361757084,0.90927141866281,0.6118491531799504,3.2137679383488776e-149,FDR 0.05 기준 유의
기후권역,강수부족_score,2,2670,178.6028926489082,9.782997989974457e-41,0.06656780084291912,0.045429202907979464,-0.026047504083361196,0.07147670699134066,0.04655873872967022,2.3170258397307926e-40,FDR 0.05 기준 유의
기후권역,산지접근성_score,2,2670,583.8678200423092,5.404505013147375e-129,0.21846619941615786,0.26425654160042883,-0.46088730842335857,0.7251438500237875,0.5621551085097104,2.2109338690148352e-128,FDR 0.05 기준 유의
addr_type,생활권접점_score,2,2670,739.4144056937748,8.03734507959632e-163,0.2767670186258526,0.3170786020138521,-0.8940800065369134,1.2111586085507655,0.9411791382140002,6.02800880969724e-162,FDR 0.05 기준 유의
addr_type,선행건조_score,2,2670,11.666495703335407,0.0006363576169252269,0.0039979369202906324,0.03861191335378543,-0.013693418282240574,0.052305331636026006,0.03935592045896601,0.0007535813884640844,FDR 0.05 기준 유의
addr_type,강풍_score,2,2670,0.4084742248099547,0.5227449461586522,0.0,0.006209189520743313,-0.017508315515572286,0.0237175050363156,0.01853636645703365,0.5301056551219456,유의하지 않음
addr_type,강수부족_score,2,2670,130.71752026622417,2.8547177021517536e-30,0.0486197602197242,0.08295850487985663,-0.029420596098944554,0.11237910097880119,0.0850211561477099,5.138491863873156e-30,FDR 0.05 기준 유의
addr_type,산지접근성_score,2,2670,215.5660850318896,8.386435559123347e-49,0.08042207085153283,0.3834978878809675,-0.13600457819827316,0.5195024660792407,0.46776140899271473,2.2199388244738275e-48,FDR 0.05 기준 유의
기후지형_번지유형,생활권접점_score,6,2670,841.3690422915901,1.2968210431071325e-179,0.31395234320254883,0.44127963721969377,-1.0614981305732745,1.5027777677929683,1.117416661198406,1.1671389387964192e-178,FDR 0.05 기준 유의
기후지형_번지유형,선행건조_score,6,2670,244.03477688137087,1.0467568019422489e-50,0.08972776909961369,0.6860020398751832,-0.6444323566321062,1.3304343965072893,0.6992205091895364,2.944003505462575e-50,FDR 0.05 기준 유의
기후지형_번지유형,강풍_score,6,2670,734.2820635535033,1.8969774035806877e-156,0.2737545283609247,0.8129688377057639,-0.4638265463776081,1.2767953840833721,0.8607046337758539,1.2194854737304423e-155,FDR 0.05 기준 유의
기후지형_번지유형,강수부족_score,6,2670,342.952898006914,5.756896069985363e-72,0.12685919594854128,0.15217776251059756,-0.09505360913894913,0.24723137164954667,0.1559614572051457,1.992771716533395e-71,FDR 0.05 기준 유의
기후지형_번지유형,산지접근성_score,6,2670,1091.5287238333965,9.133008127072937e-234,0.40785612756508877,0.8779979111150219,-0.532718517215929,1.410716428330951,1.0709147376668122,1.3699512190609404e-232,FDR 0.05 기준 유의
발생시간대구분,생활권접점_score,5,2670,46.09282576276302,2.3557020382340124e-09,0.015794681336871678,0.15204411982652788,-0.35607460440781075,0.5081187242343386,0.3748322150883463,3.212320961228199e-09,FDR 0.05 기준 유의
