메타데이터,그룹,n,score_n,비중_pct,요인점수,평균,중앙값,표준편차,최소,최대,전체평균,평균차,평균차_sd,전체중앙값,중앙값차,중앙값차_sd,abs_평균차_sd,판정
L1_NAME,미분류,46,46,1.7228464419475655,강수부족_score,0.12979886380584835,0.1445621354074254,0.168695628064245,-0.4612883775455388,0.33952848702009636,3.1934504977982034e-17,0.12979886380584832,0.133026137385366,0.14032611471253795,0.00423602069488746,0.004341343632778111,0.133026137385366,전체 평균과 큰 차이 작음
L1_NAME,초지,568,568,21.273408239700377,강수부족_score,0.10954462406092011,0.1596589983326347,0.2136791881217481,-1.6756312988692401,0.3849985279608145,3.1934504977982034e-17,0.10954462406092008,0.11226830330312679,0.14032611471253795,0.019332883620096747,0.01981356968077255,0.11226830330312679,전체 평균과 큰 차이 작음
L1_NAME,산림지역,437,437,16.367041198501873,강수부족_score,0.05158059339942321,0.14955705302249053,0.470934615755935,-5.485520075401467,0.3109119780583704,3.1934504977982034e-17,0.051580593399423176,0.05286307524412406,0.14032611471253795,0.009230938309952585,0.009460453133490858,0.05286307524412406,전체 평균과 큰 차이 작음
L1_NAME,미분류,46,46,1.7228464419475655,강풍_score,0.460388441842344,0.6489432749851318,1.075265436538439,-1.1538744890231976,2.2582742929000927,1.0644834992660677e-17,0.460388441842344,0.4874214691288914,-0.09702517976127435,0.7459684547464062,0.7897701312423786,0.4874214691288914,높음
L1_NAME,습지,55,55,2.0599250936329585,강풍_score,0.20150706387134779,0.10269315563490285,0.8469774307668252,-1.3771817320520299,1.7812695160345622,1.0644834992660677e-17,0.20150706387134779,0.21333912884297795,-0.09702517976127435,0.1997183353961772,0.21144537004714162,0.21333912884297795,전체 평균과 큰 차이 작음
L1_NAME,농업지역,250,250,9.363295880149813,강풍_score,0.027675628977314477,0.011635679405741544,0.9019595675405593,-1.2387031783359315,4.442304074574097,1.0644834992660677e-17,0.027675628977314466,0.029300682878151324,-0.09702517976127435,0.1086608591670159,0.11504119304135656,0.029300682878151324,전체 평균과 큰 차이 작음
L1_NAME,산림지역,437,437,16.367041198501873,산지접근성_score,0.49744647395305536,0.572260725918437,0.8653466807160854,-1.0650622784353425,3.431029342885773,-3.1934504977982034e-17,0.4974464739530554,0.6067471840339355,-0.13578513427763134,0.7080458601960684,0.8636202171198671,0.6067471840339355,높음
L1_NAME,나지,183,183,6.853932584269663,산지접근성_score,0.13739686488125089,0.11772918175533871,0.8659295259856545,-1.3597293879005794,3.2921957243618585,-3.1934504977982034e-17,0.1373968648812509,0.16758619314217388,-0.13578513427763134,0.25351431603297003,0.3092173840191092,0.16758619314217388,전체 평균과 큰 차이 작음
L1_NAME,농업지역,250,250,9.363295880149813,산지접근성_score,0.11795580215344344,0.21929176051175656,0.7025656279752538,-1.2752946088541508,1.6863382123554984,-3.1934504977982034e-17,0.11795580215344346,0.14387347090497202,-0.13578513427763134,0.35507689478938786,0.4330956541252045,0.14387347090497202,전체 평균과 큰 차이 작음
L1_NAME,시가화건조지역,1129,1129,42.28464419475655,생활권접점_score,0.782697363567062,0.8530355926836621,0.25427807806073033,-0.2534503407187855,1.4940231235037063,0.0,0.782697363567062,0.8239289825725494,0.2626361970861386,0.5903993955975235,0.6215009733892334,0.8239289825725494,높음
