메타데이터,그룹,요인점수,n,평균,중앙값,표준편차,p25,p75,평균차_sd,중앙값차_sd
addr_type,일반번지,단기상대건조_score,2611,0.002645016816087754,0.030495689908034265,0.9664938974846703,-0.5620062971557231,0.6139496005193097,0.002695460230986974,0.013574088785284688
addr_type,임야번지(산),단기상대건조_score,784,-0.008808923929463516,-0.033030535297600985,1.0302288964408692,-0.6426374813695286,0.6504613700628363,-0.008976845233554761,-0.05116323805110951
addr_type,일반번지,상대강수부족_score,2611,-0.016775674524206242,-0.148209835085396,1.0257331191709196,-0.277340663654429,0.12741688562397555,-0.017603413029390065,-0.0038561628317349285
addr_type,임야번지(산),상대강수부족_score,784,0.05586899950815359,-0.12755234641039284,0.6531136314057141,-0.25452667415414665,0.1871885751245465,0.058625652321093645,0.017820595652751316
addr_type,일반번지,상대강풍_score,2611,-0.00204779936413223,-0.09632931607900941,0.9350954748117385,-0.6147983470815328,0.4886076408168424,-0.002211076777698027,0.008205421857210758
addr_type,임야번지(산),상대강풍_score,784,0.006819898094726119,-0.12600243652868703,0.8968942745165942,-0.6135627641456862,0.5889466914379644,0.007363675340012296,-0.02383364738063419
기후지형_번지유형,고지·산간형 / 일반번지,단기상대건조_score,412,0.10427853961371604,0.132959176757327,0.8471392994422923,-0.3841109553241386,0.7098568981075715,0.10626658477972742,0.11799100031257038
기후지형_번지유형,고지·산간형 / 임야번지(산),단기상대건조_score,209,-0.25040601133740137,-0.17086277809579825,0.9651232231645692,-0.867153096082472,0.49538281701089687,-0.25517988279198905,-0.191623196465711
기후지형_번지유형,영동 해안형 / 일반번지,단기상대건조_score,972,-0.04070877904462869,-0.0340999568949259,1.0310780615622963,-0.5854046314090527,0.6045039283721174,-0.04148485810444825,-0.05225304773597302
기후지형_번지유형,영동 해안형 / 임야번지(산),단기상대건조_score,246,0.4804780817963483,0.5338880480628541,1.1314396505885254,-0.2598824166045024,1.3149225317827944,0.48963821813499464,0.5265634173865527
기후지형_번지유형,영서 내륙형 / 일반번지,단기상대건조_score,1227,0.002862521448519287,0.033557466983759984,0.9492428840255112,-0.5768770798507121,0.5944399504640596,0.0029171115007196025,0.0166942373949309
기후지형_번지유형,영서 내륙형 / 임야번지(산),단기상대건조_score,329,-0.22118221310967848,-0.2863535978159312,0.8513634164477337,-0.68857862282926,0.3044196594781262,-0.22539894474404232,-0.30931580166338457
기후지형_번지유형,고지·산간형 / 일반번지,상대강수부족_score,412,-0.10758000211367014,-0.1683267915478477,0.4989325061619062,-0.2944475443166179,0.060542371410895,-0.11288815501667707,-0.024965718477148974
기후지형_번지유형,고지·산간형 / 임야번지(산),상대강수부족_score,209,-0.008991882915561392,-0.08177251397431254,0.5216760910402464,-0.1974048776096476,0.14641137623010356,-0.009435558095584119,0.06585926999451566
기후지형_번지유형,영동 해안형 / 일반번지,상대강수부족_score,972,0.054594413632347696,-0.10710411303946557,1.0512963795024537,-0.2439796163597597,0.28031167697548515,0.05728817656921222,0.03927777387947178
기후지형_번지유형,영동 해안형 / 임야번지(산),상대강수부족_score,246,-0.03435338021040438,-0.19992174932102302,0.47120342723510455,-0.29486122095820166,0.05912490492984986,-0.0360484276614041,-0.0581196163081765
기후지형_번지유형,영서 내륙형 / 일반번지,상대강수부족_score,1227,-0.04282322360432956,-0.17136549240664298,1.1285232048798834,-0.2977521245372937,0.05354566598451285,-0.04493618514925901,-0.02815435314901072
기후지형_번지유형,영서 내륙형 / 임야번지(산),상대강수부족_score,329,0.16453352788907064,-0.08776229116343066,0.8119225193822831,-0.24086855642995747,0.3351413305064888,0.17265184275507578,0.059573948697861076
기후지형_번지유형,고지·산간형 / 일반번지,상대강풍_score,412,0.010971630354851965,-0.22168953059856858,1.1269401540922939,-0.7434079765434537,0.7495127681800369,0.011846440729137781,-0.12715023106357556
기후지형_번지유형,고지·산간형 / 임야번지(산),상대강풍_score,209,-0.20551014475099846,-0.5013346274405296,0.8667029593974184,-0.7120954205686572,0.15207600177216085,-0.22189623534399067,-0.42909247656950056
기후지형_번지유형,영동 해안형 / 일반번지,상대강풍_score,972,0.09122704019987604,0.1093917221136065,0.9154587461043256,-0.3642335696193544,0.5395201683696949,0.09850091433251253,0.23032936724786726
기후지형_번지유형,영동 해안형 / 임야번지(산),상대강풍_score,246,0.28164090275134185,0.4192830212592539,0.9144298142167426,-0.24065284919512964,0.8004257047916123,0.3040971857620036,0.5649294578035939
기후지형_번지유형,영서 내륙형 / 일반번지,상대강풍_score,1227,-0.08030953457231278,-0.23901104933583925,0.871154173028145,-0.6918318026039671,0.31465692981312443,-0.08671291261465079,-0.14585285922394056
기후지형_번지유형,영서 내륙형 / 임야번지(산),상대강풍_score,329,-0.06378492923284543,-0.21802692953955052,0.85381032733113,-0.594267113868211,0.34838240214586874,-0.06887073873552953,-0.12319559713420875
