메타데이터,그룹,n,score_n,비중_pct,요인점수,평균,중앙값,표준편차,최소,최대,전체평균,평균차,평균차_sd,전체중앙값,중앙값차,중앙값차_sd,abs_평균차_sd,판정,토지피복해석판정,방향
L1_NAME,나지,183,183,6.853932584269663,생활권접점_score,-0.28833020006147425,-0.35465250338952475,0.5838742748704977,-2.2316158785624225,1.1193875097570491,0.0,-0.28833020006147425,-0.30351911152341005,0.2626361970861386,-0.6172887004756633,-0.649806776681275,0.30351911152341005,낮음,낮음,낮음
L1_NAME,나지,183,183,6.853932584269663,강수부족_score,-0.24731735611306863,0.1304125104266812,3.354439049831676,-31.964313861167327,0.2872709336622462,3.1934504977982034e-17,-0.24731735611306865,-0.2534665684076674,0.14032611471253795,-0.009913604285856747,-0.01016009267759949,0.2534665684076674,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음
L1_NAME,농업지역,250,250,9.363295880149813,생활권접점_score,-0.4621055840586863,-0.3480737700126796,0.5493776173516522,-1.8892298263154605,0.756720867549159,0.0,-0.4621055840586863,-0.48644878779120215,0.2626361970861386,-0.6107099670988182,-0.6428814830108106,0.48644878779120215,낮음,낮음,낮음
L1_NAME,농업지역,250,250,9.363295880149813,산지접근성_score,0.11795580215344344,0.21929176051175656,0.7025656279752538,-1.2752946088541508,1.6863382123554984,-3.1934504977982034e-17,0.11795580215344346,0.14387347090497202,-0.13578513427763134,0.35507689478938786,0.4330956541252045,0.14387347090497202,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,높음
L1_NAME,미분류,46,46,1.7228464419475655,산지접근성_score,-0.5353776335852833,-0.5946605831972414,0.767401294816183,-1.544114268105195,1.5763700481379415,-3.1934504977982034e-17,-0.5353776335852833,-0.6530127130889628,-0.13578513427763134,-0.45887544891961,-0.5597011960739243,0.6530127130889628,낮음,낮음,낮음
L1_NAME,미분류,46,46,1.7228464419475655,강풍_score,0.460388441842344,0.6489432749851318,1.075265436538439,-1.1538744890231976,2.2582742929000927,1.0644834992660677e-17,0.460388441842344,0.4874214691288914,-0.09702517976127435,0.7459684547464062,0.7897701312423786,0.4874214691288914,높음,높음,높음
L1_NAME,산림지역,437,437,16.367041198501873,생활권접점_score,-1.3050782908610457,-1.3064313655164463,0.8493828770749708,-3.4153378903179794,0.7536360829879521,0.0,-1.3050782908610457,-1.3738283510578497,0.2626361970861386,-1.569067562602585,-1.6517242814654887,1.3738283510578497,낮음,낮음,낮음
L1_NAME,산림지역,437,437,16.367041198501873,산지접근성_score,0.49744647395305536,0.572260725918437,0.8653466807160854,-1.0650622784353425,3.431029342885773,-3.1934504977982034e-17,0.4974464739530554,0.6067471840339355,-0.13578513427763134,0.7080458601960684,0.8636202171198671,0.6067471840339355,높음,높음,높음
L1_NAME,습지,55,55,2.0599250936329585,강풍_score,0.20150706387134779,0.10269315563490285,0.8469774307668252,-1.3771817320520299,1.7812695160345622,1.0644834992660677e-17,0.20150706387134779,0.21333912884297795,-0.09702517976127435,0.1997183353961772,0.21144537004714162,0.21333912884297795,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,높음
L1_NAME,습지,55,55,2.0599250936329585,산지접근성_score,-0.1651241845202627,-0.2812026043693225,0.7129600086507667,-1.2539089942742867,2.094175819339526,-3.1934504977982034e-17,-0.16512418452026267,-0.20140585815675968,-0.13578513427763134,-0.14541747009169115,-0.1773691142814275,0.20140585815675968,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음
L1_NAME,시가화건조지역,1129,1129,42.28464419475655,생활권접점_score,0.782697363567062,0.8530355926836621,0.25427807806073033,-0.2534503407187855,1.4940231235037063,0.0,0.782697363567062,0.8239289825725494,0.2626361970861386,0.5903993955975235,0.6215009733892334,0.8239289825725494,높음,높음,높음
L1_NAME,시가화건조지역,1129,1129,42.28464419475655,산지접근성_score,-0.16427590676563872,-0.355102079444217,0.775215999929694,-1.3326437612451725,4.497850542395713,-3.1934504977982034e-17,-0.1642759067656387,-0.20037119379416676,-0.13578513427763134,-0.21931694516658568,-0.2675060450892026,0.20037119379416676,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음
L1_NAME,초지,568,568,21.273408239700377,생활권접점_score,-0.2418201967684062,-0.3092577505844127,0.6904148789878836,-2.7784640182708205,1.1644329703988077,0.0,-0.2418201967684062,-0.2545590134363796,0.2626361970861386,-0.5718939476705514,-0.6020206792267079,0.2545590134363796,전체 평균과 큰 차이 작음,전체 평균과 큰 차이 작음,낮음
