source_index,fire_id,발생일시,기상셀ID,기후권역,기후지형유형,addr_type,기후지형_번지유형,월_key,시간_key,산불위험계절,발생시간대구분,L1_NAME,L2_NAME,생활권프록시,원인프록시_500m,생활권접점_score,선행건조_score,강풍_score,강수부족_score,산지접근성_score
0,F_003556,2020-04-30 18:00:00,YS_0064,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),4,18,산불위험계절(11~5월),저녁(18~23시),산림지역,활엽수림,비인접,기타 인간활동 발화 후보,-2.7681489573657827,0.5076296674241614,0.5202732918073384,0.17860627888697955,0.7105857886841205
1,F_006688,2020-04-30 18:00:00,YS_0064,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),4,18,산불위험계절(11~5월),저녁(18~23시),산림지역,활엽수림,비인접,기타 인간활동 발화 후보,-2.7681489305475075,0.5076296691593841,0.5202732954236268,0.1786062768982524,0.710585829987229
5,F_007618,2020-01-04 13:00:00,YS_0037,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,13,산불위험계절(11~5월),한낮(10~13시),산림지역,침엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-2.0611953510156225,0.3500588774152888,-0.8709642653259707,0.11955614074569525,1.3377736710801347
6,F_007619,2020-01-04 13:00:00,YS_0037,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,13,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.05502618926503566,0.2082237932902493,-0.854799391212226,0.14713071078642673,0.5070552927500248
7,F_007620,2020-01-04 15:00:00,YS_0037,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,15,산불위험계절(11~5월),오후(14~17시),나지,인공나지,도로/시가화/농업 인접,입산활동 발화 후보,-2.0139448117922996,0.18293964196145876,-0.8621530646024559,0.2152726888752658,0.8165495006426458
8,F_007621,2020-01-04 14:00:00,YS_0019,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,1,14,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.3705814790929827,-0.29863664949949564,-0.05968762288424655,0.1896549199508198,-0.5475623288581777
10,F_007623,2020-01-06 12:00:00,YS_0037,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,12,산불위험계절(11~5월),한낮(10~13시),산림지역,혼효림,비인접,입산활동 발화 후보,-2.5091469236078763,-0.05352967622570166,-1.4734646530119317,0.17856187864079615,0.8324294610575407
11,F_007624,2020-01-15 13:00:00,YD_0020,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,1,13,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,1.1317823114075671,0.2779915277321544,0.7275813947976257,0.10449993986050524,-0.2686708790651192
12,F_007625,2020-01-20 17:00:00,YS_0008,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,17,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,입산활동 발화 후보,-0.06700271180565001,-0.5893219470412404,-0.013386341943947284,0.1438426804320618,1.6102509311069229
13,F_007626,2020-01-21 14:00:00,YS_0030,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,14,산불위험계절(11~5월),오후(14~17시),미분류,미분류,도로/시가화/농업 인접,입산활동 발화 후보,-1.364348021829546,0.10278007912943843,-0.3969529751162104,0.24482681891065428,-0.4562032078698067
14,F_007627,2020-01-21 15:00:00,YS_0030,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,15,산불위험계절(11~5월),오후(14~17시),미분류,미분류,도로/시가화/농업 인접,입산활동 발화 후보,-1.3760020477304116,-0.1397334144840621,-0.6764676026420288,0.26507283077509913,-0.546777046131184
15,F_007628,2020-01-23 14:00:00,YS_0064,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,14,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.7705462427309078,-0.7636739560599317,-0.5386763178669179,0.3849985279608145,-1.2110971362911664
16,F_007629,2020-01-23 15:00:00,YS_0064,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,15,산불위험계절(11~5월),오후(14~17시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.29555439442042486,-0.48025759340542395,-0.37299033512490765,0.32533779711391164,-1.0211836339623004
17,F_007630,2020-01-23 12:00:00,YS_0023,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,12,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.671665511170868,-1.1741539843984647,-1.2812760235818428,0.1525887334554374,0.26345988501515655
20,F_007633,2020-01-29 12:00:00,YS_0014,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,12,산불위험계절(11~5월),한낮(10~13시),산림지역,활엽수림,도로/시가화/농업 인접,입산활동 발화 후보,-0.7873637965467228,-0.7628593606537508,-0.8082436396286549,0.1665169488802096,0.8807656101485262
23,F_007636,2020-01-31 14:00:00,YD_0003,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,1,14,산불위험계절(11~5월),오후(14~17시),시가화건조지역,주거지역,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.6801230768949807,-1.574723775758755,0.06643018834180112,-2.075528898043222,-1.151817093707002
