source_index,fire_id,발생일시,기상셀ID,기후권역,기후지형유형,addr_type,기후지형_번지유형,월_key,시간_key,산불위험계절,발생시간대구분,L1_NAME,L2_NAME,생활권프록시,원인프록시_500m,생활권접점_score,선행건조_score,강풍_score,강수부족_score,산지접근성_score
24,F_007637,2020-01-31 18:00:00,YD_0019,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,1,18,산불위험계절(11~5월),저녁(18~23시),시가화건조지역,주거지역,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.9061690111889527,-1.0553427893201794,1.786899809240228,0.07568173895639563,-0.9364698566778223
25,F_007638,2020-01-31 12:00:00,YS_0024,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,12,산불위험계절(11~5월),한낮(10~13시),농업지역,밭,도로/시가화/농업 인접,입산활동 발화 후보,-0.9924332333760902,-1.7004560190275606,-1.0290224600927245,0.24282953412824962,0.1145993125316794
26,F_007639,2020-01-31 12:00:00,YS_0024,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,12,산불위험계절(11~5월),한낮(10~13시),농업지역,밭,도로/시가화/농업 인접,입산활동 발화 후보,-0.9924332333760902,-1.7004560190275606,-1.0290224600927245,0.24282953412824962,0.1145993125316794
27,F_007640,2020-01-31 12:00:00,YS_0024,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,12,산불위험계절(11~5월),한낮(10~13시),농업지역,밭,도로/시가화/농업 인접,입산활동 발화 후보,-0.9924332333760902,-1.7004560190275606,-1.0290224600927245,0.24282953412824962,0.1145993125316794
29,F_007642,2020-02-02 09:00:00,YS_0019,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,2,9,산불위험계절(11~5월),아침(6~9시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.08249425272289644,-1.370338075924008,-0.8459512305436832,0.11303694774228235,-0.012667042087836476
32,F_007645,2020-02-03 09:00:00,YD_0005,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,2,9,산불위험계절(11~5월),아침(6~9시),미분류,미분류,도로/시가화/농업 인접,입산활동 발화 후보,-1.1787104251653568,-0.17060372758436265,0.5500327678334309,0.18167267134670567,-1.3229351895383337
33,F_007646,2020-02-03 10:00:00,YS_0066,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,2,10,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,입산활동 발화 후보,0.898304519642051,0.0662848920700254,1.6123924165299304,0.06355408851690027,0.9844049551410731
34,F_007647,2020-02-07 17:00:00,YD_0003,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,2,17,산불위험계절(11~5월),오후(14~17시),산림지역,활엽수림,도로/시가화/농업 인접,입산활동 발화 후보,-0.7907198228841593,0.4621142700486645,0.3537903801628082,0.06700310080573908,-0.5126414354576675
35,F_007648,2020-02-08 08:00:00,YD_0007,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,2,8,산불위험계절(11~5월),아침(6~9시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.1765609308477111,0.6956502940126763,0.8988702615733326,0.16119280204298264,-1.2691481175873383
36,F_007649,2020-02-08 12:00:00,YD_0001,영동,영동 해안형,임야번지(산),영동 해안형 / 임야번지(산),2,12,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.13701256657219818,0.20153051320240103,0.8922704859238683,0.22981158684060057,-0.8305419382893561
37,F_007650,2020-02-08 07:00:00,YS_0015,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,2,7,산불위험계절(11~5월),아침(6~9시),초지,인공초지,도로/시가화/농업 인접,입산활동 발화 후보,-0.3092577505844127,0.09711209229277509,-0.8066066985406516,0.09085370351955777,0.9711818580058524
38,F_007651,2020-02-09 19:00:00,YS_0028,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),2,19,산불위험계절(11~5월),저녁(18~23시),산림지역,활엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.7178001228966011,0.3809241924620163,-0.6459219575140759,0.14252854586330146,0.8452612546119331
39,F_007652,2020-02-09 19:00:00,YS_0028,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,2,19,산불위험계절(11~5월),저녁(18~23시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.005461329718917913,0.24288108949901585,-0.7020458825999613,0.16828809250075633,0.12498231347242615
40,F_007653,2020-02-09 19:00:00,YS_0028,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,2,19,산불위험계절(11~5월),저녁(18~23시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.039155119672360225,0.2432866992083237,-0.703161670259383,0.16911868212096334,0.12183184410865226
41,F_007654,2020-02-11 11:00:00,YS_0054,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,2,11,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.78385264781161,-0.3359685075514284,-1.0368039202181973,0.17974462786098253,0.17877452968587768
42,F_007655,2020-02-11 11:00:00,YS_0070,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),2,11,산불위험계절(11~5월),한낮(10~13시),산림지역,활엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.854545149030639,-1.2093682936504375,-0.23735899064394203,0.14778133088065698,1.4145698968462757
43,F_007656,2020-02-17 16:00:00,YS_0003,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,2,16,산불위험계절(11~5월),오후(14~17시),시가화건조지역,상업지역,도로/시가화/농업 인접,입산활동 발화 후보,0.48273502033825055,-1.368391016881604,-0.007065915092875584,-3.127740807637623,-0.5772253023036193
44,F_007657,2020-02-18 14:00:00,YS_0071,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),2,14,산불위험계절(11~5월),오후(14~17시),시가화건조지역,도로,도로/시가화/농업 인접,입산활동 발화 후보,0.4932872953454929,-3.1240771901934314,-1.685770582645555,0.11993002235801793,1.5871142515662466
45,F_007658,2020-02-20 13:00:00,YD_0015,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,2,13,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,주거지역,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.5022153121268919,-0.2123974966132422,-0.37299725214254703,0.23383247020637551,-0.7992220329085221
46,F_007659,2020-02-23 15:00:00,YS_0028,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,2,15,산불위험계절(11~5월),오후(14~17시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.053840294974421714,0.39636508686089494,0.3544444692026651,-0.6198892516113785,-0.5457486140704878
47,F_007660,2020-02-24 13:00:00,YS_0009,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),2,13,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.4105699721131565,0.36171251581448316,-0.9712060281149643,-0.020568531109532728,0.9748621745094869
48,F_007661,2020-02-24 13:00:00,YS_0009,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),2,13,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.7615772006184137,0.27909294692955605,-0.9725133066439127,0.02503340652712538,0.19838413804738947
49,F_007662,2020-02-24 13:00:00,YS_0009,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,2,13,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.581393055261947,0.27550511732639066,-0.9819685072549562,0.03600630496840807,0.19903087260897673
52,F_007665,2020-02-24 17:00:00,YD_0006,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,2,17,산불위험계절(11~5월),오후(14~17시),시가화건조지역,주거지역,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.2086024375003954,1.0089539048790328,-0.053375761657320775,0.14321035354645423,-0.6498049929295124
54,F_007667,2020-03-05 16:00:00,YD_0002,영동,영동 해안형,임야번지(산),영동 해안형 / 임야번지(산),3,16,산불위험계절(11~5월),오후(14~17시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.892277694541859,-0.27866027651972475,0.6298296998689371,0.16660855583492776,-0.9856467419305751
56,F_007669,2020-03-08 14:00:00,YS_0014,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,14,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.151950626232844,0.5341328959938985,-0.7449576116324931,0.2005902957304273,0.8710333733478266
57,F_007670,2020-03-08 16:00:00,YS_0069,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,16,산불위험계절(11~5월),오후(14~17시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.6827455305185332,0.6148625387171166,-0.8133451160390822,0.23997338949835537,-0.16847777662066507
