메타데이터,그룹,n,score_n,비중_pct,요인점수,평균,중앙값,표준편차,최소,최대,전체평균,평균차,평균차_sd,전체중앙값,중앙값차,중앙값차_sd,abs_평균차_sd,판정
L2_NAME,활엽수림,170,170,6.367041198501873,생활권접점_score,-1.4150988990458837,-1.290386360608496,0.944841495772846,-3.1173343224944197,0.46643190302819176,0.0,-1.4150988990458837,-1.4896447214498778,0.2626361970861386,-1.5530225576946346,-1.6348340436998592,1.4896447214498778,낮음
L2_NAME,침엽수림,217,217,8.127340823970037,생활권접점_score,-1.3556700537861053,-1.4289729845681645,0.6828743339147748,-3.4153378903179794,0.7536360829879521,0.0,-1.3556700537861053,-1.427085231294964,0.2626361970861386,-1.691609181654303,-1.7807212555295573,1.427085231294964,낮음
L1_NAME,산림지역,437,437,16.367041198501873,생활권접점_score,-1.3050782908610457,-1.3064313655164463,0.8493828770749708,-3.4153378903179794,0.7536360829879521,0.0,-1.3050782908610457,-1.3738283510578497,0.2626361970861386,-1.569067562602585,-1.6517242814654887,1.3738283510578497,낮음
L2_NAME,자연나지,11,11,0.41198501872659177,산지접근성_score,1.0720562462240242,0.5477808714738311,1.4305380631847047,-0.5819474909218215,3.2921957243618585,-3.1934504977982034e-17,1.0720562462240242,1.3076122609802705,-0.13578513427763134,0.6835660057514625,0.8337615619126197,1.3076122609802705,높음
기후지형_번지유형,영서 내륙형 / 임야번지(산),267,267,10.0,생활권접점_score,-1.0614981305732745,-1.0368700988177069,1.1250459843619411,-3.4153378903179794,1.0027218762768177,0.0,-1.0614981305732745,-1.117416661198406,0.2626361970861386,-1.2995062959038455,-1.3679628296575186,1.117416661198406,낮음
기후지형_번지유형,고지·산간형 / 임야번지(산),205,205,7.677902621722846,산지접근성_score,0.8779979111150219,0.6856162171667979,0.8861606397854358,0.012707943855875911,3.4686124112424523,-3.1934504977982034e-17,0.8779979111150219,1.0709147376668122,-0.13578513427763134,0.8214013514444292,1.0018825804313758,1.0709147376668122,높음
기후지형_번지유형,고지·산간형 / 임야번지(산),205,205,7.677902621722846,생활권접점_score,-0.993389022311434,-0.9353762538883862,0.7356405229987063,-2.7886515659018167,0.887907337934056,0.0,-0.993389022311434,-1.045719641524858,0.2626361970861386,-1.1980124509745247,-1.2611224028431431,1.045719641524858,낮음
addr_type,임야번지(산),699,699,26.179775280898877,생활권접점_score,-0.8940800065369134,-0.9353762538883862,0.9595129885356013,-3.4153378903179794,1.0027218762768177,0.0,-0.8940800065369134,-0.9411791382140002,0.2626361970861386,-1.1980124509745247,-1.2611224028431431,0.9411791382140002,낮음
기후지형유형,고지·산간형,563,563,21.08614232209738,산지접근성_score,0.7657895972225143,0.6683133166807071,0.7450800976252718,-0.5762391693795911,4.497850542395713,-3.1934504977982034e-17,0.7657895972225143,0.9340516136035388,-0.13578513427763134,0.8040984509583384,0.9807778250551307,0.9340516136035388,높음
L2_NAME,도로,847,847,31.722846441947567,생활권접점_score,0.87186174343574,0.8921759248030698,0.17846250428408683,0.2836209761403043,1.4940231235037063,0.0,0.87186174343574,0.9177904419392995,0.2626361970861386,0.6295397277169312,0.6627031742932001,0.9177904419392995,높음
