fire_id,발생일시,기상셀ID,기후권역,기후지형유형,addr_type,기후지형_번지유형,월_key,시간_key,산불위험계절,발생시간대구분,L1_NAME,L2_NAME,생활권프록시,원인프록시_500m,상대강수부족_score,상대강풍_score,단기상대건조_score,생활권접점_score,선행건조_score,강풍_score,강수부족_score,산지접근성_score
F_003556,2020-04-30 18:00:00,YS_0064,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),4,18,산불위험계절(11~5월),저녁(18~23시),산림지역,활엽수림,비인접,기타 인간활동 발화 후보,0.08161718134426371,0.44249526332046535,-0.8175865940347236,-2.7681489573657827,0.5076296674241614,0.5202732918073384,0.1786062788869795,0.7105857886841205
F_006688,2020-04-30 18:00:00,YS_0064,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),4,18,산불위험계절(11~5월),저녁(18~23시),산림지역,활엽수림,비인접,기타 인간활동 발화 후보,0.11544154136813085,-0.2557712606850359,-1.0811040029051138,-2.7681489305475075,0.5076296691593841,0.5202732954236268,0.1786062768982524,0.710585829987229
F_007618,2020-01-04 13:00:00,YS_0037,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,13,산불위험계절(11~5월),한낮(10~13시),산림지역,침엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.68598095300526,-0.568368907141331,0.38510632819842044,-2.0611953510156225,0.3500588774152888,-0.8709642653259707,0.1195561407456952,1.337773671080135
F_007619,2020-01-04 13:00:00,YS_0037,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,13,산불위험계절(11~5월),한낮(10~13시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.23315428727513834,-0.11338103241122238,0.9987134091529463,-0.0550261892650356,0.2082237932902493,-0.854799391212226,0.1471307107864267,0.5070552927500248
F_007620,2020-01-04 15:00:00,YS_0037,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,15,산불위험계절(11~5월),오후(14~17시),나지,인공나지,도로/시가화/농업 인접,입산활동 발화 후보,-0.31817828527352787,-0.1172524481935181,0.6167707030782122,-2.0139448117923,0.1829396419614587,-0.8621530646024559,0.2152726888752658,0.8165495006426458
F_007621,2020-01-04 14:00:00,YS_0019,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,1,14,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.26564110053160556,-0.9703683857835093,-0.7026015666987134,-0.3705814790929827,-0.2986366494994956,-0.0596876228842465,0.1896549199508198,-0.5475623288581777
F_007623,2020-01-06 12:00:00,YS_0037,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,12,산불위험계절(11~5월),한낮(10~13시),산림지역,혼효림,비인접,입산활동 발화 후보,-0.17633576984155155,-1.25925673441309,0.049194647169220194,-2.5091469236078763,-0.0535296762257016,-1.4734646530119315,0.1785618786407961,0.8324294610575407
F_007624,2020-01-15 13:00:00,YD_0020,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,1,13,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.1748141043490811,0.2404674955512125,0.001042977742826105,1.1317823114075671,0.2779915277321544,0.7275813947976257,0.1044999398605052,-0.2686708790651192
F_007625,2020-01-20 17:00:00,YS_0008,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,17,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,입산활동 발화 후보,3.4657754643869807,0.221718684929252,0.36179273249416166,-0.06700271180565,-0.5893219470412404,-0.0133863419439472,0.1438426804320618,1.6102509311069229
F_007626,2020-01-21 14:00:00,YS_0030,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,14,산불위험계절(11~5월),오후(14~17시),미분류,미분류,도로/시가화/농업 인접,입산활동 발화 후보,1.0080026750745714,-0.41518247112609796,0.3244684026641836,-1.364348021829546,0.1027800791294384,-0.3969529751162104,0.2448268189106542,-0.4562032078698067
F_007627,2020-01-21 15:00:00,YS_0030,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,15,산불위험계절(11~5월),오후(14~17시),미분류,미분류,도로/시가화/농업 인접,입산활동 발화 후보,-0.28242360076698,-0.6638121212995398,0.08465673165727261,-1.3760020477304116,-0.1397334144840621,-0.6764676026420288,0.2650728307750991,-0.546777046131184
F_007628,2020-01-23 14:00:00,YS_0064,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,14,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.20470662949850663,0.08289717295642791,-0.9463203893956957,-1.7705462427309078,-0.7636739560599317,-0.5386763178669179,0.3849985279608145,-1.2110971362911664
F_007629,2020-01-23 15:00:00,YS_0064,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,15,산불위험계절(11~5월),오후(14~17시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.17941979130064845,0.11756110984396813,-0.5646212431092942,-0.2955543944204248,-0.4802575934054239,-0.3729903351249076,0.3253377971139116,-1.0211836339623004
F_007630,2020-01-23 12:00:00,YS_0023,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,12,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.2172231421047547,-0.35746736152321795,-0.9278061288160936,0.671665511170868,-1.1741539843984647,-1.2812760235818428,0.1525887334554374,0.2634598850151565
F_007633,2020-01-29 12:00:00,YS_0014,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,12,산불위험계절(11~5월),한낮(10~13시),산림지역,활엽수림,도로/시가화/농업 인접,입산활동 발화 후보,-0.2599760207508964,0.25128535891200715,-0.2885366689154025,-0.7873637965467228,-0.7628593606537508,-0.8082436396286549,0.1665169488802096,0.8807656101485262
F_007636,2020-01-31 14:00:00,YD_0003,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,1,14,산불위험계절(11~5월),오후(14~17시),시가화건조지역,주거지역,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.1899086288189156,-0.21494995504132702,-2.1545580749978974,0.6801230768949807,-1.574723775758755,0.0664301883418011,-2.075528898043222,-1.151817093707002
F_007637,2020-01-31 18:00:00,YD_0019,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,1,18,산불위험계절(11~5월),저녁(18~23시),시가화건조지역,주거지역,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.16786249178996615,1.4021308957417595,-2.03216839405921,0.9061690111889528,-1.0553427893201794,1.786899809240228,0.0756817389563956,-0.9364698566778225
F_007638,2020-01-31 12:00:00,YS_0024,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,12,산불위험계절(11~5월),한낮(10~13시),농업지역,밭,도로/시가화/농업 인접,입산활동 발화 후보,-0.11464208596194349,-0.2920195286489149,-2.6348890644863663,-0.9924332333760902,-1.7004560190275606,-1.0290224600927245,0.2428295341282496,0.1145993125316794
F_007639,2020-01-31 12:00:00,YS_0024,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,1,12,산불위험계절(11~5월),한낮(10~13시),농업지역,밭,도로/시가화/농업 인접,입산활동 발화 후보,-0.21594712392929666,-0.37221353123667006,-0.8296747093340837,-0.9924332333760902,-1.7004560190275606,-1.0290224600927245,0.2428295341282496,0.1145993125316794
F_007640,2020-01-31 12:00:00,YS_0024,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),1,12,산불위험계절(11~5월),한낮(10~13시),농업지역,밭,도로/시가화/농업 인접,입산활동 발화 후보,0.14212994279818997,0.0439017756426886,-0.3319889361010088,-0.9924332333760902,-1.7004560190275606,-1.0290224600927245,0.2428295341282496,0.1145993125316794
