메타데이터,요인점수,검정그룹수,검정표본수,Kruskal_H,p_value,epsilon_sq,최대평균,최소평균,평균범위,최대_abs_평균차_sd,p_fdr_bh,검정판정
L2_NAME,생활권접점_score,18,2666,1904.175282147689,0.0,0.7126794872158946,0.87186174343574,-1.4150988990458837,2.2869606424816236,1.4896447214498778,0.0,FDR 0.05 기준 유의
L1_NAME,생활권접점_score,7,2668,1788.1962328698226,0.0,0.6697467992746421,0.782697363567062,-1.3050782908610457,2.087775654428108,1.3738283510578497,0.0,FDR 0.05 기준 유의
L1_NAME,산지접근성_score,7,2668,281.4846909143535,7.557303224155136e-58,0.10352675344395096,0.49744647395305536,-0.5353776335852833,1.0328241075383386,0.6530127130889628,2.4291331791927223e-57,FDR 0.05 기준 유의
L2_NAME,산지접근성_score,18,2666,320.0246413521065,8.169567498328775e-58,0.11443528751967769,1.0720562462240242,-0.5353776335852833,1.6074338798093075,1.3076122609802705,2.4508702494986326e-57,FDR 0.05 기준 유의
L2_NAME,강수부족_score,18,2666,262.27164324135384,6.4494075869775085e-46,0.09262524291591913,0.18210492029762274,-0.2691871048373525,0.45129202513497524,0.2758800789198368,1.612351896744377e-45,FDR 0.05 기준 유의
L1_NAME,강수부족_score,7,2668,176.1622465418747,2.2153905670709815e-35,0.06394672925286536,0.12979886380584835,-0.24731735611306863,0.377116219918917,0.2534665684076674,4.531480705372463e-35,FDR 0.05 기준 유의
L2_NAME,강풍_score,18,2666,134.1341296619367,2.988052818820006e-20,0.04423494322580691,0.6002617107554976,-0.8619186279591645,1.4621803387146621,0.9125286513019802,4.636633684375871e-20,FDR 0.05 기준 유의
L2_NAME,선행건조_score,18,2666,83.914108937474,7.675226778317555e-11,0.025269678601765103,0.7298603277663848,-0.7863535490072194,1.5162138767736042,0.8015056763386134,1.0793287657009062e-10,FDR 0.05 기준 유의
L1_NAME,선행건조_score,7,2668,48.48200436974572,9.46522275813356e-09,0.01596467657637945,0.24471395675758792,-0.10180817532359193,0.3465221320811799,0.24942931289382145,1.2527500709294417e-08,FDR 0.05 기준 유의
L1_NAME,강풍_score,7,2668,24.31266031558816,0.0004574190895781891,0.006881871595485968,0.460388441842344,-0.10532816077485163,0.5657166026171956,0.4874214691288914,0.0005563205143518516,FDR 0.05 기준 유의
