변수,상대강수부족_score,상대강풍_score,단기상대건조_score
발생시각_습도_위험방향_delta,0.06569196715273719,0.4667953793906369,0.2887783041490493
직전24h_최소습도_위험방향_delta,0.06298383141307337,0.2367544378155091,0.9464973876432534
D-1_최소습도_위험방향_delta,0.08670800860802916,-0.02224010770077454,0.8664350469162092
D-3_최소습도_위험방향_delta,0.05820534399601957,-0.17676162533162385,0.35203120835203777
발생시각_풍속_위험방향_delta,0.019846418314740804,0.7910865392163057,-0.14170460778240448
직전24h_평균풍속_위험방향_delta,-0.04921160776988806,0.810188968205746,0.02541280319404534
발생일_최대순간풍속_위험방향_delta,-0.09071662294481951,0.7348364057890069,-0.08885899724105345
직전24h_강수량합_위험방향_delta,0.8870873759803832,0.002700421386910326,0.023262119633866214
직전72h_강수량합_위험방향_delta,0.8429487861058064,-0.016832808381486233,0.11236268157821033
D-1_강수량합_위험방향_delta,0.882880150896335,-0.055280868969299256,0.11012846724803108
