메타데이터,그룹,n,score_n,비중_pct,요인점수,평균,중앙값,표준편차,최소,최대,전체평균,평균차,평균차_sd,전체중앙값,중앙값차,중앙값차_sd,abs_평균차_sd,판정,토지피복해석판정
L2_NAME,활엽수림,170,170,6.367041198501873,생활권접점_score,-1.4150988990458837,-1.290386360608496,0.944841495772846,-3.1173343224944197,0.46643190302819176,0.0,-1.4150988990458837,-1.4896447214498778,0.2626361970861386,-1.5530225576946346,-1.6348340436998592,1.4896447214498778,낮음,낮음
L2_NAME,침엽수림,217,217,8.127340823970037,생활권접점_score,-1.3556700537861053,-1.4289729845681645,0.6828743339147748,-3.4153378903179794,0.7536360829879521,0.0,-1.3556700537861053,-1.427085231294964,0.2626361970861386,-1.691609181654303,-1.7807212555295573,1.427085231294964,낮음,낮음
L1_NAME,산림지역,437,437,16.367041198501873,생활권접점_score,-1.3050782908610457,-1.3064313655164463,0.8493828770749708,-3.4153378903179794,0.7536360829879521,0.0,-1.3050782908610457,-1.3738283510578497,0.2626361970861386,-1.569067562602585,-1.6517242814654887,1.3738283510578497,낮음,낮음
L2_NAME,자연나지,11,11,0.41198501872659177,산지접근성_score,1.0720562462240242,0.5477808714738311,1.4305380631847047,-0.5819474909218215,3.2921957243618585,-3.1934504977982034e-17,1.0720562462240242,1.3076122609802705,-0.13578513427763134,0.6835660057514625,0.8337615619126197,1.3076122609802705,높음,높음
L2_NAME,도로,847,847,31.722846441947567,생활권접점_score,0.87186174343574,0.8921759248030698,0.17846250428408683,0.2836209761403043,1.4940231235037063,0.0,0.87186174343574,0.9177904419392995,0.2626361970861386,0.6295397277169312,0.6627031742932001,0.9177904419392995,높음,높음
L2_NAME,문화·체육·휴양지역,53,53,1.9850187265917603,강풍_score,-0.8619186279591645,-0.8527450506285792,0.30376780047693225,-1.5179527820401266,0.16041437013469792,1.0644834992660677e-17,-0.8619186279591645,-0.9125286513019802,-0.09702517976127435,-0.7557198708673049,-0.8000941297179165,0.9125286513019802,낮음,낮음
L2_NAME,혼효림,50,50,1.8726591760299627,산지접근성_score,0.7054812756242238,0.5751046578415009,0.7446334195728941,-0.9157516957736747,3.2970278367493377,-3.1934504977982034e-17,0.7054812756242238,0.8604921328964167,-0.13578513427763134,0.7108897921191322,0.8670890278889751,0.8604921328964167,높음,높음
L1_NAME,시가화건조지역,1129,1129,42.28464419475655,생활권접점_score,0.782697363567062,0.8530355926836621,0.25427807806073033,-0.2534503407187855,1.4940231235037063,0.0,0.782697363567062,0.8239289825725494,0.2626361970861386,0.5903993955975235,0.6215009733892334,0.8239289825725494,높음,높음
L2_NAME,자연나지,11,11,0.41198501872659177,선행건조_score,-0.7863535490072194,-0.8855661950996072,1.379667422609195,-2.871545278059205,1.4386986339551184,-3.1934504977982034e-17,-0.7863535490072194,-0.8015056763386134,0.09018719614625645,-0.9757533912458637,-0.994555035425969,0.8015056763386134,낮음,낮음
L2_NAME,혼효림,50,50,1.8726591760299627,생활권접점_score,-0.7114399719378374,-0.5416800508558713,0.9337667136108087,-2.8074298278873067,0.3118438990318001,0.0,-0.7114399719378374,-0.7489178314958788,0.2626361970861386,-0.80431624794201,-0.8466867255221695,0.7489178314958788,낮음,낮음
L2_NAME,과수원,12,12,0.44943820224719105,선행건조_score,0.7298603277663848,1.4056474988585796,1.3152658067838627,-3.0599575895854794,1.4063509845502324,-3.1934504977982034e-17,0.7298603277663848,0.7439238957815748,0.09018719614625645,1.3154603027123233,1.3408077078728335,0.7439238957815748,높음,높음
L2_NAME,혼효림,50,50,1.8726591760299627,강풍_score,-0.6739295223382468,-1.0205624567103808,0.9998369224528503,-1.602148873563018,1.9552137746831895,1.0644834992660677e-17,-0.6739295223382468,-0.7135012263838022,-0.09702517976127435,-0.9235372769491065,-0.9777654159267097,0.7135012263838022,낮음,낮음
L1_NAME,미분류,46,46,1.7228464419475655,산지접근성_score,-0.5353776335852833,-0.5946605831972414,0.767401294816183,-1.544114268105195,1.5763700481379415,-3.1934504977982034e-17,-0.5353776335852833,-0.6530127130889628,-0.13578513427763134,-0.45887544891961,-0.5597011960739243,0.6530127130889628,낮음,낮음
L2_NAME,미분류,46,46,1.7228464419475655,산지접근성_score,-0.5353776335852833,-0.5946605831972414,0.767401294816183,-1.544114268105195,1.5763700481379415,-3.1934504977982034e-17,-0.5353776335852833,-0.6530127130889628,-0.13578513427763134,-0.45887544891961,-0.5597011960739243,0.6530127130889628,낮음,낮음
L2_NAME,활엽수림,170,170,6.367041198501873,산지접근성_score,0.5217978256542418,0.4532072416683214,0.9490531695164768,-1.0230112515205256,3.431029342885773,-3.1934504977982034e-17,0.5217978256542418,0.6364491014175315,-0.13578513427763134,0.5889923759459528,0.7184078775003826,0.6364491014175315,높음,높음
L2_NAME,과수원,12,12,0.44943820224719105,강풍_score,0.6002617107554976,0.7557927493973609,0.43326653103649576,-0.30109624972151067,0.8961684518102868,1.0644834992660677e-17,0.6002617107554976,0.6355077980399385,-0.09702517976127435,0.8528179291586352,0.9028935788798699,0.6355077980399385,높음,높음
L1_NAME,산림지역,437,437,16.367041198501873,산지접근성_score,0.49744647395305536,0.572260725918437,0.8653466807160854,-1.0650622784353425,3.431029342885773,-3.1934504977982034e-17,0.4974464739530554,0.6067471840339355,-0.13578513427763134,0.7080458601960684,0.8636202171198671,0.6067471840339355,높음,높음
L2_NAME,자연초지,10,10,0.37453183520599254,생활권접점_score,-0.5551180617481204,-0.20534948736001335,1.0773643508252169,-2.3847301102969096,0.8803645931237524,0.0,-0.5551180617481204,-0.5843610584547294,0.2626361970861386,-0.46798568444615196,-0.492638645270202,0.5843610584547294,낮음,낮음
